,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,8206176494747.0,8569613917893.0,9179385142444.0,9642310081327.0,9957115220854.0,9991631928569.0,10477077016930.0,10927724887213.0,11277995454318.0,10781316431919.0
1,TÀI SẢN NGẮN HẠN,4205633058730.0,4451050828524.0,5279713527496.0,5467617108516.0,5461324349888.0,5336715803039.0,5562193645295.0,5808222903667.0,6138746931264.0,5623485000285.0
2,Tiền và tương đương tiền,238982685166.0,963717122052.0,967769374300.0,2214209755238.0,1439605995924.0,1987170712682.0,1549911273413.0,1020615568519.0,1353251366894.0,1655456757815.0
3,Tiền,166862685166.0,237314356418.0,769426793948.0,1546205947900.0,488543102493.0,1156983447299.0,764751240596.0,614486674102.0,430946820678.0,1228607395155.0
4,Các khoản tương đương tiền,72120000000.0,726402765634.0,198342580352.0,668003807338.0,951062893431.0,830187265383.0,785160032817.0,406128894417.0,922304546216.0,426849362660.0
5,Giá trị thuần đầu tư ngắn hạn,720904657534.0,713600000000.0,176256000000.0,11156000000.0,11156000000.0,436156000000.0,461156000000.0,461156000000.0,436156000000.0,436156000000.0
6,Đầu tư ngắn hạn,0.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,720904657534.0,712600000000.0,176256000000.0,11156000000.0,11156000000.0,436156000000.0,461156000000.0,461156000000.0,436156000000.0,436156000000.0
9,Các khoản phải thu,2218744590601.0,1669170204812.0,2784501446413.0,1918577752695.0,2804651300757.0,1810385030365.0,2348160848783.0,2213600227647.0,1953273833748.0,1551890327952.0
10,Phải thu khách hàng,609274386512.0,593031603446.0,850064917574.0,968363302029.0,1180538570311.0,1147548031943.0,1344951190371.0,1532331449862.0,1100289229236.0,1000211108549.0
11,Trả trước người bán,638543291761.0,790942957319.0,697254117869.0,702975473222.0,890965927240.0,372650796035.0,663295939185.0,294306624209.0,330166643975.0,256752902117.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,728622625208.0,42643890561.0,947837432790.0,151570190000.0,633444990000.0,84906400000.0,246463950000.0,279288799999.0,438869500000.0,176995600000.0
15,Phải thu khác,242304287120.0,254298459186.0,301083162080.0,111779561624.0,111568259686.0,216106002167.0,104276779907.0,118499553357.0,94774660317.0,131279636161.0
16,Dự phòng nợ khó đòi,0.0,-11746705700.0,-11738183900.0,-16110774180.0,-11866446480.0,-10826199780.0,-10827010680.0,-10826199780.0,-10826199780.0,-13348918875.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",828614538583.0,946809379604.0,1166690129425.0,1131960274006.0,1024271430739.0,965573567309.0,1042196865390.0,1910442387300.0,2158635136318.0,1776319126153.0
19,Hàng tồn kho,828614538583.0,947201357809.0,1166690129425.0,1131960274006.0,1024271430739.0,965573567309.0,1042196865390.0,1925460191272.0,2158635136318.0,1846699548793.0
20,Dự phòng giảm giá HTK,0.0,-391978205.0,0.0,0.0,0.0,0.0,0.0,-15017803972.0,0.0,-70380422640.0
21,Tài sản lưu động khác,198386586846.0,157754122056.0,184496577358.0,191713326577.0,181639622468.0,137430492683.0,160768657709.0,202408720201.0,237430594304.0,203662788365.0
22,Trả trước ngắn hạn,36307018912.0,32032873971.0,47665326327.0,36346465774.0,29089647602.0,25561564271.0,34336346547.0,21319751410.0,13779685428.0,10079638639.0
23,Thuế VAT phải thu,159682102072.0,124628269153.0,136770822516.0,155274937518.0,152209782178.0,111868928412.0,126415404398.0,181088968791.0,223623385644.0,184059512351.0
24,Phải thu thuế khác,2397465862.0,1092978932.0,60428515.0,91923285.0,340192688.0,0.0,16906764.0,0.0,27523232.0,9523637375.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,4000543436017.0,4118563089369.0,3899671614948.0,4174692972811.0,4495790870966.0,4654916125530.0,4914883371635.0,5119501983546.0,5139248523054.0,5157831431634.0
28,Phải thu dài hạn,155864940288.0,173910564469.0,60663433603.0,181186557642.0,193680938752.0,278966433205.0,232828224110.0,85387374158.0,107195713558.0,86913682992.0
29,Phải thu khách hàng dài hạn,0.0,42725601801.0,42133766075.0,70042938394.0,79553349174.0,217828798677.0,202999965412.0,69460800930.0,71262637530.0,70237896352.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,138250000000.0,114055000000.0,1400000000.0,94014542000.0,97001119400.0,44699588400.0,13390050000.0,0.0,20000000000.0,940160000.0
34,Phải thu dài hạn khác,17614940288.0,17129962668.0,17129667528.0,17129077248.0,17126470178.0,16438046128.0,16438208698.0,15926573228.0,15933076028.0,15735626640.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
