,Unnamed: 0,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,46939897882.0,-4133450933.0,12139263791.0,-11247450671.0,40768193681.0,-29023070075.0,-44104331510.0,-240974035084.0,39343134252.0,30893659467.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1110257964.0,-6279004326.0,-5000000.0,0.0,0.0,-1776844861.0,994947670.0,201134513055.0,-27392436395.0,-36900000000.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1110257964.0,-6321304819.0,-5000000.0,0.0,0.0,-1928441728.0,-2108712330.0,-98319805316.0,-1392436395.0,-36900000000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299358188000.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,3103660000.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26000000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,42300493.0,0.0,0.0,0.0,151596867.0,0.0,96130371.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-45634697310.0,15040674708.0,-2829411248.0,11731942903.0,-3157452803.0,98940063.0,77722979285.0,-51696570812.0,-13482138540.0,-9929691687.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,31831184800.0,36508965120.0,35681600000.0,52269405597.0,41650976706.0,44628118654.0,107427616347.0,58302881402.0,60170922839.0,34299540000.0
33,Tiển trả các khoản đi vay,-77231882110.0,-21234290412.0,-38039571248.0,-40537462694.0,-44808429509.0,-44529178591.0,-29704637062.0,-109999452214.0,-73653061379.0,-44229231687.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-234000000.0,-234000000.0,-471440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,194942608.0,4628219449.0,9304852543.0,484492232.0,37610740878.0,-30700974873.0,34613595445.0,-91536092841.0,-1531440683.0,-15936032220.0
38,Tiền và tương đương tiền đầu kỳ,5126341358.0,5321283966.0,9949503416.0,19254355959.0,19726020423.0,57336761301.0,90202549908.0,124816145353.0,33280052512.0,31748611829.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,5321283966.0,9949503416.0,19254355959.0,19738848191.0,57336761301.0,26635786428.0,124816145353.0,33280052512.0,31748611829.0,15812579609.0
