,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1978003000000.0,5994078000000.0,-8233624000000.0,-2326971000000.0,5596864000000.0,-1746585000000.0,10800722000000.0,4288627000000.0,-5914511000000.0,2002178000000.0
1,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,2005675000000.0,5994078000000.0,-8233248000000.0,-2326971000000.0,5596864000000.0,-1746585000000.0,10800752000000.0,4288627000000.0,-5914511000000.0,2002178000000.0
2,Lãi/lỗ trước những thay đổi vốn lưu động,731752000000.0,443170000000.0,846610000000.0,1106666000000.0,1328827000000.0,1288076000000.0,2183851000000.0,1676725000000.0,2438113000000.0,2426262000000.0
3,Thu nhập lãi và các khoản tương đương,4127635000000.0,4136602000000.0,4060713000000.0,4410223000000.0,5226516000000.0,5621129000000.0,6708451000000.0,6760405000000.0,6498142000000.0,8014828000000.0
4,Chi phí lãi và các khoản tương đương,-2602382000000.0,-2842801000000.0,-2397002000000.0,-2497960000000.0,-2935992000000.0,-3412480000000.0,-3643322000000.0,-4412060000000.0,-3538394000000.0,-3870723000000.0
5,Thu nhập từ hoạt động dịch vụ nhận được,108345000000.0,41870000000.0,57557000000.0,137052000000.0,186296000000.0,333819000000.0,230544000000.0,193827000000.0,352239000000.0,232042000000.0
7,Thu nhập từ hoạt động kinh doanh chứng khoán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54753000000.0
8,Thu nhập khác,158991000000.0,43227000000.0,44032000000.0,42802000000.0,12223000000.0,-16637000000.0,116318000000.0,65213000000.0,-13931000000.0,-428000000.0
10,Thanh toán cho nhân viên và nhà cung cấp,-1063606000000.0,-1051632000000.0,-1120031000000.0,-1256272000000.0,-1400401000000.0,-1632525000000.0,-1804241000000.0,-1726035000000.0,-1757276000000.0,-1918124000000.0
11,Tiền chi nộp thuế thu nhập doanh nghiệp,-89328000000.0,-24335000000.0,-11371000000.0,-26584000000.0,-104230000000.0,-190506000000.0,-239297000000.0,-328515000000.0,-347781000000.0,-431975000000.0
12,Tiền gửi tại NHNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,(Tăng)/Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,-2630810000000.0,2002764000000.0,-53999000000.0,-2675794000000.0,5803530000000.0,1557264000000.0,-2436815000000.0,-347375000000.0,-829604000000.0,4405211000000.0
14,(Tăng)/giảm các khoản về kinh doanh chứng khoán,-4244681000000.0,-2666283000000.0,-1514402000000.0,-152160000000.0,-2736516000000.0,-3510057000000.0,5396214000000.0,-2106968000000.0,-3220646000000.0,4590707000000.0
15,(Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,551000000.0,-3690000000.0,-18819000000.0,-68562000000.0,-9609000000.0,-6093000000.0,58039000000.0,49812000000.0,-115879000000.0,-324566000000.0
16,(Tăng)/Giảm các khoản cho vay khách hàng,-4890975000000.0,-2322398000000.0,-4992825000000.0,-9012032000000.0,-7727875000000.0,-4238498000000.0,-4491536000000.0,-6490186000000.0,-5580733000000.0,-13923419000000.0
17,"(Tăng)/Giảm lãi, phí phải thu",0.0,0.0,0.0,0.0,0.0,0.0,-1130635000000.0,0.0,0.0,0.0
18,Tăng/(Giảm) nguồn dự phòng để bù đắp tổn thất các khoản,-207603000000.0,-554860000000.0,-183222000000.0,-74548000000.0,-150597000000.0,-604057000000.0,0.0,-627552000000.0,-784565000000.0,-907332000000.0
19,(Tăng)/Giảm khác về tài sản hoạt động,2005190000000.0,-984267000000.0,1421145000000.0,-603648000000.0,935784000000.0,-1020588000000.0,170244000000.0,-752734000000.0,509703000000.0,-1606890000000.0
20,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,0.0,0.0,799795000000.0,843653000000.0,-1643448000000.0,6753044000000.0,-6753044000000.0,0.0,0.0,0.0
21,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,3955060000000.0,5455032000000.0,-6712561000000.0,4009088000000.0,3724974000000.0,-7486261000000.0,7390970000000.0,9767754000000.0,912344000000.0,-5233763000000.0
