,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh thu hoạt động,57987959400.0,58461457988.0,102905126408.0,90935720660.0,76362455678.0,123968448438.0,101735598355.0,86058758146.0,84390802077.0,95189308409.0
1,Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ ( FVTPL),8925491567.0,2588021042.0,45989640194.0,15849725686.0,7367466590.0,15823559827.0,15346411338.0,9194366234.0,11563549691.0,20662977883.0
2,Lãi bán các tài sản tài chính,7930038549.0,1288696378.0,44327233863.0,7421176385.0,4206541019.0,6610744099.0,3630303926.0,4485536709.0,7217692891.0,16221765378.0
3,Chêch lệch tăng đánh giá lại các tài sản tài chính thông qua lãi/lỗ,988288118.0,1299243584.0,1626969631.0,8428431541.0,2710817321.0,8914841628.0,4371350012.0,4404099385.0,3489448400.0,3954357005.0
4,"Cổ tức, tiền lãi phát sinh từ tài sản tài chính FVTPL",7164900.0,81080.0,35436700.0,117760.0,450108250.0,297974100.0,7344757400.0,304730140.0,856408400.0,486855500.0
5,Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),21820505292.0,21420177520.0,21432636417.0,17235272166.0,5227942309.0,25716088319.0,13643424656.0,12952769896.0,12779479372.0,17364575075.0
6,Lãi từ các khoản cho vay và phải thu,16486002093.0,16576293824.0,17785536596.0,29284767940.0,34196732698.0,41485017871.0,41438738285.0,39186951519.0,39127498464.0,37760529310.0
7,Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi từ các công cụ phát sinh phòng ngừa rủi ro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Doanh thu hoạt động môi giới chứng khoán,8525454729.0,11843234455.0,16529016676.0,24315870139.0,25010747759.0,35440944252.0,27296237467.0,19272020411.0,15572536161.0,14162792204.0
10,Doanh thu bảo lãnh phát hành chứng khoán,749650950.0,2284871387.0,33000000.0,1928551153.0,2722050825.0,2909701456.0,1937241459.0,3131982587.0,3217323953.0,3546515667.0
12,Doanh thu hoạt động tư vấn đầu tư chứng khoán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Doanh thu lưu ký chứng khoán,750991044.0,1088604075.0,993438253.0,1549955106.0,796811807.0,1101566515.0,852555897.0,958958414.0,756823531.0,1378627363.0
17,Doanh thu hoạt động tư vấn tài chính,107000000.0,2631177301.0,100000000.0,759881818.0,1030681817.0,1403177309.0,1210343800.0,1350000000.0,1359800000.0,301318182.0
