,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh thu hoạt động,414000920404.0,293034490773.0,165547813485.0,133636127646.0,184849879214.0,181215198147.0,204080452867.0,224796382907.0,394171751184.0,367374466987.0
9,Doanh thu hoạt động môi giới chứng khoán,22549374833.0,44087206863.0,23970536081.0,26278564058.0,35871781431.0,36144159850.0,24497148679.0,34603420922.0,101296578826.0,76303586243.0
10,Doanh thu bảo lãnh phát hành chứng khoán,0.0,0.0,16020000000.0,0.0,0.0,2087224111.0,2867740566.0,3981655587.0,7593303434.0,11833063666.0
11,Doanh thu đại lý phát hành chứng khoán,4799904333.0,634717689.0,0.0,100000000.0,23016584836.0,0.0,0.0,0.0,0.0,0.0
12,Doanh thu hoạt động tư vấn đầu tư chứng khoán,727200000.0,634318181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Doanh thu hoạt động ủy thác, đấu giá",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Doanh thu lưu ký chứng khoán,2747981533.0,3306471789.0,2106732577.0,3695226331.0,4295037542.0,4820985733.0,5071222223.0,3531137804.0,4441771681.0,3946965205.0
15,"Doanh thu hoạt động đầu tư chứng khoán, góp vốn",188986959850.0,96669778591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Thu cho thuê sử dụng tài sản ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Doanh thu khác,194189499855.0,147701997660.0,7837541838.0,3224474268.0,4546242622.0,2416039539.0,201207572.0,77656945.0,151969686.0,48118168.0
19,Các khoản giảm trừ doanh thu,-249585978.0,-125903999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Doanh thu thuần về hoạt động kinh doanh,413751334426.0,292908586774.0,165547813485.0,133636127646.0,184849879214.0,181215198147.0,204080452867.0,224796382907.0,394171751184.0,367374466987.0
21,Chi phí hoạt động kinh doanh,-352696094815.0,-202170720785.0,-315801726818.0,-455850257640.0,-48098616599.0,-29116232678.0,-45846555494.0,-19479340863.0,-16480534320.0,-123665182999.0
39,Lợi nhuận gộp,61055239611.0,90737865989.0,-150253913333.0,-322214129994.0,136751262615.0,152098965469.0,158233897373.0,205317042044.0,377691216864.0,243709283988.0
53,Chi phí quản lý công ty chứng khoán,-35810927571.0,-29959758222.0,-46345587394.0,-44276796831.0,-55785239308.0,-68048220431.0,-74339810015.0,-86078726344.0,-111626826593.0,-81495085258.0
54,Kết quả hoạt động,25244312040.0,60778107767.0,-212716889287.0,-365223366456.0,81559821165.0,84521785593.0,85122512595.0,120486198696.0,267566578682.0,163549993883.0
55,Thu nhập khác ròng,378803585.0,2243594.0,859058.0,-598031650.0,34272392.0,299781703.0,198593895.0,505413417.0,164405741452.0,16858346644.0
56,Thu nhập khác,378803585.0,2243594.0,859058.0,1651527.0,56864431.0,299781703.0,211128383.0,505413417.0,164434260452.0,16862746644.0
57,Chi phí khác,0.0,0.0,0.0,-599683177.0,-22592039.0,0.0,-12534488.0,0.0,-28519000.0,-4400000.0
58,Lãi/lỗ từ công ty liên doanh (trước 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Tổng lợi nhuận kế toán trước thuế,25623115625.0,60780351361.0,-212716030229.0,-365821398106.0,81594093557.0,84821567296.0,85321106490.0,120991612113.0,431972320134.0,180408340527.0
63,Chi phí thuế thu nhập hiện hành,-40613897717.0,0.0,0.0,0.0,0.0,-42022382.0,0.0,0.0,-36787793574.0,-34065564109.0
64,Chi phí thuế thu nhập hoãn lại,34772435649.0,-13005462096.0,26010087063.0,-39576534832.0,-16318818711.0,-16964313461.0,-17064221298.0,-24198322423.0,-5054324107.0,0.0
65,Lợi nhuận kế toán sau thuế,19781653557.0,47774889265.0,-186705943166.0,-405397932938.0,65275274846.0,67815231453.0,68256885192.0,96793289690.0,390130202453.0,146342776418.0
66,Lợi nhuận sau thuế phân bổ cho chủ sở hữu,19781653557.0,47774889265.0,-186705943166.0,-405397932938.0,65275274846.0,67815231453.0,68256885192.0,96793289690.0,390130202453.0,146342776418.0
68,Lợi ích cổ đông thiểu số ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Lãi cơ bản trên cổ phiếu ,94.0,226.0,-884.0,-1919.0,309.0,321.0,323.0,458.0,1840.0,690.0
