,Unnamed: 0,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1247241054.0,416867811.0,-959745265.0,19527953021.0,-12270061468.0,5907180589.0,-4211132155.0,12682591650.0,-10982447964.0,1041926733.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,12552633386.0,-3578301386.0,5679280024.0,7263176434.0,12780564291.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,11044702198.0,734296681.0,3237640407.0,2858042856.0,7257849286.0
3,Khấu hao TSCĐ,1048347839.0,979420522.0,539570091.0,155380960.0,155380960.0,1198463326.0,1012359324.0,523389100.0,684291332.0,1598067118.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,2939566686.0,-100000000.0,1584508484.0,4106929348.0,5836399299.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,-2724359489.0,-6812224128.0,-656613745.0,-386087102.0,-1911751412.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,94260665.0,1587266737.0,990355778.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,28589706310.0,18888020620.0,-5748079727.0,-27151891635.0,42586888806.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,13295174793.0,1403912155.0,-2512948609.0,3404086149.0,-16200400217.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,-47235348978.0,-18652951946.0,16664094866.0,5944601025.0,-37522922386.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,-201034134.0,-409145167.0,-85827835.0,9392810.0,-602203761.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,-94260665.0,-1587266767.0,-990355778.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,-718069332.0,-275399664.0,-323571291.0,-451812747.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,-281620791.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,260956924.0,425753.0,-2962023773.0,-15264314449.0,9437334936.0,17918404772.0,-34977012394.0,-294978337.0,19090805384.0,3019894130.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-936000000.0,0.0,0.0,-7500000000.0,0.0,-11696369115.0,0.0,-17917390000.0,0.0,-42971857282.0
23,Tiền thu được từ thanh lý tài sản cố định,1195232750.0,0.0,2437790625.0,0.0,0.0,0.0,0.0,9035000000.0,20200000000.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,-15900000000.0,-17500000000.0,0.0,-22802280000.0,-8000000000.0,-16330000000.0,-2000000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,26926500000.0,29955000000.0,14600000000.0,16202280000.0,0.0,16300000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-5400000000.0,0.0,0.0,-1687890631.0,-84500000000.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,7778532490.0,0.0,0.0,52000000000.0,0.0,15220000000.0,29780000000.0
28,Cổ tức và tiền lãi nhận được,1724174.0,425753.0,185602.0,357153061.0,10834936.0,1347664518.0,5725267606.0,385131663.0,805384.0,1911751412.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1393132769.0,-890000000.0,4860000000.0,-2000000000.0,0.0,-757396000.0,36061000000.0,-11061000000.0,0.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,4860000000.0,0.0,0.0,0.0,25000000000.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,7190000000.0,2000000000.0,0.0,2171630185.0,0.0,3940000000.0,26261000000.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-8490000000.0,-2890000000.0,0.0,-4171630185.0,0.0,-185492000.0,-15200000000.0,-11061000000.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-93132769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,-4511904000.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,115065209.0,-472706436.0,938230962.0,2263638572.0,-2832726532.0,23068189361.0,-3127144549.0,1326613313.0,8108357420.0,4061820863.0
38,Tiền và tương đương tiền đầu kỳ,877259294.0,992324503.0,519618067.0,1457849029.0,3721487601.0,888761069.0,3232760792.0,105616273.0,1432229586.0,9540587006.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,992324503.0,519618067.0,1457849029.0,3721487601.0,888761069.0,23956950430.0,105616243.0,1432229586.0,9540587006.0,13602407869.0
