,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,70840543671.0,-37735703859.0,92570607144.0,-46276394569.0,-93405044254.0,-51798618242.0,-416020379403.0,-3697545885.0,-162295096210.0,-273814270420.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,16153754787.0,13194097921.0,13884692790.0,12498509736.0,26583965163.0,44000109706.0,45180212641.0,82310453511.0,85856945079.0,83895819244.0
2,Lãi trước thuế,21699007201.0,1299399041.0,1692392484.0,2804754937.0,15287051867.0,23482175376.0,23986888781.0,26441985551.0,26563814155.0,26466251316.0
3,Khấu hao TSCĐ,2141220861.0,1241209392.0,1096680424.0,1668138024.0,2305991132.0,2470296119.0,2437804341.0,2514694455.0,2799405787.0,3108199049.0
5,Chi phí dự phòng,-7007791599.0,1361256392.0,1998113712.0,2548294623.0,2955018532.0,1907719438.0,-4218659084.0,-46160642.0,0.0,-805731823.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,614381.0,688623608.0,0.0,0.0,0.0,0.0,0.0,0.0,428897589.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-11551156696.0,-35028259.0,-307018560.0,-27807167.0,87253443.0,-119209224.0,-66082274.0,-113869154.0,-74185118.0,-60762606.0
9,Chi phí lãi vay,10872475020.0,9326646974.0,8715901122.0,5505129319.0,5948650189.0,16259127997.0,23040260877.0,53513803301.0,56567910255.0,54758965719.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,128304847234.0,-34228238894.0,32815801042.0,-38386268039.0,-149979818492.0,-192935749039.0,-208349957218.0,-532357611384.0,-971849116211.0,1086199224377.0
13,(Tăng)/giảm hàng tồn kho,-13951442614.0,-18596834089.0,-9909209760.0,-29266870818.0,13532595829.0,47349639821.0,-228836110793.0,-428088034242.0,155968313921.0,-316050497086.0
14,Tăng/(giảm) các khoản phải trả,-12148277498.0,40388327283.0,63820188417.0,58069481856.0,-25246713851.0,64793348526.0,3482066563.0,931474497169.0,628927803993.0,-1069726551415.0
15,( Tăng)/giảm chi phí trả trước,-36508459875.0,-29230074080.0,1069703598.0,4888132642.0,19871807.0,4328853717.0,1702742677.0,235480750.0,2524535197.0,2213802460.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,-48160338516.0,48160338516.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-10872475020.0,-8955865879.0,-8715947056.0,-5547023637.0,-5952943985.0,-16194612046.0,-22318971488.0,-53553696917.0,-56190770690.0,-54598930652.0
