,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,479681866886.0,459593501141.0,444491999818.0,596210596178.0,319232456922.0,424767815388.0,1192680876898.0,316214296383.0,241112674195.0,463244164131.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,479681866886.0,459593501141.0,444491999818.0,596210596178.0,319232456922.0,424767815388.0,1192680876898.0,316214296383.0,241112674195.0,463244164131.0
3,Giá vốn hàng bán,-455136396781.0,-419432768354.0,-421292130284.0,-577980872098.0,-286558817452.0,-387085131808.0,-1163934119029.0,-280535079292.0,-215771352554.0,-433486512246.0
4,Lãi gộp,24545470105.0,40160732787.0,23199869534.0,18229724080.0,32673639470.0,37682683580.0,28746757869.0,35679217091.0,25341321641.0,29757651885.0
5,Thu nhập tài chính,58495978.0,12845993.0,29272347.0,13875347.0,20215559.0,48003627.0,1874408.0,21011361.0,3541373.0,394934631.0
6,Chi phí tài chính,-12529123482.0,-15515550480.0,-14129060630.0,-13893706353.0,-14301805242.0,-14266934250.0,-15288694590.0,-16409937761.0,-10594399061.0,-12820384303.0
7,Trong đó: Chi phí lãi vay,-12529123482.0,-15515522590.0,-14129060630.0,-13829900873.0,-14288030032.0,-14320918720.0,-14684903926.0,-17013728425.0,-10594399061.0,-12465934307.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-10984827385.0,-1666071001.0,-8757175139.0,-3015484589.0,-6753443719.0,-9379801461.0,-7873043857.0,-8885621309.0,-10533255805.0,-11694923688.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1090015216.0,22991957299.0,342906112.0,1334408485.0,11638606068.0,14083951496.0,5586893830.0,10404669382.0,4217208148.0,5637278525.0
12,Thu nhập khác,1035007651.0,105200937.0,169744323.0,620256.0,1915.0,15501915.0,16716771.0,0.0,850182.0,2467089.0
13,Chi phí khác,-4200711.0,-264235498.0,-10.0,-144895170.0,-450748.0,-833224851.0,-1043385.0,-38392.0,-6022502.0,607271668.0
14,"Thu nhập khác, ròng",1030806940.0,-159034561.0,169744313.0,-144274914.0,-448833.0,-817722936.0,15673386.0,-38392.0,-5172320.0,609738757.0
16,Lãi/(lỗ) ròng trước thuế,2120822156.0,22832922738.0,512650425.0,1190133571.0,11638157235.0,13266228560.0,5602567216.0,10404630990.0,4212035828.0,6247017282.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-441886541.0,-4636284477.0,-119412195.0,-299639336.0,-2328849789.0,-2573532638.0,-1169449639.0,-2129661395.0,-951339525.0,-1278469438.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-441886541.0,-4636284477.0,-119412195.0,-299639336.0,-2328849789.0,-2573532638.0,-1169449639.0,-2129661395.0,-951339525.0,-1278469438.0
20,Lãi/(lỗ) thuần sau thuế,1678935615.0,18196638261.0,393238230.0,890494235.0,9309307446.0,10692695922.0,4433117577.0,8274969595.0,3260696303.0,4968547844.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1678935615.0,18196638261.0,393238230.0,890494235.0,9309307446.0,10692695922.0,4433117577.0,8274969595.0,3260696303.0,4968547844.0
23,Lãi cơ bản trên cổ phiếu,67.0,722.0,16.0,35.0,405.0,342.0,176.0,223.0,0.0,76.0
24,Lãi trên cổ phiếu pha loãng,67.0,722.0,16.0,35.0,405.0,342.0,176.0,223.0,50.0,76.0
