,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,347834410704.0,-94807943801.0,-288774060279.0,548774022727.0,266655497898.0,-590052303269.0,-452797854554.0,713582234532.0,438180180120.0,-622143153388.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,84832167711.0,98769604078.0,132496869337.0,68997110009.0,54059603084.0,109658568555.0,183598940175.0,143005636514.0,116242975539.0,182546724826.0
2,Lãi trước thuế,48358701063.0,103163680241.0,53236019549.0,25634564478.0,27124539871.0,77786009224.0,92225621647.0,71613198465.0,87295727547.0,154714836325.0
3,Khấu hao TSCĐ,20914345224.0,-1055467357.0,62812198470.0,21244082133.0,15391922193.0,15363338282.0,70640618752.0,43680496781.0,15468995103.0,1475315487.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-19190952030.0,0.0,42680000.0,0.0,73920000.0,0.0,2038011465.0,0.0,3862089986.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-598830856.0,78867305.0,0.0,-170785211.0,170785211.0,924100212.0,0.0,-2240784046.0,0.0,6007153265.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-368808478.0,-1203622959.0,-1076834810.0,-1031703233.0,-551159566.0,-1057958490.0,-2785977809.0,-614880875.0,-1492071747.0,-1957987536.0
9,Chi phí lãi vay,16526760758.0,16977098878.0,17525486128.0,23278271842.0,11923515375.0,16569159327.0,23518677585.0,28529594724.0,14970324636.0,18445317299.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,240859267799.0,-33616160385.0,158946438893.0,-54779634190.0,281020074367.0,-120049699326.0,-158956499494.0,-58074117340.0,30559407663.0,-304792019381.0
13,(Tăng)/giảm hàng tồn kho,210803664727.0,-72313891440.0,-435308642323.0,453728212020.0,21315856697.0,-450084669073.0,-505862523268.0,703358367449.0,250298913402.0,-485701778271.0
14,Tăng/(giảm) các khoản phải trả,-155646817651.0,-79803505907.0,-132435153830.0,120715811701.0,-59724278215.0,-123129726955.0,43512968156.0,-28974038672.0,73846173806.0,-14237557301.0
15,( Tăng)/giảm chi phí trả trước,-15074094823.0,10559707714.0,7057415375.0,-13425502525.0,-17237019407.0,9630885394.0,12783508524.0,-13895103594.0,-14389029499.0,19690116007.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-16237053061.0,-16975847859.0,-17592119231.0,-23524818589.0,-11676968628.0,-16824935982.0,-23639697939.0,-28719723376.0,-16532616105.0,-16571876824.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,-12729199.0,0.0,0.0,-334941622.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,346994000.0,0.0,211831500.0,-211831500.0,706105000.0,178552000.0,0.0,663472000.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2049717998.0,-1427850002.0,-2150700000.0,-2712595000.0,-1807875000.0,568722118.0,-3899609086.0,-3782258449.0,-1845644686.0,-3076762444.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-33226599159.0,-62036170220.0,-47961426669.0,-24256725132.0,-52087952839.0,-58107415833.0,-15178942012.0,-21350761571.0,-71385973791.0,-22476346244.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-32542587880.0,-63433554353.0,-29843631947.0,-25052328776.0,-52151387389.0,-53765245692.0,-18991747679.0,-20680186606.0,-67012416733.0,-24904031863.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,50000000.0,40909091.0,52727272.0,185000000.0,109090909.0,0.0,0.0,0.0,1948929745.0
24,Tiền cho vay hoặc mua công cụ nợ,-3051900000.0,0.0,-1415000000.0,-990000000.0,350000000.0,-4750000000.0,-1000000000.0,-2200000000.0,-6490000000.0,-4250000000.0
