,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển thuần từ hoạt động kinh doanh chứng khoán,-12260128286.0,1316575070.0,55042851595.0,416656005.0,4948960721.0,-3184319169.0,25177381134.0,28337731807.0,-346033995700.0,2846301894.0
2,Lợi nhuận trước thuế,11689152489.0,18090701347.0,6555254402.0,2705163192.0,12946667553.0,2019818558.0,-37423592524.0,61506620160.0,702745967410.0,-559954625232.0
4,Khấu hao tài sản cố định,1180103878.0,1149048070.0,1038840825.0,1073451819.0,971305071.0,964464378.0,616933808.0,301358049.0,170571781.0,565523077.0
6,Các khoản dự phòng,-4659639548.0,128475964.0,4618966765.0,1733900943.0,2992043414.0,-56133724.0,1585949087.0,212056692.0,-983101114.0,-4626373561.0
7,"Lãi, lỗ chêch lệch tỷ giá hối đoái chưa thực hiện",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Lãi, lỗ hoạt động đầu tư",-4915494080.0,-5981630673.0,-3477484784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí lãi vay,994379605.0,1233401271.0,828364185.0,-1341528165.0,-2629588990.0,0.0,0.0,0.0,0.0,720217449.0
47,Tăng/giảm vay và nợ thuê tài sản tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Tăng/giảm vay tài sản tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tăng/giảm Trái phiếu chuyển đổi - Cấu phần nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"(-) Tăng, (+) giảm các khoản phải thu khác",0.0,-14460259612.0,17579348950.0,-228304540.0,7213531388.0,-1025445141.0,910872735.0,-642226300.0,1986344922.0,3599156600.0
64,"(+) Tăng, (-) giảm phải trả khác",10811439068.0,14980269961.0,29525615441.0,-464226117.0,-761599563.0,219476730.0,5004465522.0,-5057043941.0,4426051270.0,-4835274404.0
65,"(+) Tăng, (-) giảm thuế TNDN CTCK đã nộp ",-260000000.0,0.0,0.0,0.0,0.0,-2873238518.0,-598733326.0,-2098000.0,-9034970633.0,-12000000000.0
66,Tăng/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Tăng/giảm chi phí trả trước,547257181.0,-329764244.0,-797690004.0,562989427.0,384290148.0,-8726325.0,1617741.0,-166825395.0,-77300915.0,-276008981.0
69,Tiền lãi vay đã trả,-746532185.0,-1856803156.0,-828364185.0,0.0,0.0,0.0,0.0,0.0,0.0,-720217449.0
70,Tiền thu khác từ hoạt động kinh doanh,37512735239.0,276000000.0,0.0,-1523100123.0,0.0,0.0,0.0,0.0,189531466.0,-3080159311.0
71,Tiền chi khác cho hoạt động kinh doanh,-49871292714.0,-11912863858.0,0.0,-736414594.0,-867490914.0,-426533416.0,-166005495.0,369284856.0,0.0,0.0
72,Lưu chuyển từ hoạt động đầu tư,7972470540.0,1166509381.0,29929004581.0,5440440800.0,-167959200.0,-127011700.0,0.0,-127500000.0,-2330000200.0,-5902119100.0
