,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,781702508459.0,213665165642.0,634341027191.0,813238383231.0,457439869146.0,713245591475.0,1263576179637.0,912350051889.0,1178152168876.0,1242306732051.0
1,Các khoản giảm trừ,-6095956.0,-40579229.0,-483908564.0,226872830.0,0.0,-28538366807.0,-10720594991.0,-31349346063.0,-1428257459.0,-21243395031.0
2,Doanh số thuần,781696412503.0,213624586413.0,633857118627.0,813465256061.0,457439869146.0,684707224668.0,1252855584646.0,881000705826.0,1176723911417.0,1221063337020.0
3,Giá vốn hàng bán,-557562668901.0,-95064709983.0,-430386701990.0,-514920036506.0,-236220072140.0,-469452952942.0,-710574555242.0,-597862419502.0,-822123893979.0,-1089423358966.0
4,Lãi gộp,224133743602.0,118559876430.0,203470416637.0,298545219555.0,221219797006.0,215254271726.0,542281029404.0,283138286324.0,354600017438.0,131639978054.0
5,Thu nhập tài chính,102459516732.0,445373853095.0,313279274081.0,707762417979.0,596332427247.0,681255014912.0,732155308425.0,1013781125206.0,433776520251.0,385219569481.0
6,Chi phí tài chính,-145187919618.0,-224088699741.0,-222417999448.0,-422821080963.0,-434941280589.0,-406262964345.0,-461614617184.0,-746387969073.0,-563502043336.0,-640199168607.0
7,Trong đó: Chi phí lãi vay,-78852521378.0,-155377429410.0,-134961790681.0,-291561559143.0,-318315830656.0,-302414490904.0,-311694883492.0,-388824115483.0,-295731581033.0,-385572436602.0
8,Lãi/(lỗ) từ công ty liên doanh,-9541976816.0,-6692381986.0,-5306445506.0,-22647795197.0,-9119241536.0,-17265131861.0,-9194462093.0,1854322011.0,-11247687427.0,-15217823158.0
9,Chi phí bán hàng,-28759313807.0,-25068284060.0,-23528083286.0,-30339765768.0,-18457745610.0,-26087807462.0,-31041890335.0,-77985821058.0,-41862170836.0,-63530708948.0
10,Chi phí quản lý doanh  nghiệp,-42569930590.0,-77807969376.0,-71517714823.0,-129873011657.0,-77550084566.0,-104805508864.0,-119881867342.0,-116755142098.0,-114686693835.0,-129083678454.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,100534119503.0,230276394362.0,193979447655.0,400625983949.0,277483871952.0,342087874106.0,652703500875.0,357644801312.0,57077942255.0,-331171831632.0
12,Thu nhập khác,5347610521.0,1499780160.0,6887332052.0,1933023743.0,562717786.0,10689988260.0,8726171215.0,22266454946.0,4257447090.0,18347332459.0
13,Chi phí khác,-3975697993.0,-4853945774.0,-782027413.0,-4451643150.0,-7899842941.0,-10666771247.0,-2149325094.0,-6465703251.0,-2057140170.0,-5499053166.0
14,"Thu nhập khác, ròng",1371912528.0,-3354165614.0,6105304639.0,-2518619407.0,-7337125155.0,23217013.0,6576846121.0,15800751695.0,2200306920.0,12848279293.0
16,Lãi/(lỗ) ròng trước thuế,101906032031.0,226922228748.0,200084752294.0,398107364542.0,270146746797.0,342111091119.0,659280346996.0,373445553007.0,59278249175.0,-318323552339.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-25799999183.0,-51109215987.0,-39499482294.0,-91744161159.0,-54520464823.0,-78554023452.0,-130938334383.0,-116350665211.0,-62907370329.0,77607304715.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,89337620.0,804038585.0,2131725169.0,14282215151.0,2291369975.0,7917993096.0,-6041535176.0,66423724769.0,43128356871.0,-98144963430.0
19,Chi phí thuế thu nhập doanh nghiệp,-25710661563.0,-50305177402.0,-37367757125.0,-77461946008.0,-52229094848.0,-70636030356.0,-136979869559.0,-49926940442.0,-19779013458.0,-20537658715.0
20,Lãi/(lỗ) thuần sau thuế,76195370468.0,176617051346.0,162716995169.0,320645418534.0,217917651949.0,271475060763.0,522300477437.0,323518612565.0,39499235717.0,-338861211054.0
21,Lợi ích của cổ đông thiểu số,43654592693.0,11359011307.0,44751730247.0,95741775554.0,52063312081.0,173864408267.0,251626592759.0,75463795392.0,13082310975.0,-136698735649.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,32540777775.0,165258040039.0,117965264922.0,224903642980.0,165854339868.0,97610652496.0,270673884678.0,248054817173.0,26416924742.0,-202162475405.0
23,Lãi cơ bản trên cổ phiếu,239.0,-365.0,0.0,1945.0,0.0,0.0,0.0,1145.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,239.0,-365.0,0.0,1945.0,0.0,0.0,0.0,1145.0,0.0,0.0
