,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ hoạt động kinh doanh,-82797904466.0,-31407465861.0,187037070392.0,82409244816.0,79062106098.0,-52256697252.0,220638580525.0,207762021446.0,18027643867.0,-266322057859.0
1,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,241477186767.0,-68441455371.0,111765750949.0,47342204032.0,340660305989.0,-271077377160.0,266276302785.0,83897777511.0,36469276674.0,28010516984.0
2,Lợi nhuận trước thuế,92878514078.0,89605806620.0,103651160550.0,119507791362.0,138323556519.0,140083473327.0,93945887083.0,68767862642.0,76597422671.0,153763954509.0
3,Khấu hao TSCĐ,1175812943.0,1354084822.0,1553995638.0,1644829670.0,1861951233.0,-12871525616.0,1922815346.0,1842139430.0,2558322292.0,2023988990.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Các khoản dự phòng,65310145461.0,58875980196.0,84718684004.0,28051653814.0,293782871040.0,-324133632784.0,221423243617.0,103367282675.0,24819992761.0,4882130383.0
6,Lãi/lỗ chêch lệch tỷ giá hối đoái,-10873566726.0,-10098742843.0,-1003918660.0,-52341348728.0,52324468795.0,-4541540023.0,-4035072196.0,-12185779682.0,9002080720.0,-9296554183.0
7,Lãi/lỗ từ hoạt động đầu tư,93035013391.0,-208178584167.0,-77154170583.0,-49520722086.0,-145907883801.0,-69648376218.0,-46980571067.0,-77915525148.0,-76496968267.0,-123354909720.0
8,Chi phí lãi vay,-48732379.0,0.0,0.0,0.0,275342203.0,34224154.0,0.0,21797596.0,-11573503.0,-8092995.0
9,Thu lãi và cổ tức ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Các khoản điều chỉnh khác,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0
11,Tăng/giảm các khoản phải thu,-47118510642.0,53787970687.0,11579132185.0,112320911752.0,-55774771573.0,28677088620.0,88687885568.0,20613863376.0,12684300794.0,-103181829204.0
12,Phải thu hoạt động BH gốc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu hoạt động nhận tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu hoạt động nhượng tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu hoạt động khác,-47118510642.0,53787970687.0,11579132185.0,112320911752.0,-55774771573.0,28677088620.0,88687885568.0,20613863376.0,12684300794.0,-103181829204.0
16,Phải thu/trả đơn vị nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tăng/giảm hàng tồn kho,-26366310.0,18711477.0,-5533374.0,18825920.0,-10016296.0,6627264.0,-346996647.0,358982457.0,13217190.0,2234593.0
18,"Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-203667723496.0,4271609233.0,29134525602.0,-30961370020.0,140999327891.0,-85943349915.0,-87456519317.0,338882361324.0,-14949676897.0,-179156030807.0
19,Phải trả hoạt động BH gốc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Phải trả hoạt động nhận tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Phải trả hoạt động nhượng tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Phải trả hoạt động khác,-203667723496.0,4271609233.0,29134525602.0,-30961370020.0,140999327891.0,-85943349915.0,-87456519317.0,338882361324.0,-14949676897.0,-179156030807.0
23,Phải trả CBCNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tăng/giảm chi phí trả trước,20607511174.0,-52300265398.0,-15247136006.0,1291004415.0,14526906981.0,1977002849.0,-2768779902.0,2933479041.0,520140508.0,-15711488305.0
25,Tăng/giảm chứng khoán kinh doanh,-156592641898.0,55914166480.0,78591421477.0,-11526390857.0,8454634588.0,-20828492453.0,6869451841.0,-7134912412.0,-2983482201.0,25305278464.0
26,Tiền lãi vay đã trả,48732379.0,0.0,0.0,0.0,-275342203.0,-34224154.0,0.0,-21583820.0,11459995.0,8017476.0
27,Thuế thu nhập doanh nghiệp đã nộp,-19549214994.0,-20721446165.0,-28261595593.0,-14916703299.0,-24063625099.0,-922743858.0,-1026222556.0,-9192641809.0,-12868050561.0,-20232291232.0
28,Tiền thu khác từ hoạt động kinh doanh,0.0,58394671634.0,-519494848.0,-21159237127.0,21678731975.0,0.0,-49596541247.0,-222575304222.0,272171845469.0,0.0
29,Tiền chi khác từ hoạt động kinh doanh,82023122554.0,-62331428438.0,0.0,0.0,-367134046155.0,295888771555.0,0.0,0.0,-273041387104.0,-1366465828.0
30,Lưu chuyển tiền thuần từ hoạt động đầu tư,-64981605528.0,120425142916.0,-170582876521.0,-37545491822.0,-14111930465.0,-837982154.0,-163492285038.0,-186043829015.0,-44227063653.0,211201626351.0
31,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-155605131.0,-60379226.0,-39850512.0,-1836950634.0,58117575.0,-225433703.0,-207435993.0,1730570.0,-6081602220.0,-4645496935.0
32,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",106570367.0,5670562.0,0.0,1727273.0,467185156.0,-12839340.0,0.0,0.0,0.0,0.0
33,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",791662384881.0,-198684201067.0,-379840295893.0,-1763397622864.0,447837543741.0,-2227330458898.0,-232664801237.0,-2971882698325.0,-343333339867.0,-1646301496610.0
34,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",-789237516743.0,100886725637.0,131139180641.0,1684007206136.0,-614240114490.0,2152540833548.0,18364308929.0,2696155652339.0,237778783294.0,1731052872213.0
35,Tiền chi đầu tư góp vốn vào đơn vị khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",-67357438902.0,218277327010.0,78158089243.0,43680148267.0,151765337553.0,74189916239.0,51015643263.0,89681486401.0,67409095140.0,131095747683.0
38,Lưu chuyển tiền thuần từ hoạt động tài chính,17311264671.0,-93740956937.0,0.0,-12320000.0,-140676120400.0,-35559000.0,0.0,-498826821.0,40239961.0,-854310880.0
39,"Tiền thu phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",66623184.0,-4794741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Tiền vay ngắn hạn, dài hạn được nhận",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Tiền chi trả nợ gốc vay,17910873317.0,0.0,0.0,-12320000.0,12320000.0,0.0,0.0,0.0,0.0,0.0
43,Tiền chi trả nợ thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-666231830.0,-93736162196.0,0.0,0.0,-140688440400.0,-35559000.0,0.0,-498826821.0,40239961.0,-854310880.0
45,Lưu chuyển tiền thuần trong kỳ,-130468245323.0,-4723279882.0,16454193871.0,44851432994.0,-75725944767.0,-53130238406.0,57146295487.0,21219365610.0,-26159179825.0,-55974742388.0
46,Tiền và tương đương tiền đầu kỳ,233640479711.0,102784428900.0,98047858360.0,114502052231.0,154663959044.0,83627540458.0,30091930237.0,87238225724.0,109359899668.0,83200719845.0
47,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-387805488.0,0.0,0.0,-4689526181.0,4689526181.0,0.0,0.0,505592956.0,2.0,1635660363.0
48,Tiền và tương đương tiền cuối kỳ,102784428900.0,98061149018.0,114502052231.0,154663959044.0,83627540458.0,30497302052.0,87238225724.0,108963184290.0,83200719845.0,28861637820.0
