,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,40678554876.0,108427640199.0,18032895070.0,50101884090.0,26817559683.0,42492334979.0,40128502578.0,76596819460.0,19606951921.0,46743497808.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,40678554876.0,108427640199.0,18032895070.0,50101884090.0,26817559683.0,42492334979.0,40128502578.0,76596819460.0,19606951921.0,46743497808.0
3,Giá vốn hàng bán,-30533383734.0,-82056328381.0,-13233569817.0,-37534816671.0,-17601252632.0,-28907552144.0,-30388783255.0,-59265629724.0,-12421903283.0,-37565229582.0
4,Lãi gộp,10145171142.0,26371311818.0,4799325253.0,12567067419.0,9216307051.0,13584782835.0,9739719323.0,17331189736.0,7185048638.0,9178268226.0
5,Thu nhập tài chính,4140629.0,656945791.0,189853020.0,591691.0,1359867.0,3304538.0,68858167.0,2376551345.0,220599789.0,4717650823.0
6,Chi phí tài chính,-195544812.0,-690635389.0,-73542912.0,-326897625.0,-100348385.0,-968699371.0,-42241667.0,-5556600.0,0.0,-674228800.0
7,Trong đó: Chi phí lãi vay,-185523288.0,-182918717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-986324835.0,-5825663596.0,-683929379.0,-1293169428.0,-1880735840.0,-856463509.0,-3104755134.0,-3929502091.0,-425920846.0,-2272458003.0
10,Chi phí quản lý doanh  nghiệp,-4342581704.0,-12884888264.0,-2481932959.0,-3412364786.0,-3336337911.0,-4238523848.0,-3207992229.0,-3974857250.0,-2853405803.0,-3879529248.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,4624860420.0,7627070360.0,1749773023.0,7535227271.0,3900244782.0,7524400645.0,3453588460.0,11797825140.0,4126321778.0,7069702998.0
12,Thu nhập khác,0.0,0.0,200909091.0,57398000.0,0.0,0.0,0.0,0.0,0.0,78181818.0
13,Chi phí khác,0.0,0.0,-210298000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Thu nhập khác, ròng",0.0,0.0,-9388909.0,57398000.0,0.0,0.0,0.0,0.0,0.0,78181818.0
16,Lãi/(lỗ) ròng trước thuế,4624860420.0,7627070360.0,1740384114.0,7592625271.0,3900244782.0,7524400645.0,3453588460.0,11797825140.0,4126321778.0,7147884816.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1020490988.0,-2644989032.0,-391073423.0,-1633142536.0,-836195156.0,-455624898.0,-716864692.0,-1998028093.0,-887459556.0,-1584206654.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1020490988.0,-2644989032.0,-391073423.0,-1633142536.0,-836195156.0,-455624898.0,-716864692.0,-1998028093.0,-887459556.0,-1584206654.0
20,Lãi/(lỗ) thuần sau thuế,3604369432.0,4982081328.0,1349310691.0,5959482735.0,3064049626.0,7068775747.0,2736723768.0,9799797047.0,3238862222.0,5563678162.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3604369432.0,4982081328.0,1349310691.0,5959482735.0,3064049626.0,7068775747.0,2736723768.0,9799797047.0,3238862222.0,5563678162.0
23,Lãi cơ bản trên cổ phiếu,291.0,402.0,109.0,481.0,247.0,570.0,220.0,790.0,261.0,449.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
