,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG CỘNG TÀI SẢN,6240999707184.0,6704793894869.0,6701399239350.0,6026013513552.0,7138181533683.0,7340640315294.0,7463565257577.0,7177968126032.0,7194167740544.0,6923593737098.0
1,TÀI SẢN NGẮN HẠN,5173870333102.0,5585307911619.0,5581791513431.0,5088813379763.0,6170336704818.0,6408280936878.0,6498890940072.0,6367191115624.0,6301997318308.0,6173423770390.0
2,Tiền và tương đương tiền ,299506841552.0,149702205377.0,251175073685.0,215408517704.0,257772113975.0,220659007394.0,181741988659.0,86031302015.0,246536845632.0,168725775157.0
3,Tiền  ,299506841552.0,149702205377.0,251175073685.0,215408517704.0,257772113975.0,220659007394.0,181741988659.0,86031302015.0,246536845632.0,168725775157.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Đầu tư tài chính ngắn hạn,2200037704922.0,2412514816398.0,2569210146630.0,2559251162142.0,2682849368643.0,3061099909998.0,3137751688328.0,3197455189980.0,3043207728047.0,3281540047383.0
6,Đầu tư ngắn hạn ,207548783341.0,199958675495.0,145636968173.0,143865185585.0,134424887186.0,101560822818.0,76530980515.0,109691712829.0,107910091335.0,98535654971.0
7,Dự phòng giảm giá chứng khoán kinh doanh,-76414461752.0,-56133859097.0,-44116821543.0,-41754023443.0,-34770518543.0,-18655912820.0,-17974292187.0,-32431522849.0,-36842363288.0,-44295607588.0
8,Đầu tư nắm giữ đến ngày đáo hạn,2068903383333.0,2268690000000.0,2467690000000.0,2457140000000.0,2583195000000.0,2978195000000.0,3079195000000.0,3120195000000.0,2972140000000.0,3227300000000.0
9,Các khoản phải thu ,1171891823265.0,970158644755.0,1055266973744.0,718792743354.0,688618253270.0,699177977061.0,807401226716.0,821961407687.0,708898039555.0,742791924774.0
10,Phải thu của khách hàng,1133078469023.0,1077963282788.0,1070447109279.0,738331594973.0,706737110924.0,765448605764.0,852779428465.0,825483485601.0,652256514586.0,783602884061.0
11,Phải thu về hợp đồng Bảo hiểm ,1133078469023.0,1077963282788.0,1070447109279.0,738331594973.0,706737110924.0,765448605764.0,852779428465.0,825483485601.0,652256514586.0,783602884061.0
12,Phải thu khác của khách hàng ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Trả trước cho người bán,8511316562.0,7956402252.0,12432736015.0,5960580447.0,5944366186.0,3815664536.0,5081330944.0,5999090621.0,6381930789.0,4069611910.0
14,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Các khoản phải thu khác,303244379428.0,241888245037.0,319399226972.0,317747124170.0,311990291711.0,259345702069.0,273134680917.0,304382703274.0,368332151839.0,269109371506.0
