,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ hoạt động kinh doanh,-67059268346.0,64216751784.0,191834394985.0,-33139507575.0,150019519531.0,334954960059.0,139644884255.0,-176397309447.0,-31132012156.0,-19149556500.0
1,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,174864078376.0,157311225121.0,98100875837.0,-4786618163.0,85712885855.0,134592346294.0,168721979507.0,-54916274623.0,114547307529.0,-44004494571.0
2,Lợi nhuận trước thuế,78891758958.0,43579427450.0,87582425084.0,82498781912.0,61611509513.0,68956049317.0,88983573467.0,82866257022.0,85182246524.0,86267354365.0
3,Khấu hao TSCĐ,2464194904.0,4150218705.0,4021826858.0,5445768793.0,4798272343.0,4821638985.0,8709852669.0,393036257.0,4470859226.0,4271603212.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Các khoản dự phòng,119576566741.0,163841963342.0,72146362459.0,-55413325137.0,84834515418.0,137120006636.0,120225832938.0,-79611728341.0,141422525897.0,-76770019425.0
6,Lãi/lỗ chêch lệch tỷ giá hối đoái,8290163885.0,-1751002317.0,1918920339.0,-3328217159.0,-1792095210.0,1246756659.0,-385563453.0,2357127541.0,3751328616.0,-7107577065.0
7,Lãi/lỗ từ hoạt động đầu tư,-34434074597.0,-52509382059.0,-67568658903.0,-33989626572.0,-63739316209.0,-77552105303.0,-48811716114.0,-60920967102.0,-120342208055.0,-51395518347.0
8,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62555321.0,527164.0
9,Thu lãi và cổ tức ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Các khoản điều chỉnh khác,75468485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729135525.0
11,Tăng/giảm các khoản phải thu,6400384250.0,113834954440.0,64834799628.0,338931132313.0,41957702631.0,79548202879.0,-23073147755.0,-73038648855.0,103447473097.0,-37587736935.0
12,Phải thu hoạt động BH gốc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu hoạt động nhận tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu hoạt động nhượng tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu hoạt động khác,6400384250.0,113834954440.0,64834799628.0,338931132313.0,41957702631.0,79548202879.0,-23073147755.0,-73038648855.0,103447473097.0,-37587736935.0
16,Phải thu/trả đơn vị nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tăng/giảm hàng tồn kho,140278790.0,439196836.0,-950898011.0,283844109.0,-1009264119.0,1275155167.0,2520216.0,480902341.0,-596202766.0,-283328796.0
18,"Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",11695030415.0,-252222681457.0,69528766961.0,-380053066404.0,-23080349557.0,212106302991.0,22160414434.0,14575265529.0,-150119130810.0,71548308344.0
19,Phải trả hoạt động BH gốc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Phải trả hoạt động nhận tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Phải trả hoạt động nhượng tái BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Phải trả hoạt động khác,11695030415.0,-252222681457.0,69528766961.0,-380053066404.0,-23080349557.0,212106302991.0,22160414434.0,14575265529.0,-150119130810.0,71548308344.0
23,Phải trả CBCNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tăng/giảm chi phí trả trước,-24496142195.0,-9853469389.0,-19358131046.0,-59048586073.0,48425288957.0,-120431587708.0,-39483309674.0,-15973102609.0,-87365002296.0,-16916603969.0
25,Tăng/giảm chứng khoán kinh doanh,0.0,0.0,0.0,56093489910.0,9440298399.0,32864064368.0,25029842303.0,-33160732314.0,1781621494.0,9374436364.0
26,Tiền lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Thuế thu nhập doanh nghiệp đã nộp,-28785099164.0,64681940991.0,0.0,-4880721651.0,-11427042635.0,-4999523932.0,-13713414776.0,-14364718916.0,-12828078404.0,-1280136937.0
28,Tiền thu khác từ hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Tiền chi khác từ hoạt động kinh doanh,-206877798818.0,-9974414758.0,-20321018384.0,20321018384.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Lưu chuyển tiền thuần từ hoạt động đầu tư,-37302668216.0,-215772390276.0,-88569021157.0,178304623316.0,-107648797473.0,-372068072649.0,-177605792256.0,243872486295.0,187827711737.0,-58724069296.0
31,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-918655403.0,-10358198534.0,615393440.0,-10093008186.0,-333113682.0,-1328559623.0,-4931821471.0,3265263172.0,-143023988.0,-828731085.0
32,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",4245091.0,126377636.0,856563636.0,16653636.0,350000.0,18145455.0,3988182.0,1109182.0,4197819.0,12799091.0
33,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",3147485333053.0,1887473507722.0,783342348964.0,-1762043348964.0,-702055000000.0,-1123140000000.0,-1059000000000.0,-369840000000.0,-573000000000.0,-1062160000000.0
34,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",-3241641028376.0,-2143950619198.0,-938782526416.0,1916332526416.0,531000000000.0,757140000000.0,921000000000.0,478840000000.0,636055000000.0,942000000000.0
35,Tiền chi đầu tư góp vốn vào đơn vị khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",57767437419.0,50936542098.0,65399199219.0,34091800414.0,63738966209.0,-4757658481.0,-34677958967.0,131606113941.0,124911537906.0,62251862698.0
38,Lưu chuyển tiền thuần từ hoạt động tài chính,137031056700.0,0.0,0.0,-182708075600.0,0.0,0.0,0.0,-164435977500.0,-62555321.0,62555321.0
39,"Tiền thu phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Tiền vay ngắn hạn, dài hạn được nhận",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Tiền chi trả nợ gốc vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Tiền chi trả nợ thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",137031056700.0,0.0,0.0,-182708075600.0,0.0,0.0,0.0,-164435977500.0,-62555321.0,62555321.0
45,Lưu chuyển tiền thuần trong kỳ,32669120138.0,-151555638492.0,103265373828.0,-37542959859.0,42370722058.0,-37113112590.0,-37960908001.0,-96960800652.0,156633144260.0,-77811070475.0
46,Tiền và tương đương tiền đầu kỳ,274680375748.0,299506841552.0,149828620196.0,251175073685.0,215408517704.0,257772113975.0,220659039990.0,181741988659.0,86031302015.0,246536845632.0
47,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-7842654334.0,1751002317.0,-1918920339.0,1776403878.0,-7125787.0,6008.0,-956143330.0,1250114008.0,3872399357.0,0.0
