,CHỈ TIÊU,Q1 2008,Q2 2008,Q1 2009,Q2 2009,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,77296387055.0,65717883088.0,0.0,0.0,17012385787.0,41325833401.0,30513414864.0,59059470035.0,69714434292.0
1,Các khoản giảm trừ,-150760423.0,-280820988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,77145626632.0,65437062100.0,0.0,0.0,17012385787.0,41325833401.0,30513414864.0,59059470035.0,69714434292.0
3,Giá vốn hàng bán,-67200946553.0,-57115275478.0,0.0,0.0,-12194282233.0,-33915409442.0,-24564668262.0,-46245329398.0,-57441309623.0
4,Lãi gộp,9944680079.0,8321786622.0,0.0,0.0,4818103554.0,7410423959.0,5948746602.0,12814140637.0,12273124669.0
5,Thu nhập tài chính,33305665.0,30402339.0,0.0,0.0,741496213.0,337181470.0,988087137.0,3274138812.0,4718067180.0
6,Chi phí tài chính,-297489594.0,-200579000.0,0.0,0.0,-116553910.0,-236053462.0,-358208846.0,-417920694.0,-480818056.0
7,Trong đó: Chi phí lãi vay,-280857220.0,-89474000.0,0.0,0.0,0.0,-236053462.0,-358208846.0,-417920694.0,-480818056.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-4878362017.0,-5532032339.0,0.0,0.0,-224952749.0,-633080680.0,-64187311.0,-636139057.0,-2976177839.0
10,Chi phí quản lý doanh  nghiệp,-1833939303.0,-1596872196.0,0.0,0.0,-2170051030.0,-1560992480.0,-2152432367.0,-1903689988.0,-2406114537.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2968194830.0,1022705426.0,0.0,0.0,3048042078.0,5317478807.0,4362005215.0,13130529710.0,11128081417.0
12,Thu nhập khác,63524066.0,118371946.0,0.0,0.0,79997010.0,64177376.0,114561746.0,141565873.0,1033589302.0
13,Chi phí khác,-110726999.0,-2305748.0,0.0,0.0,-414387931.0,-64249364.0,-485507287.0,-673240853.0,-652415131.0
14,"Thu nhập khác, ròng",-47202933.0,116066198.0,0.0,0.0,-334390921.0,-71988.0,-370945541.0,-531674980.0,381174171.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,2920991897.0,1138771624.0,0.0,0.0,2713651157.0,5317406819.0,3991059674.0,12598854730.0,11509255588.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-408938866.0,-159428027.0,0.0,0.0,-385170467.0,-1063481364.0,-872415645.0,-2519770946.0,-2514520964.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-408938866.0,-159428027.0,0.0,0.0,-385170467.0,-1063481364.0,-872415645.0,-2519770946.0,-2514520964.0
20,Lãi/(lỗ) thuần sau thuế,2512053031.0,979343597.0,0.0,0.0,2328480690.0,4253925455.0,3118644029.0,10079083784.0,8994734624.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2512053031.0,979343597.0,0.0,0.0,2328480690.0,4253925455.0,3118644029.0,10079083784.0,8994734624.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,78.0,142.0,-23.0,96.0,86.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
