,CHỈ TIÊU,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q1 2018,Q4 2018,Q1 2019
0,Doanh số,31248499492.0,27563629046.0,24630236355.0,24630236355.0,17023789720.0,16116261526.0,15810754520.0,17404423958.0,14939916699.0,8464118155.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,31248499492.0,27563629046.0,24630236355.0,24630236355.0,17023789720.0,16116261526.0,15810754520.0,17404423958.0,14939916699.0,8464118155.0
3,Giá vốn hàng bán,-27545993562.0,-24140372273.0,-21646426180.0,-21646426180.0,-15259931669.0,-13230728582.0,-13851462631.0,-16080691251.0,-13831912376.0,-8215471598.0
4,Lãi gộp,3702505930.0,3423256773.0,2983810175.0,2983810175.0,1763858051.0,2885532944.0,1959291889.0,1323732707.0,1108004323.0,248646557.0
5,Thu nhập tài chính,142366422.0,40239676.0,464460877.0,464460877.0,36062502.0,359143354.0,101479708.0,50637922.0,126125342.0,28768289.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-363416790.0,-477704530.0,-422203348.0,-422203348.0,-248350669.0,-368246141.0,-170664212.0,-203197865.0,-145556649.0,-84932962.0
10,Chi phí quản lý doanh  nghiệp,-1415929732.0,-1282479201.0,-1059613957.0,-1059613957.0,-1152323891.0,-1311742537.0,-1083677780.0,-853544519.0,-747160182.0,-738478096.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2065525830.0,1703312718.0,1966453747.0,1966453747.0,399245993.0,1564687620.0,806429605.0,317628245.0,341412834.0,-545996212.0
12,Thu nhập khác,10709089.0,3299991.0,564041813.0,564041813.0,2281818.0,2000000.0,3700000.0,0.0,18494.0,0.0
13,Chi phí khác,0.0,0.0,-133000000.0,-133000000.0,0.0,0.0,0.0,0.0,-71058165.0,0.0
14,"Thu nhập khác, ròng",10709089.0,3299991.0,431041813.0,431041813.0,2281818.0,2000000.0,3700000.0,0.0,-71039671.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,2076234919.0,1706612709.0,2397495560.0,2397495560.0,401527811.0,1566687620.0,810129605.0,317628245.0,270373163.0,-545996212.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-519058730.0,-426653177.0,-157803048.0,-157803048.0,-100381953.0,-391671905.0,-202532401.0,-63525649.0,-68286265.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-519058730.0,-426653177.0,-157803048.0,-157803048.0,-100381953.0,-391671905.0,-202532401.0,-63525649.0,-68286265.0,0.0
20,Lãi/(lỗ) thuần sau thuế,1557176189.0,1279959532.0,2239692512.0,2239692512.0,301145858.0,1175015715.0,607597204.0,254102596.0,202086898.0,-545996212.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1557176189.0,1279959532.0,2239692512.0,2239692512.0,301145858.0,1175015715.0,607597204.0,254102596.0,202086898.0,-545996212.0
23,Lãi cơ bản trên cổ phiếu,1309.0,1076.0,1882.0,1882.0,253.0,987.0,0.0,0.0,142.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
