,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,683349931752.0,692860266500.0,676121212020.0,681234223399.0,682557579143.0,689162756154.0,665995057476.0,669821138418.0,769033722138.0,778312015479.0
1,TÀI SẢN NGẮN HẠN,304912816284.0,293005633885.0,305176336881.0,312526588248.0,325213148280.0,464260074497.0,438746850785.0,446020394227.0,539428701323.0,529486501063.0
2,Tiền và tương đương tiền,26396658566.0,55759647607.0,22866826892.0,18180771980.0,13467371763.0,20675995549.0,19682251700.0,9550123446.0,46428481278.0,45468770960.0
3,Tiền,6431839973.0,7886425614.0,12896604899.0,10579396187.0,5795995970.0,15993427456.0,13549683607.0,5276369653.0,39154727485.0,32123785067.0
4,Các khoản tương đương tiền,19964818593.0,47873221993.0,9970221993.0,7601375793.0,7671375793.0,4682568093.0,6132568093.0,4273753793.0,7273753793.0,13344985893.0
5,Giá trị thuần đầu tư ngắn hạn,247678000000.0,212898000000.0,248021000000.0,249198000000.0,269539000000.0,413489038600.0,386462859900.0,390292058600.0,443393614800.0,456593663400.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,99622038600.0,69151859900.0,69151859900.0,78267159900.0,88826046980.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19000801300.0,-20783545100.0,-23272383580.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,247678000000.0,212898000000.0,248021000000.0,249198000000.0,269539000000.0,313867000000.0,317311000000.0,340141000000.0,385910000000.0,391040000000.0
9,Các khoản phải thu,23374287999.0,13937502575.0,18234925544.0,21169750671.0,23009505038.0,14962835724.0,20672138037.0,25295984447.0,41303233574.0,19940544954.0
10,Phải thu khách hàng,8853992904.0,6751795914.0,7716931574.0,6874535786.0,8491215630.0,7192566989.0,12667377755.0,10145787591.0,10101008054.0,9790162365.0
11,Trả trước người bán,230330000.0,982195813.0,217525719.0,1085883308.0,1114144181.0,2244319636.0,224810607.0,201797538.0,164262938.0,1059124938.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,14939064288.0,6863829054.0,10956786457.0,13882478301.0,14077291951.0,6338277046.0,8577277622.0,15807902529.0,31893465793.0,10244034231.0
16,Dự phòng nợ khó đòi,-649099193.0,-660318206.0,-656318206.0,-673146724.0,-673146724.0,-812327947.0,-797327947.0,-859503211.0,-855503211.0,-1152776580.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",7361595140.0,10343276221.0,16020810726.0,23875955689.0,18892918918.0,14846619484.0,11831499331.0,18495411539.0,6357714202.0,7468097333.0
19,Hàng tồn kho,7472901785.0,10343276221.0,16020810726.0,23875955689.0,18892918918.0,14846619484.0,11831499331.0,18495411539.0,6357714202.0,7468097333.0
20,Dự phòng giảm giá HTK,-111306645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,102274579.0,67207482.0,32773719.0,102109908.0,304352561.0,285585140.0,98101817.0,2386816195.0,1945657469.0,15424416.0
22,Trả trước ngắn hạn,102274579.0,67207482.0,32773719.0,3083337.0,5240001.0,13843378.0,98101817.0,889986567.0,452428535.0,15424416.0
23,Thuế VAT phải thu,0.0,0.0,0.0,99026571.0,299112560.0,271741762.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496829628.0,1493228934.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
