,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1760422266.0,6013882020.0,242818339.0,-3340469304.0,9920575825.0,41801563172.0,37084451318.0,11168716158.0,84765066685.0,-4419009440.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,249477439.0,23384846021.0,-10787303729.0,-1160131833.0,-14448522267.0,-34592939386.0,-4128569767.0,-20908037162.0,-47886708853.0,3506280422.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-384537000.0,-219389836.0,-1690359053.0,0.0,-1219338598.0,-3025687599.0,-5727903.0,-8815581947.0,-184584000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-65963000000.0,-171318000000.0,-17600000000.0,-28970000000.0,-97444000000.0,-192440000000.0,-32245000000.0,-86100000000.0,-168250000000.0,-222790000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,61594487000.0,182115000000.0,6460000000.0,27793000000.0,77103000000.0,148112000000.0,28801000000.0,63270000000.0,122481000000.0,217660000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,4617990439.0,12972383021.0,572086107.0,1707227220.0,5892477733.0,10954399212.0,2341117832.0,1927690741.0,6697873094.0,8820864422.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1197516400.0,-35739000.0,-22348335325.0,-185453775.0,-185453775.0,0.0,-33949625400.0,-392807250.0,0.0,-46981300.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-1197516400.0,-35739000.0,-22348335325.0,-185453775.0,-185453775.0,0.0,-33949625400.0,-392807250.0,0.0,-46981300.0
37,Lưu chuyển tiền thuần trong kỳ,812383305.0,29362989041.0,-32892820715.0,-4686054912.0,-4713400217.0,7208623786.0,-993743849.0,-10132128254.0,36878357832.0,-959710318.0
38,Tiền và tương đương tiền đầu kỳ,25584275261.0,26396658566.0,55759647607.0,22866826892.0,18180771980.0,13467371763.0,20675995549.0,19682251700.0,9550123446.0,46428481278.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,26396658566.0,55759647607.0,22866826892.0,18180771980.0,13467371763.0,20675995549.0,19682251700.0,9550123446.0,46428481278.0,45468770960.0
