,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,71013896568.0,148287452401.0,-21114383042.0,-3025602464.0,9666548485.0,53011842720.0,8048366255.0,-70424044019.0,-45894027216.0,78534801807.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-6117191646.0,3419999730.0,399709515.0,-1806427728.0,-1021756505.0,-15532875988.0,50431410.0,1126183968.0,245662680.0,-85420809058.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-7336239931.0,-32363636.0,-1500000.0,-2837564644.0,-1500000.0,0.0,-280356561.0,169245450.0,-73330067.0,-8545518010.0
23,Tiền thu được từ thanh lý tài sản cố định,1056744300.0,2816800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,-26705000000.0,0.0,0.0,0.0,-83484500000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,8000000.0,0.0,0.0,0.0,-1100000000.0,10100000000.0,0.0,0.0,0.0,5460000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,154303985.0,3449546566.0,401209515.0,1031136916.0,79743495.0,1072124012.0,330787971.0,956938518.0,318992747.0,1149208952.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-61471826939.0,-146239446068.0,15371227954.0,12763825722.0,-6710588641.0,-47289755614.0,-14280742259.0,76071774875.0,39167808957.0,7439746681.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,3002481075.0,-18921149107.0,160500343920.0,128616400033.0,103438111166.0,153452941505.0,96509978289.0,218125672558.0,109917537763.0,45836546680.0
33,Tiển trả các khoản đi vay,-64474308014.0,-92023467881.0,-145129115966.0,-115852574311.0,-110148699807.0,-156631252769.0,-110790720548.0,-142053897683.0,-70749728806.0,-38396799999.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-35294829080.0,0.0,0.0,0.0,-44111444350.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,3424877983.0,5468006063.0,-5343445573.0,7931795530.0,1934203339.0,-9810788882.0,-6181944594.0,6773914824.0,-6480555579.0,553739430.0
38,Tiền và tương đương tiền đầu kỳ,10044396877.0,13469274860.0,18937280923.0,13593835350.0,21525630880.0,23459834219.0,13649045337.0,7467100743.0,14241015567.0,7760459988.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,13469274860.0,18937280923.0,13593835350.0,21525630880.0,23459834219.0,13649045337.0,7467100743.0,14241015567.0,7760459988.0,8314199418.0
