,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,186631139011.0,297341850351.0,508333196102.0,337174624334.0,699749263687.0,19027168119.0,554143848492.0,502836643305.0,310915750992.0,688630759611.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,457423935608.0,524785959632.0,603134826669.0,512730191873.0,666771280473.0,328184751406.0,547875975211.0,636887439146.0,592129354843.0,851860155608.0
2,Lãi trước thuế,125964842356.0,213069688936.0,328301148300.0,257774803645.0,432396465546.0,100992830489.0,226713780181.0,290832743157.0,254492336625.0,535957349060.0
3,Khấu hao TSCĐ,149932367755.0,152577368379.0,152739776745.0,153360303628.0,152794168949.0,153325456922.0,195459693285.0,213942673007.0,225653436500.0,225669389879.0
5,Chi phí dự phòng,0.0,600513.0,152484567.0,0.0,-80000000.0,-72484567.0,-34857913.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,170613.0,250186.0,-57443.0,0.0,0.0,0.0,-96565657.0,88560565.0,139520.0,-5662128.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-9123649530.0,-8066242621.0,-9412394875.0,-9799747092.0,-16953840682.0,-11021147575.0,-2647696174.0,-4840337703.0,-3915149699.0,-7131983962.0
9,Chi phí lãi vay,190650204414.0,167204294239.0,131353869375.0,111394831692.0,98614486660.0,84960096137.0,128481621489.0,136863800120.0,115898591897.0,97371062759.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-85279341115.0,-79182754264.0,53783901273.0,-65085353778.0,154563610976.0,-169991053936.0,124030513088.0,-12587067199.0,-120111722423.0,-45076087809.0
13,(Tăng)/giảm hàng tồn kho,-753122956.0,-13998504256.0,315181375.0,11832376294.0,94055458.0,519225512.0,999035642.0,-549646303.0,13530224975.0,-1839760781.0
14,Tăng/(giảm) các khoản phải trả,13720590849.0,22888107955.0,-9368525731.0,11664821827.0,5381048235.0,-3704697077.0,5598685845.0,25800471935.0,740063284.0,-3665850783.0
15,( Tăng)/giảm chi phí trả trước,-8498487788.0,-1002980784.0,249026899.0,-8792850390.0,678153642.0,-32624197171.0,13602152899.0,8578822099.0,-33282964778.0,17845937060.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-195017982198.0,-152304294239.0,-131353869375.0,-111394831692.0,-98614486660.0,-84960096137.0,-121986982503.0,-137455864664.0,-117022308360.0,-97699669004.0
18,Thuế thu nhập doanh nghiệp đã trả,5035546611.0,0.0,0.0,55000000.0,-14269993116.0,-7794220082.0,-8251763001.0,-7732532429.0,-18335299360.0,-22146280542.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,11500000.0,0.0,0.0,124000000.0,124000000.0,0.0,0.0,0.0,0.0
