,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,198551208286.0,234925551586.0,272920599265.0,287701854830.0,252047308308.0,378435694351.0,350194092278.0,386239280462.0,264280885731.0,263727304688.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,198551208286.0,234925551586.0,272920599265.0,287701854830.0,252047308308.0,378435694351.0,350194092278.0,386239280462.0,264280885731.0,263727304688.0
3,Giá vốn hàng bán,-91294315148.0,-125230848297.0,-161251002578.0,-175292192096.0,-140919611218.0,-247497346604.0,-226045399844.0,-263870404091.0,-157303276941.0,-138576079491.0
4,Lãi gộp,107256893138.0,109694703289.0,111669596687.0,112409662734.0,111127697090.0,130938347747.0,124148692434.0,122368876371.0,106977608790.0,125151225197.0
5,Thu nhập tài chính,787535159.0,586906285.0,2847041651.0,7127015425.0,7668456329.0,6642741753.0,9993009338.0,10150543126.0,6864179039.0,7252301571.0
6,Chi phí tài chính,-7582517343.0,-4947152889.0,-8664589732.0,-6879059221.0,-1765849023.0,-2747936170.0,-2005309118.0,-1025761342.0,-60527118.0,-1173882.0
7,Trong đó: Chi phí lãi vay,-6356657144.0,-3844200100.0,-5914898170.0,-6858274606.0,-1754091146.0,-2725882273.0,-1998786967.0,-1025438688.0,-59072936.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,225870438.0,4818665065.0,4583782141.0,4535759104.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,-193636364.0,-163636364.0,-396636364.0,-665529748.0,-103881001.0,-3450859328.0
10,Chi phí quản lý doanh  nghiệp,-9133510516.0,-10063115260.0,-13675541260.0,-11693784217.0,-13847932556.0,-19395714686.0,-19244598748.0,-21130719528.0,-19582778722.0,-23556431798.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,91328400438.0,95271341425.0,92176507346.0,100963834721.0,102988735476.0,115273802280.0,112721027980.0,114516073944.0,98678383129.0,109930820864.0
12,Thu nhập khác,650000000.0,490660800.0,5897887979.0,919505840.0,2316583166.0,85200800.0,253954072.0,397920575.0,68636365.0,2568508533.0
13,Chi phí khác,-560000000.0,-19807349.0,0.0,-41964117.0,-795556622.0,-498272999.0,-41222506.0,0.0,-299200000.0,-166973394.0
14,"Thu nhập khác, ròng",90000000.0,470853451.0,5897887979.0,877541723.0,1521026544.0,-413072199.0,212731566.0,397920575.0,-230563635.0,2401535139.0
16,Lãi/(lỗ) ròng trước thuế,91418400438.0,95742194876.0,98074395325.0,101841376444.0,104509762020.0,114860730081.0,112933759546.0,114913994519.0,98447819494.0,112332356003.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-9169878804.0,-19294035986.0,-19800434027.0,-20513972653.0,-20992347916.0,-23018657982.0,-22666689991.0,-16379429473.0,-13593790477.0,-21700559946.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-9169878804.0,-19294035986.0,-19800434027.0,-20513972653.0,-20992347916.0,-23018657982.0,-22666689991.0,-16379429473.0,-13593790477.0,-21700559946.0
20,Lãi/(lỗ) thuần sau thuế,82248521634.0,76448158890.0,78273961298.0,81327403791.0,83517414104.0,91842072099.0,90267069555.0,98534565046.0,84854029017.0,90631796057.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,2546556347.0,2559087385.0,1880070013.0,-1217127335.0,5837971.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,82248521634.0,76448158890.0,78273961298.0,81327403791.0,83517414104.0,89295515752.0,87707982170.0,96654495033.0,86071156352.0,90625958086.0
23,Lãi cơ bản trên cổ phiếu,3427.0,3084.0,2398.0,2272.0,2334.0,2425.0,2427.0,2674.0,2.0,2532.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,2427.0,2674.0,2.0,2532.0
