,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,38643559289.0,-28375580719.0,-24877218337.0,17358418618.0,-37998283481.0,75818574179.0,-2358529775.0,38753535933.0,54842080823.0,-9994615544.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,20622169439.0,18740897431.0,20874872023.0,19155108996.0,12923826277.0,27648238050.0,5191496101.0,23993894594.0,27903483845.0,22241041774.0
2,Lãi trước thuế,9285852010.0,10182741273.0,8528316548.0,8388496727.0,2061269894.0,15464369442.0,-5554108808.0,13970443474.0,18832195328.0,10816206043.0
3,Khấu hao TSCĐ,11473055508.0,11599456989.0,12149642246.0,11266978371.0,11071869783.0,11066360068.0,10960985887.0,10632603618.0,9948788201.0,11774209967.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-973117581.0,0.0,984155761.0,137936581.0,1216338616.0,0.0,2622722.0,54774588.0,155579822.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-928689777.0,-2913608486.0,-748466326.0,-2430760450.0,-1266567720.0,-993468311.0,-1174238750.0,-1560341305.0,-2013375558.0,-2123351886.0
9,Chi phí lãi vay,791951698.0,845425236.0,945379555.0,946238587.0,919317739.0,894638235.0,958857772.0,948566085.0,1081101286.0,1618397828.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,1973153970.0,-5362546653.0,423142677.0,-16137069205.0,-81845280652.0,89252657751.0,2542905154.0,6600802749.0,-2694091705.0,2093249934.0
13,(Tăng)/giảm hàng tồn kho,6247860042.0,-2896135684.0,-269644384.0,1327187646.0,373412979.0,2204321619.0,2755115831.0,220382236.0,-378492162.0,-8637271160.0
14,Tăng/(giảm) các khoản phải trả,19864620167.0,-35081423891.0,-39785396140.0,16971075525.0,27252490803.0,-32796689187.0,-9124992635.0,12396215655.0,24248270377.0,-38604148315.0
15,( Tăng)/giảm chi phí trả trước,-7090851379.0,3489456802.0,3449517125.0,464516808.0,7224963906.0,-3823752793.0,4310966472.0,-316401706.0,7402679788.0,26307914272.0
