,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,6238265835.0,6696145506.0,3299559696.0,9463054243.0,11575202411.0,7019791574.0,2725564979.0,1390076418.0,19027069758.0,4042670823.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,6238265835.0,6696145506.0,3299559696.0,9463054243.0,11575202411.0,7019791574.0,2725564979.0,1390076418.0,19027069758.0,4042670823.0
3,Giá vốn hàng bán,-4944591982.0,-4883800411.0,-3704131851.0,-9458795677.0,-10856473384.0,-9337567285.0,-6119336038.0,131495819.0,-18874884658.0,-7551861432.0
4,Lãi gộp,1293673853.0,1812345095.0,-404572155.0,4258566.0,718729027.0,-2317775711.0,-3393771059.0,1521572237.0,152185100.0,-3509190609.0
5,Thu nhập tài chính,26460.0,2135211.0,71885.0,121864.0,40398626.0,813435.0,98354.0,805353.0,162432.0,65802005.0
6,Chi phí tài chính,-2630158657.0,-2569998615.0,-2516505067.0,-2606269147.0,-2553777576.0,-2575477245.0,-2613724412.0,-2641063459.0,-2646115013.0,-2471759452.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,-4992338056.0,0.0,0.0,0.0,-4946192329.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-26363636.0,-199142874.0,-281272726.0,-607395395.0,-283968436.0,-443218086.0,-715171537.0,-456135501.0,-362244354.0,-471406500.0
10,Chi phí quản lý doanh  nghiệp,-140084954.0,-107858023.0,-104772520.0,-238532058.0,-111705316.0,32265791899.0,-122307630.0,13810690409.0,3055877664.0,-184043108.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1502906934.0,-1062519206.0,-3307050583.0,-3447816170.0,-2190323675.0,26930134292.0,-6844876284.0,12235869039.0,199865829.0,-6570597664.0
12,Thu nhập khác,76666667.0,0.0,0.0,29454830.0,0.0,0.0,0.0,0.0,351736.0,0.0
13,Chi phí khác,-652249865.0,-3882650450.0,-98971711.0,-173233278.0,-124829000.0,-138140000.0,-83125000.0,-3472955618.0,-1778040353.0,-652726822.0
14,"Thu nhập khác, ròng",-575583198.0,-3882650450.0,-98971711.0,-143778448.0,-124829000.0,-138140000.0,-83125000.0,-3472955618.0,-1777688617.0,-652726822.0
16,Lãi/(lỗ) ròng trước thuế,-2078490132.0,-4945169656.0,-3406022294.0,-3591594618.0,-2315152675.0,26791994292.0,-6928001284.0,8762913421.0,-1577822788.0,-7223324486.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81275667.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81275667.0
20,Lãi/(lỗ) thuần sau thuế,-2078490132.0,-4945169656.0,-3406022294.0,-3591594618.0,-2315152675.0,26791994292.0,-6928001284.0,8762913421.0,-1577822788.0,-7304600153.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-2078490132.0,-4945169656.0,-3406022294.0,-3591594618.0,-2315152675.0,26791994292.0,-6928001284.0,8762913421.0,-1577822788.0,-7304600153.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
