,Unnamed: 0,Q2 2020,Q3 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,166735682491.0,329904213901.0,8622128197.0,-54427589348.0,10509015223.0,35655849328.0,144695493766.0,-368132574541.0,728439929582.0,56670153580.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-87885159121.0,-7860091777.0,-2762504307.0,2141885181.0,64423639352.0,-509427818010.0,-47485166324.0,3463144897.0,-37223150076.0,150403280953.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-50291407391.0,50291407391.0,0.0,-33744635570.0,33274630910.0,0.0,0.0,-43743678961.0,43653401924.0,-23352262667.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,32885210814.0,-32885210814.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-7424114575.0,-16558023973.0,-6295000000.0,6097958069.0,-24966338069.0,-82310384817.0,-32693140000.0,-167606860000.0,81516860000.0,-226500000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,2730000000.0,-2730000000.0,89239677547.0,107467153141.0,34506293445.0,165493706555.0,-113086643385.0,400000000000.0
26,Đầu tư vào các doanh nghiệp khác,-31006828270.0,-40758343460.0,0.0,-620000000.0,0.0,-535000000000.0,-49300513000.0,49300513000.0,-49300513000.0,-200000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,737000000.0,-737000000.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,837191115.0,-835131735.0,802495693.0,-483648132.0,497879778.0,415413666.0,2193231.0,19464303.0,-6255615.0,455543620.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-60890575223.0,-320267288185.0,3479486184.0,38918913540.0,-63214498017.0,486330744453.0,-108028909595.0,381344690219.0,-673698075466.0,-230957259234.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,8600000000.0,3168940000.0,0.0,0.0,304087510000.0,582000000000.0,49300513000.0,-49300513000.0,60300513000.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,561332890763.0,-61764975953.0,441510076787.0,833034902736.0,101833471892.0,859031562083.0,555485806049.0,1191202369258.0,192567441428.0,392297339019.0
33,Tiển trả các khoản đi vay,-627472145176.0,-270092455534.0,-436237093990.0,-792301025731.0,-465930294212.0,-954167788206.0,-709737614394.0,-756363939842.0,-919394554142.0,-619795011805.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-3351320810.0,8421203302.0,-1793496613.0,-1814963465.0,-3205185697.0,-533029424.0,-3077614250.0,-4193226197.0,-7171475752.0,-3459586448.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,17959948147.0,1776833939.0,9339110074.0,-13366790627.0,11718156558.0,12558775771.0,-10818582153.0,16675260575.0,17518704040.0,-23883824701.0
38,Tiền và tương đương tiền đầu kỳ,15607337949.0,33835690622.0,6282632017.0,15621742091.0,2321692984.0,13973108022.0,26837603516.0,16019026440.0,33617295799.0,51136122840.0
39,Ảnh hưởng của chênh lệch tỷ giá,268404526.0,-268404526.0,0.0,66741520.0,-66741520.0,305719723.0,5077.0,923008784.0,123001.0,-552603645.0
40,Tiền và tương đương tiền cuối kỳ,33835690622.0,35344120035.0,15621742091.0,2321692984.0,13973108022.0,26837603516.0,16019026440.0,33617295799.0,51136122840.0,26699694494.0
