,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,86949950029.0,97539381958.0,87972653393.0,100913619170.0,105921688991.0,112468036747.0,136605806961.0,171848244826.0
1,TÀI SẢN NGẮN HẠN,48979988821.0,53497448067.0,42214262435.0,53671342107.0,62798802226.0,70659892119.0,92773167472.0,124596811507.0
2,Tiền và tương đương tiền,19745534196.0,16148904721.0,10904564801.0,13649209031.0,13192295839.0,8751237794.0,18676800374.0,30558808574.0
3,Tiền,2941372468.0,1357818645.0,1608346734.0,4624837818.0,1113387646.0,599436371.0,3558534818.0,2823706474.0
4,Các khoản tương đương tiền,16804161728.0,14791086076.0,9296218067.0,9024371213.0,12078908193.0,8151801423.0,15118265556.0,27735102100.0
5,Giá trị thuần đầu tư ngắn hạn,720412778.0,764268741.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,720412778.0,764268741.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,5185212442.0,5771987412.0,2591801453.0,3681993729.0,5909948566.0,5248921590.0,6818399752.0,10735121252.0
10,Phải thu khách hàng,57736000.0,256697000.0,2274912000.0,407401000.0,1381452000.0,1790590500.0,1794318000.0,891151300.0
11,Trả trước người bán,0.0,0.0,0.0,200000000.0,540456000.0,160500000.0,1657063000.0,5234884000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,4810000000.0,5210000000.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,246050004.0,204394638.0,295890600.0,3040545620.0,3947396905.0,3256085252.0,3366470052.0,4602487252.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,71426438.0,100895774.0,20998853.0,34047109.0,40643661.0,41745838.0,548700.0,6598700.0
18,"Hàng tồn kho, ròng",23208134405.0,30650871711.0,28106406374.0,35997287447.0,43307200321.0,56313102280.0,67277967346.0,83302881681.0
19,Hàng tồn kho,23208134405.0,30650871711.0,28106406374.0,35997287447.0,43307200321.0,56313102280.0,67277967346.0,83302881681.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,120695000.0,161415482.0,611489807.0,342851900.0,389357500.0,346630455.0,0.0,0.0
22,Trả trước ngắn hạn,120695000.0,9434000.0,0.0,91454700.0,118996500.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,151981482.0,611489807.0,251397200.0,270361000.0,346630455.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,37969961208.0,44041933891.0,45758390958.0,47242277063.0,43122886765.0,41808144628.0,43832639489.0,47251433319.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,30659909957.0,36482934053.0,35702299691.0,38153796370.0,33144274810.0,29396205343.0,24905949238.0,21903848076.0
37,GTCL TSCĐ hữu hình,30659909957.0,36482934053.0,35702299691.0,38153796370.0,33144274810.0,29396205343.0,24905949238.0,21903848076.0
38,Nguyên giá TSCĐ hữu hình,59425288111.0,69939633111.0,74061763867.0,81522242867.0,81787208867.0,83025389978.0,79639172107.0,80193438940.0
39,Khấu hao lũy kế TSCĐ hữu hình,-28765378154.0,-33456699058.0,-38359464176.0,-43368446497.0,-48642934057.0,-53629184635.0,-54733222869.0,-58289590864.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,152049000.0,728730000.0,2929214000.0,794018400.0,535263400.0,1295429300.0,1432268300.0,535263400.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",152049000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,7158002251.0,6830269838.0,7126877267.0,8294462293.0,9443348555.0,11116509985.0,17494421951.0,24812321843.0
59,Trả trước dài hạn,2490257855.0,2415736580.0,3878119219.0,3257120283.0,3464460805.0,4220713554.0,5314610720.0,5063916022.0
60,Thuế thu nhập hoãn lại phải thu,4667744396.0,4414533258.0,3248758048.0,5037342010.0,5978887750.0,6895796431.0,12179811231.0,19748405821.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,41055469340.0,46694502643.0,37352009862.0,50842067151.0,56009351784.0,62700684013.0,86980070485.0,113634257360.0
65,Nợ ngắn hạn,41055469340.0,46694502643.0,37352009862.0,50842067151.0,56009351784.0,62700684013.0,86980070485.0,113634257360.0
66,Phải trả người bán,5583617251.0,6264977849.0,5060444013.0,4913327329.0,8726986799.0,8829827611.0,8719310138.0,5221726529.0
67,Người mua trả tiền trước,21854482481.0,17572666289.0,11743790240.0,20686710050.0,25394438750.0,29978982154.0,56399056154.0,85392884154.0
68,Thuế và các khoản phải trả Nhà nước,1150398806.0,1179918091.0,195256821.0,2945698321.0,1525484499.0,2096923474.0,1882470848.0,4797807794.0
69,Phải trả người lao động,2105490000.0,7055820639.0,2995640243.0,3813000000.0,3620763766.0,4749119400.0,7826247000.0,4501400000.0
70,Chi phí phải trả,0.0,0.0,0.0,1362000000.0,0.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,7877901118.0,9271435032.0,12439095714.0,12575067044.0,12179271110.0,12479437766.0,7625615956.0,265292160.0
75,Vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,2196739500.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,13349144950.0
77,"Quỹ khen thưởng, phúc lợi",286840184.0,849684743.0,417782831.0,46264407.0,62406860.0,66393608.0,27370389.0,106001773.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
