,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,3166282125064.0,3188912320749.0,3660161976263.0,3324238833893.0,3645050345829.0,3999315929973.0,4363262064400.0,4799469375952.0,4963912733608.0,5559782272838.0
1,Các khoản giảm trừ,-32493177374.0,-10687215254.0,-23995230615.0,-37473027749.0,-127632612713.0,-107331941067.0,-98069689712.0,-107435122575.0,-124405073918.0,-239150190350.0
2,Doanh số thuần,3133788947690.0,3178225105495.0,3636166745648.0,3286765806144.0,3517417733116.0,3891983988906.0,4265192374688.0,4692034253377.0,4839507659690.0,5320632082488.0
3,Giá vốn hàng bán,-2296387280882.0,-2351974054975.0,-2829777633725.0,-2606279720043.0,-3084327407357.0,-3468935505914.0,-3688486841986.0,-3957651073793.0,-4289420865038.0,-4731075714644.0
4,Lãi gộp,837401666808.0,826251050520.0,806389111923.0,680486086101.0,433090325759.0,423048482992.0,576705532702.0,734383179584.0,550086794652.0,589556367844.0
5,Thu nhập tài chính,45299184979.0,16288829712.0,11964631309.0,13906381145.0,16653744629.0,8530093675.0,14712262543.0,14146611238.0,23375523537.0,44659601905.0
6,Chi phí tài chính,-101914724871.0,-75253277499.0,-118151559183.0,-86561438778.0,-108510238614.0,-162310708000.0,-144980819650.0,-150122219749.0,-123613463546.0,-187090613664.0
7,Trong đó: Chi phí lãi vay,-40635661235.0,-55821680180.0,-67229006276.0,-60039651095.0,-93837510967.0,-124602120323.0,-126474706431.0,-124787889985.0,-109279054705.0,-114735151003.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-97142449449.0,-133210114927.0,-151556520228.0,-150189656317.0,-149074662387.0,-137619657773.0,-224272303740.0,-236081442537.0,-208433562499.0,-173746047966.0
10,Chi phí quản lý doanh  nghiệp,-210430846259.0,-219476505455.0,-195904189397.0,-123155138721.0,-134690093150.0,-128367681121.0,-162474517655.0,-257430415987.0,-173310960030.0,-165987201172.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,473212831208.0,414599982351.0,352741474424.0,334486233430.0,57469076237.0,3280529773.0,59690154200.0,104895712549.0,68104332114.0,107392106947.0
12,Thu nhập khác,14828974345.0,12791977840.0,19172140005.0,8400515548.0,12342470466.0,5213616211.0,9709294261.0,9102727726.0,8438965997.0,14035841562.0
13,Chi phí khác,-7230287000.0,-1836135225.0,-424992000.0,-11437958670.0,-1060247804.0,-420433396.0,-3837262991.0,-457099383.0,-21350884399.0,-19704556913.0
14,"Thu nhập khác, ròng",7598687345.0,10955842615.0,18747148005.0,-3037443122.0,11282222662.0,4793182815.0,5872031270.0,8645628343.0,-12911918402.0,-5668715351.0
16,Lãi/(lỗ) ròng trước thuế,480811518553.0,425555824966.0,371488622429.0,331448790308.0,68751298899.0,8073712588.0,65562185470.0,113541340892.0,55192413712.0,101723391596.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-120465740109.0,-94817899304.0,-81760081978.0,-70038656548.0,-14274931420.0,-1228316778.0,-14040846228.0,-22912789226.0,-12772749649.0,-20035207261.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-279439169.0,226358195.0,197964540.0,-514997755.0,524671640.0,-798377276.0,928409134.0,32230261.0,-404419115.0,-2503245012.0
19,Chi phí thuế thu nhập doanh nghiệp,-120745179278.0,-94591541109.0,-81562117438.0,-70553654303.0,-13750259780.0,-2026694054.0,-13112437094.0,-22880558965.0,-13177168764.0,-22538452273.0
20,Lãi/(lỗ) thuần sau thuế,360066339275.0,330964283857.0,289926504991.0,260895136005.0,55001039119.0,6047018534.0,52449748376.0,90660781927.0,42015244948.0,79184939323.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,360066339275.0,330964283857.0,289926504991.0,260895136005.0,55001039119.0,6047018534.0,52449748376.0,90660781927.0,42015244948.0,79184939323.0
23,Lãi cơ bản trên cổ phiếu,5856.0,4776.0,4170.0,2993.0,533.0,91.0,506.0,875.0,396.0,554.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
