,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1276297282422.0,1295605914391.0,1247211568588.0,1330298807737.0,1335785485298.0,1455757193218.0,1553336820369.0,1713531469643.0,1756012531204.0,1720253249093.0
1,TÀI SẢN NGẮN HẠN,755082243609.0,774552588894.0,723155399821.0,793809060828.0,811558528488.0,935680754884.0,1046370892282.0,1221385542253.0,1273102404652.0,1249799534818.0
2,Tiền và tương đương tiền,139074420032.0,115180967895.0,111237423485.0,129402009755.0,135381284459.0,182215879065.0,244128279155.0,336494295697.0,291295754310.0,260336792912.0
3,Tiền,44574420032.0,54680967895.0,51237423485.0,49402009755.0,68381284459.0,82215879065.0,71128279155.0,71494295697.0,81295754310.0,56336792912.0
4,Các khoản tương đương tiền,94500000000.0,60500000000.0,60000000000.0,80000000000.0,67000000000.0,100000000000.0,173000000000.0,265000000000.0,210000000000.0,204000000000.0
5,Giá trị thuần đầu tư ngắn hạn,165000000000.0,200000000000.0,140000000000.0,125000000000.0,125000000000.0,125000000000.0,140000000000.0,190000000000.0,255000000000.0,265000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,165000000000.0,200000000000.0,140000000000.0,125000000000.0,125000000000.0,125000000000.0,140000000000.0,190000000000.0,255000000000.0,265000000000.0
9,Các khoản phải thu,166053958997.0,174077922346.0,156661657225.0,219342086761.0,202128481980.0,224794747352.0,230259699746.0,255503699407.0,283238739640.0,287823788855.0
10,Phải thu khách hàng,163669001866.0,171931725735.0,155861796246.0,219323380043.0,198207275077.0,212263145398.0,216865024117.0,245293575429.0,264062111224.0,275922756145.0
11,Trả trước người bán,11939096180.0,11718436327.0,9918683737.0,6307353795.0,6894801169.0,9521191291.0,12790055143.0,10793937959.0,7767302802.0,4680445161.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2616887467.0,2578931764.0,3040166847.0,2092490140.0,5407542951.0,11792030911.0,9396999742.0,2495680723.0,14488820318.0,10872500845.0
16,Dự phòng nợ khó đòi,-12171026516.0,-12151171480.0,-12158989605.0,-8381137217.0,-8381137217.0,-8781620248.0,-8792379256.0,-3079494704.0,-3079494704.0,-3651913296.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",235401626857.0,235030258385.0,258403527470.0,256929064315.0,284642090132.0,342693305251.0,370122540102.0,380206343883.0,389427719742.0,383995931958.0
19,Hàng tồn kho,235401626857.0,235030258385.0,258403527470.0,256929064315.0,284642090132.0,342693305251.0,370122540102.0,380206343883.0,389427719742.0,393218555442.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9222623484.0
