,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,1529966353447.0,1565829931436.0,1546380672297.0,1541132057558.0,1465857350493.0,1588026545984.0,1566274193137.0,1339177077790.0,1576769245615.0,2104285557537.0
1,Các khoản giảm trừ,-14166805101.0,-14921382994.0,0.0,0.0,0.0,0.0,0.0,-267351240.0,0.0,-33842977.0
2,Doanh số thuần,1515799548346.0,1550908548442.0,1546380672297.0,1541132057558.0,1465857350493.0,1588026545984.0,1566274193137.0,1338909726550.0,1576769245615.0,2104251714560.0
3,Giá vốn hàng bán,-1203589683791.0,-1185359800144.0,-1201955189712.0,-1136591093917.0,-1049885438094.0,-1164530331065.0,-1124901180975.0,-975314539075.0,-1164764038644.0,-1444081143048.0
4,Lãi gộp,312209864555.0,365548748298.0,344425482585.0,404540963641.0,415971912399.0,423496214919.0,441373012162.0,363595187475.0,412005206971.0,660170571512.0
5,Thu nhập tài chính,6334030550.0,6892401256.0,11624420909.0,19383012814.0,24292091003.0,27016152491.0,17898601449.0,12993024907.0,12390294480.0,21468092710.0
6,Chi phí tài chính,-26824210481.0,-16107911877.0,-10596176317.0,-8809979609.0,-4355604378.0,-5896567853.0,-12644653673.0,-13051400651.0,-6356180093.0,-8044142219.0
7,Trong đó: Chi phí lãi vay,-25714838145.0,-15279798757.0,-7349869203.0,-8086380512.0,-3860389887.0,-5486748062.0,-11475843158.0,-12540301087.0,-5108898090.0,-2927188592.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-43550290664.0,-56986560925.0,-68256881726.0,-76169357995.0,-73656120900.0,-71404414641.0,-70193304825.0,-70768539285.0,-79107567239.0,-84802258584.0
10,Chi phí quản lý doanh  nghiệp,-47834977412.0,-93585976338.0,-66637427535.0,-96910465935.0,-51730604048.0,-65079155717.0,-61700442063.0,-66766877825.0,-66226408319.0,-78619006358.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,200334416548.0,205760700414.0,210559417916.0,242034172916.0,310521674076.0,308132229199.0,314733213050.0,226001394621.0,272705345800.0,510173257061.0
12,Thu nhập khác,2296102636.0,2129154992.0,327329204.0,644108292.0,853091050.0,13201774200.0,1579161517.0,950422626.0,214219203.0,639051826.0
13,Chi phí khác,-188484618.0,-86175804.0,-14400031896.0,-13737678033.0,-3124773922.0,-2796449927.0,-1709975823.0,-1376201503.0,-58856558.0,-81799250.0
14,"Thu nhập khác, ròng",2107618018.0,2042979188.0,-14072702692.0,-13093569741.0,-2271682872.0,10405324273.0,-130814306.0,-425778877.0,155362645.0,557252576.0
16,Lãi/(lỗ) ròng trước thuế,202442034566.0,207803679602.0,196486715224.0,228940603175.0,308249991204.0,318537553472.0,314602398744.0,225575615744.0,272860708445.0,510730509637.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-50890367637.0,-49616248486.0,-46161017500.0,-48571995013.0,-62456502570.0,-64282069523.0,-63458894153.0,-47447594789.0,-57530719115.0,-106735424048.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-172959971.0,84200523.0,-69039379.0,-18164822.0,0.0,0.0,504086.0,2138358766.0,2723065007.0,3918940009.0
19,Chi phí thuế thu nhập doanh nghiệp,-51063327608.0,-49532047963.0,-46230056879.0,-48590159835.0,-62456502570.0,-64282069523.0,-63458390067.0,-45309236023.0,-54807654108.0,-102816484039.0
20,Lãi/(lỗ) thuần sau thuế,151378706958.0,158271631639.0,150256658345.0,180350443340.0,245793488634.0,254255483949.0,251144008677.0,180266379721.0,218053054337.0,407914025598.0
21,Lợi ích của cổ đông thiểu số,21438874076.0,17968476384.0,16885826745.0,4066648365.0,5558187351.0,1864293514.0,5497405471.0,1545814355.0,8791891203.0,53475471860.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,129939832882.0,140303155255.0,133370831600.0,176283794975.0,240235301283.0,252391190435.0,245646603206.0,178720565366.0,209261163134.0,354438553738.0
23,Lãi cơ bản trên cổ phiếu,0.0,3174.0,3017.0,3680.0,5015.0,5245.0,5028.0,3636.0,4299.0,7395.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7395.0
