,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1261204481000000.0,1341392922000000.0,1343984509000000.0,1473013792000000.0,1447809011000000.0,1531468324000000.0,1663730167000000.0,1691061895000000.0,1750789603000000.0,1809188549000000.0
1,"Tiền mặt, vàng bạc, đá quý",8128568000000.0,9930181000000.0,8512099000000.0,8952203000000.0,9843822000000.0,11330659000000.0,9731856000000.0,9828518000000.0,10642176000000.0,11066956000000.0
2,Tiền gửi tại Ngân hàng nhà nước Việt Nam,17214434000000.0,57616650000000.0,10213007000000.0,37858344000000.0,27798897000000.0,23383443000000.0,19945813000000.0,25161218000000.0,14378541000000.0,29727110000000.0
3,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,128657592000000.0,102532918000000.0,139620432000000.0,152888570000000.0,112616156000000.0,149265358000000.0,177089244000000.0,188515680000000.0,238664064000000.0,243099096000000.0
4,Chứng khoán kinh doanh,3486087000000.0,5601747000000.0,1714943000000.0,3375866000000.0,3931998000000.0,2475309000000.0,4169069000000.0,1262081000000.0,1174872000000.0,1419789000000.0
5,    Chứng khoán kinh doanh,3729764000000.0,5723160000000.0,1794656000000.0,3455359000000.0,4084278000000.0,2522807000000.0,4256339000000.0,1275396000000.0,1330176000000.0,1622967000000.0
6,Dự phòng giảm giá chứng khoán kinh doanh,-243677000000.0,-121413000000.0,-79713000000.0,-79493000000.0,-152280000000.0,-47498000000.0,-87270000000.0,-13315000000.0,-155304000000.0,-203178000000.0
7,Các công cụ tài chính phái sinh và các tài sản tài chính khác,587411000000.0,137122000000.0,2494187000000.0,1441177000000.0,1312378000000.0,1454790000000.0,3329136000000.0,7482072000000.0,6466331000000.0,3077852000000.0
8,Cho vay khách hàng,942889055000000.0,1002770924000000.0,1003228487000000.0,1057905018000000.0,1063141547000000.0,1104872766000000.0,1199357414000000.0,1206862124000000.0,1205989335000000.0,1245057876000000.0
9,  Cho vay khách hàng,958011088000000.0,1015333270000000.0,1017140022000000.0,1076580794000000.0,1084605792000000.0,1130667767000000.0,1229579098000000.0,1238483280000000.0,1245238538000000.0,1274821709000000.0
10,Dự phòng rủi ro cho vay khách hàng,-15122033000000.0,-12562346000000.0,-13911535000000.0,-18675776000000.0,-21464245000000.0,-25795001000000.0,-30221684000000.0,-31621156000000.0,-39249203000000.0,-29763833000000.0
11,Chứng khoán đầu tư,110486984000000.0,114941998000000.0,124271909000000.0,153323706000000.0,169797283000000.0,177544548000000.0,182530487000000.0,178123432000000.0,187035417000000.0,180312848000000.0
