,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,576368416000000.0,661241727000000.0,779483487000000.0,948567505000000.0,1095060842000000.0,1164289661000000.0,1240711475000000.0,1341436468000000.0,1531587398000000.0,1809188549000000.0
1,"Tiền mặt, vàng bạc, đá quý",2833496000000.0,4630740000000.0,5090768000000.0,5187132000000.0,5979833000000.0,7028347000000.0,8282726000000.0,9930181000000.0,11330659000000.0,11066956000000.0
2,Tiền gửi tại Ngân hàng nhà nước Việt Nam,10159564000000.0,9876451000000.0,11892969000000.0,13502594000000.0,20756531000000.0,23182208000000.0,24873714000000.0,57616650000000.0,23383443000000.0,29727110000000.0
3,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,73079476000000.0,75433624000000.0,66018789000000.0,94469281000000.0,107510487000000.0,130512012000000.0,129388518000000.0,102532818000000.0,149316646000000.0,243099096000000.0
4,Chứng khoán kinh doanh,655067000000.0,3647897000000.0,3346354000000.0,1894690000000.0,3528982000000.0,3131835000000.0,3825374000000.0,5601747000000.0,2475309000000.0,1419789000000.0
5,    Chứng khoán kinh doanh,657693000000.0,3654333000000.0,3373406000000.0,1974670000000.0,3602443000000.0,3279561000000.0,4051245000000.0,5723160000000.0,2522807000000.0,1622967000000.0
6,Dự phòng giảm giá chứng khoán kinh doanh,-2626000000.0,-6436000000.0,-27052000000.0,-79980000000.0,-73461000000.0,-147726000000.0,-225871000000.0,-121413000000.0,-47498000000.0,-203178000000.0
7,Các công cụ tài chính phái sinh và các tài sản tài chính khác,164334000000.0,0.0,0.0,682690000000.0,528762000000.0,281166000000.0,469712000000.0,137122000000.0,1454790000000.0,3077852000000.0
8,Cho vay khách hàng,372988742000000.0,435502525000000.0,533530118000000.0,655089226000000.0,782385236000000.0,851865984000000.0,922325251000000.0,1002771868000000.0,1104872665000000.0,1245057876000000.0
9,  Cho vay khách hàng,376288968000000.0,439869027000000.0,538079829000000.0,661987797000000.0,790688059000000.0,864925948000000.0,935270945000000.0,1015333270000000.0,1130667767000000.0,1274821709000000.0
10,Dự phòng rủi ro cho vay khách hàng,-3300226000000.0,-4366502000000.0,-4549711000000.0,-6898571000000.0,-8302823000000.0,-13059964000000.0,-12945694000000.0,-12561402000000.0,-25795102000000.0,-29763833000000.0
11,Chứng khoán đầu tư,83002468000000.0,93404410000000.0,120024229000000.0,134226686000000.0,128392765000000.0,102100093000000.0,104615279000000.0,114941998000000.0,177544548000000.0,180312848000000.0
12,Chứng khoán đầu tư sẵn sàng để bán,80627909000000.0,87338962000000.0,108940288000000.0,125573894000000.0,125759661000000.0,88586344000000.0,97131629000000.0,112677836000000.0,174973469000000.0,178685028000000.0
13,Chứng khoán đầu tư giữ đến ngày đáo hạn,2586748000000.0,6708858000000.0,12928649000000.0,11743021000000.0,5133392000000.0,16207592000000.0,15367993000000.0,2616778000000.0,2696832000000.0,1696778000000.0
14,Dự phòng giảm giá chứng khoán đầu tư,-212189000000.0,-643410000000.0,-1844708000000.0,-3090229000000.0,-2500288000000.0,-2693843000000.0,-7884343000000.0,-352616000000.0,-125753000000.0,-68958000000.0
15,"Góp vốn, đầu tư dài hạn",3113083000000.0,3787119000000.0,3892314000000.0,3202637000000.0,3114101000000.0,3317405000000.0,3282709000000.0,3335507000000.0,3290027000000.0,3586415000000.0
16,Đầu tư vào công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Đầu tư vào công ty liên doanh,2795383000000.0,2843745000000.0,2782845000000.0,2774766000000.0,2704255000000.0,2906452000000.0,3018057000000.0,3117572000000.0,3073356000000.0,3303160000000.0
18,Đầu tư dài hạn khác,321108000000.0,1030326000000.0,1131164000000.0,430445000000.0,412645000000.0,412645000000.0,264652000000.0,240662000000.0,240662000000.0,302650000000.0
19,Dự phòng giảm giá đầu tư dài hạn,-3408000000.0,-86952000000.0,-21695000000.0,-2574000000.0,-2799000000.0,-1692000000.0,0.0,-22727000000.0,-23991000000.0,-19395000000.0
20,Tài sản cố định,7080388000000.0,8894803000000.0,8665767000000.0,10623575000000.0,11436527000000.0,11139862000000.0,10996975000000.0,10811098000000.0,10496152000000.0,10202191000000.0
21,Tài sản cố định hữu hình,3464589000000.0,4661988000000.0,4374977000000.0,6422388000000.0,6386736000000.0,6194652000000.0,6422382000000.0,6409409000000.0,6192822000000.0,6047480000000.0
22,Tài sản cố định thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tài sản cố định vô hình,3615799000000.0,4232815000000.0,4290790000000.0,4201187000000.0,5049791000000.0,4945210000000.0,4574593000000.0,4401689000000.0,4303330000000.0,4154711000000.0
24,Investment properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Other assets,23291798000000.0,26064158000000.0,27022179000000.0,29688994000000.0,31427618000000.0,31730749000000.0,32651217000000.0,33757479000000.0,47423159000000.0,81638416000000.0
26,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,576368416000000.0,661241727000000.0,779483487000000.0,948567505000000.0,1095060842000000.0,1164289661000000.0,1240711475000000.0,1341436468000000.0,1531587398000000.0,1809188549000000.0
27,Tổng nợ phải trả,522080831000000.0,605982623000000.0,723373341000000.0,888260741000000.0,1031295559000000.0,1096973327000000.0,1163356657000000.0,1256025218000000.0,1437937887000000.0,1700883827000000.0
28,Các khoản nợ chính phủ và NHNN Việt Nam,147371000000.0,4731403000000.0,13227115000000.0,4808417000000.0,15206899000000.0,62600159000000.0,70602893000000.0,44597188000000.0,33294404000000.0,104779302000000.0
29,Tiền gửi và vay các Tổ chức tín dụng khác,80464749000000.0,103769865000000.0,99169216000000.0,85151867000000.0,115158765000000.0,111399612000000.0,109483059000000.0,128519115000000.0,138833846000000.0,210159957000000.0
30,Tiền gửi của khách hàng,364497001000000.0,424181174000000.0,492960064000000.0,655060148000000.0,752935338000000.0,825816119000000.0,892785228000000.0,990331285000000.0,1161848113000000.0,1249181034000000.0
31,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0.0,415778000000.0,117619000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",32424519000000.0,32021693000000.0,54237247000000.0,6075468000000.0,6364158000000.0,5934029000000.0,5775899000000.0,2733251000000.0,2527930000000.0,2392201000000.0
33,Phát hành giấy tờ có giá,16564766000000.0,5294073000000.0,20860497000000.0,23849453000000.0,22501773000000.0,46216359000000.0,57066353000000.0,59875570000000.0,64496785000000.0,91370419000000.0
34,Các khoản nợ khác,27982425000000.0,35568637000000.0,42801583000000.0,113315388000000.0,119128626000000.0,45007049000000.0,27643225000000.0,29968809000000.0,36936809000000.0,43000914000000.0
35,Vốn chủ sở hữu,54074666000000.0,55033833000000.0,56110146000000.0,60306764000000.0,63765283000000.0,67316334000000.0,77354818000000.0,85411250000000.0,93649511000000.0,108304722000000.0
36,Vốn của tổ chức tín dụng,46205524000000.0,46208816000000.0,46208778000000.0,46208767000000.0,46208756000000.0,46416214000000.0,46724637000000.0,46724652000000.0,57548112000000.0,57868215000000.0
37,Vốn điều lệ,37234046000000.0,37234046000000.0,37234046000000.0,37234046000000.0,37234046000000.0,37234046000000.0,37234046000000.0,37234046000000.0,48057506000000.0,48057506000000.0
38,Vốn đầu tư XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Thặng dư vốn cổ phần,8971478000000.0,8974770000000.0,8974732000000.0,8974721000000.0,8974710000000.0,8974698000000.0,8974683000000.0,8974698000000.0,8974698000000.0,8974677000000.0
40,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Vốn khác,0.0,0.0,0.0,0.0,0.0,207470000000.0,515908000000.0,515908000000.0,515908000000.0,836032000000.0
43,Quỹ của tổ chức tín dụng,3374995000000.0,4345766000000.0,5275032000000.0,6366898000000.0,7476339000000.0,8167617000000.0,9610061000000.0,11605468000000.0,13673265000000.0,16084513000000.0
44,Chênh lệch tỷ giá hối đoái,317641000000.0,338463000000.0,441537000000.0,480011000000.0,550601000000.0,599602000000.0,626014000000.0,481781000000.0,245231000000.0,120993000000.0
45,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Lợi nhuận chưa phân phối,4176506000000.0,4140788000000.0,3942373000000.0,6990755000000.0,9233969000000.0,11836676000000.0,19832683000000.0,26000630000000.0,21488131000000.0,33487474000000.0
47,Lợi ích của cổ đông thiểu số,212919000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
