,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,76458498843.0,86612946676.0,66225270956.0,75542519078.0,66935635127.0,87948501068.0,66969018595.0,78451299041.0,81583898156.0,90417572269.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,76458498843.0,86612946676.0,66225270956.0,75542519078.0,66935635127.0,87948501068.0,66969018595.0,78451299041.0,81583898156.0,90417572269.0
3,Giá vốn hàng bán,-41448494324.0,-49159082542.0,-35080709523.0,-37228395460.0,-39160748826.0,-54795999863.0,-33701550625.0,-40297290514.0,-47136913557.0,-50376134905.0
4,Lãi gộp,35010004519.0,37453864134.0,31144561433.0,38314123618.0,27774886301.0,33152501205.0,33267467970.0,38154008527.0,34446984599.0,40041437364.0
5,Thu nhập tài chính,78204377.0,470943237.0,192179258.0,68345483.0,176620860.0,337455159.0,190029449.0,156275476.0,397199848.0,365302232.0
6,Chi phí tài chính,-3426647363.0,-2554658391.0,-1916021813.0,-2249153512.0,-2233268331.0,-2228652685.0,-2313438357.0,-2430385204.0,-2506204640.0,-3076857157.0
7,Trong đó: Chi phí lãi vay,-3426647363.0,-2554658391.0,-1916021813.0,-2249153512.0,-2233268331.0,-2228652685.0,-2313438357.0,-2430385204.0,-2506204640.0,-3076857157.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5797996060.0,-8257975467.0,-5971349510.0,-13868587602.0,-5350039949.0,-8254506128.0,-7140834045.0,-13803098865.0,-6560567022.0,-13890596062.0
10,Chi phí quản lý doanh  nghiệp,-11414375778.0,-11189063267.0,-9531424767.0,-9188792606.0,-9171053496.0,-9406916039.0,-9092576710.0,-9697609271.0,-11251687626.0,-9888233699.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,14449189695.0,15923110246.0,13917944601.0,13075935381.0,11197145385.0,13599881512.0,14910648307.0,12379190663.0,14525725159.0,13551052678.0
12,Thu nhập khác,283515094.0,215269769.0,1710251172.0,2703147450.0,1305362157.0,688173810.0,567024536.0,230502909.0,471070574.0,1235313627.0
13,Chi phí khác,-412965678.0,-832416182.0,-200314711.0,-3818445126.0,-334004068.0,-1221848147.0,-488179121.0,-823059662.0,-1212642058.0,-1587640816.0
14,"Thu nhập khác, ròng",-129450584.0,-617146413.0,1509936461.0,-1115297676.0,971358089.0,-533674337.0,78845415.0,-592556753.0,-741571484.0,-352327189.0
16,Lãi/(lỗ) ròng trước thuế,14319739111.0,15305963833.0,15427881062.0,11960637705.0,12168503474.0,13066207175.0,14989493722.0,11786633910.0,13784153675.0,13198725489.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1094327041.0,-1902784165.0,-1468554977.0,-1273654755.0,-1310436307.0,-2085223374.0,-1262836870.0,-1118894094.0,-1375614379.0,-10632300028.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1094327041.0,-1902784165.0,-1468554977.0,-1273654755.0,-1310436307.0,-2085223374.0,-1262836870.0,-1118894094.0,-1375614379.0,-10632300028.0
20,Lãi/(lỗ) thuần sau thuế,13225412070.0,13403179668.0,13959326085.0,10686982950.0,10858067167.0,10980983801.0,13726656852.0,10667739816.0,12408539296.0,2566425461.0
21,Lợi ích của cổ đông thiểu số,1911322204.0,1911413677.0,1746972341.0,1916442838.0,1647775253.0,2004650904.0,1786339445.0,2030732362.0,1876886792.0,344579461.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,11314089866.0,11491765991.0,12212353744.0,8770540112.0,9210291914.0,8976332897.0,11940317407.0,8637007454.0,10531652504.0,2221846000.0
23,Lãi cơ bản trên cổ phiếu,404.0,410.0,436.0,313.0,329.0,321.0,426.0,309.0,376.0,79.0
24,Lãi trên cổ phiếu pha loãng,404.0,410.0,436.0,313.0,329.0,321.0,426.0,309.0,376.0,79.0
