,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,10544971220.0,4204800000.0,14580323823.0,25894668972.0,14350332028.0,22072067627.0,8767350829.0,14450168150.0,10671963288.0,74598948969.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,-52255295.0,-28668986.0,0.0,-478388010.0
2,Doanh số thuần,10544971220.0,4204800000.0,14580323823.0,25894668972.0,14350332028.0,22072067627.0,8715095534.0,14421499164.0,10671963288.0,74120560959.0
3,Giá vốn hàng bán,-3178013830.0,-1030240450.0,-12241654265.0,-19588064058.0,-6875436130.0,-8395096639.0,-5326294397.0,-5161178932.0,-7547062883.0,-69828624683.0
4,Lãi gộp,7366957390.0,3174559550.0,2338669558.0,6306604914.0,7474895898.0,13676970988.0,3388801137.0,9260320232.0,3124900405.0,4291936276.0
5,Thu nhập tài chính,448783.0,420542798.0,442922464.0,12658790.0,265792.0,2586319.0,358814.0,20589112.0,875204.0,861080.0
6,Chi phí tài chính,-59233470.0,-10709286.0,-222960060.0,0.0,-2312500.0,-3700000.0,-5753425.0,-12506295.0,-28994000.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18259720.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-77735830.0,-235455.0,-7472727.0,-23038730.0,-35800000.0,-526250000.0,0.0,-12911262.0,-686570620.0,-94303210.0
10,Chi phí quản lý doanh  nghiệp,-1000154446.0,-1377718397.0,-1039485871.0,-1706214760.0,-1150710456.0,-1802433323.0,-1608203562.0,-2466168953.0,-2199481064.0,-2635116251.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6230282427.0,2206439210.0,1511673364.0,4590010214.0,6286338734.0,11347173984.0,1775202964.0,6789322834.0,210729925.0,1563377895.0
12,Thu nhập khác,1459857453.0,6081916218.0,3022840.0,0.0,0.0,108355.0,30000000.0,497086.0,0.0,0.0
13,Chi phí khác,-8389582.0,-15285517.0,-4716160.0,-7575764.0,-110529410.0,44575.0,-59718168.0,-6614195.0,-24174202.0,-1822402.0
14,"Thu nhập khác, ròng",1451467871.0,6066630701.0,-1693320.0,-7575764.0,-110529410.0,152930.0,-29718168.0,-6117109.0,-24174202.0,-1822402.0
16,Lãi/(lỗ) ròng trước thuế,7681750298.0,8273069911.0,1509980044.0,4582434450.0,6175809324.0,11347326914.0,1745484796.0,6783205725.0,186555723.0,1561555493.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-338167134.0,370224100.0,-101562128.0,-452594444.0,0.0,-332595198.0,-132327015.0,-287355247.0,0.0,-899701445.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-228356358.0
19,Chi phí thuế thu nhập doanh nghiệp,-338167134.0,370224100.0,-101562128.0,-452594444.0,0.0,-332595198.0,-132327015.0,-287355247.0,0.0,-1128057803.0
20,Lãi/(lỗ) thuần sau thuế,7343583164.0,8643294011.0,1408417916.0,4129840006.0,6175809324.0,11014731716.0,1613157781.0,6495850478.0,186555723.0,433497690.0
21,Lợi ích của cổ đông thiểu số,71751629.0,33192231.0,1587676.0,1197026142.0,-22636651.0,-5096193.0,-39089661.0,126187703.0,-33056470.0,-142616847.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,7271831535.0,8610101780.0,1406830240.0,2932813864.0,6198445975.0,11019827909.0,1652247442.0,6369662775.0,219612193.0,576114537.0
23,Lãi cơ bản trên cổ phiếu,890.0,748.0,71.0,409.0,312.0,556.0,81.0,324.0,6.0,15.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
