,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,945474198827.0,847914638850.0,-84499879833.0,606238980277.0,98594847788.0,10470147542.0,-113192033874.0,124488201856.0,-32963283296.0,361455875079.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,610536710110.0,502074524989.0,574370069164.0,402763861911.0,325079871673.0,331286237347.0,194220919103.0,200622559572.0,457143567681.0,259485750977.0
2,Lãi trước thuế,427771995570.0,323150569627.0,407972133547.0,239196959812.0,168838746451.0,163676774643.0,25274833056.0,29832199957.0,250435759078.0,-48589320272.0
3,Khấu hao TSCĐ,117016578108.0,124060280937.0,121033583551.0,119324647976.0,125330808247.0,126041340418.0,127489828781.0,131261905770.0,119391586652.0,120894335535.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8812102456.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,-68753654.0,0.0,2845408.0,0.0,13982660.0,0.0,15431891.0,218.0,15255879.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-5426845535.0,-8949935331.0,-2359959241.0,-4437648678.0,-9250944558.0,-4166506407.0,-4857923903.0,-8659986812.0,47358269301.0,130001860168.0
9,Chi phí lãi vay,71174981967.0,63882363410.0,47724311307.0,48677057393.0,40161261533.0,45720646033.0,46314181169.0,48173008766.0,39957952432.0,48351517211.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-58329973843.0,27116329731.0,-31701716389.0,67795940036.0,-90657936055.0,-29061542936.0,-95270697777.0,5772958803.0,30012422548.0,-45622477400.0
13,(Tăng)/giảm hàng tồn kho,164447268326.0,133769105129.0,-378873363193.0,-401251317251.0,-118694929451.0,49228598634.0,75325644550.0,-314011105588.0,276251912783.0,-604405434116.0
14,Tăng/(giảm) các khoản phải trả,301327736555.0,276789346357.0,-33746128997.0,596215431090.0,20771467807.0,-243235810018.0,-140486273757.0,301249724199.0,-792731588295.0,873682414215.0
15,( Tăng)/giảm chi phí trả trước,13890024410.0,13335585196.0,6047537388.0,-1912200931.0,26705393305.0,4463225506.0,7668442038.0,-15649236239.0,13163180514.0,-29101318381.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-74239190765.0,-69686185524.0,-66719325885.0,-40312448616.0,-40206270662.0,-44499391057.0,-55717567578.0,-39577779894.0,-45752667318.0,-71268147524.0
18,Thuế thu nhập doanh nghiệp đã trả,-9563125966.0,-28092867028.0,-114200237921.0,-12232427962.0,-20954568829.0,-53140119934.0,-70347491453.0,-9441313996.0,-18555439380.0,-12689112692.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47490604000.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2595250000.0,-7391200000.0,-39676714000.0,-4827858000.0,-3448180000.0,-4571050000.0,-28585009000.0,-4477605001.0,14724171.0,-8625800000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-235022429551.0,-228554596120.0,-99953764473.0,-51183482783.0,-101493481852.0,-87617878876.0,-323483748753.0,-163650977372.0,-328919885097.0,-390388555508.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-226259961040.0,-208567487554.0,-118332532054.0,-53281357744.0,-87772049766.0,-60055524690.0,-349693791655.0,-207284965287.0,-331282874845.0,-409248774623.0
23,Tiền thu được từ thanh lý tài sản cố định,-1698405680.0,-32635338.0,3387991205.0,114130838.0,314216631.0,253290136.0,309090909.0,0.0,0.0,129629632.0
24,Tiền cho vay hoặc mua công cụ nợ,-24275345693.0,-62800659456.0,-13000000000.0,-6639779147.0,-18541428885.0,-33187048531.0,-15844700000.0,-55591491270.0,55792861351.0,-1135633858.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,29626845345.0,34792978066.0,20000000000.0,0.0,0.0,0.0,37600000000.0,87925726580.0,-55500000000.0,18952723171.0
26,Đầu tư vào các doanh nghiệp khác,-15000000000.0,-3998088414.0,0.0,0.0,0.0,-2904603405.0,0.0,0.0,0.0,-9008821301.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,3068725907.0,0.0,0.0,0.0,0.0,0.0,0.0,1089531074.0,-1089531074.0
28,Cổ tức và tiền lãi nhận được,2584437517.0,8982570669.0,7990776376.0,8623523270.0,4505780168.0,8276007614.0,4145651993.0,11299752605.0,980597323.0,11011852545.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-583313158063.0,-685673461118.0,240210100795.0,-698877866829.0,21404388734.0,102533200639.0,465332368216.0,-9096332358.0,420622078710.0,416781671191.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
