,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-16556425335.0,33605547316.0,-12422291827.0,8123289387.0,-15323019590.0,20358658888.0,-23107479469.0,-60226491690.0,-53981484992.0,-81669602984.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,38371836.0,10704718623.0,334054916.0,-7964375007.0,-53996306.0,-264283517.0,-1946003088.0,-11193179179.0,-1272219479.0,-12768680823.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,-75272727.0,-7979437215.0,-71437490.0,-378088898.0,-6137786356.0,-14249267737.0,-2894391151.0,-22284107694.0
23,Tiền thu được từ thanh lý tài sản cố định,35000000.0,3101818182.0,0.0,0.0,0.0,109090909.0,4175636364.0,2821363636.0,0.0,1057239057.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8500000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15500000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,7599392497.0,400607503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,3371836.0,3507944.0,8720140.0,15062208.0,17441184.0,4714472.0,16146904.0,234724922.0,1622171672.0,1458187814.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,16684915266.0,-44339695936.0,13116117589.0,-1112232428.0,16236180496.0,-21390030179.0,39118639972.0,58151179148.0,58852216715.0,92388663737.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000000000.0,2905000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,53085129589.0,15626411867.0,24060551697.0,43291915722.0,61025849599.0,44649827606.0,111640234526.0,276163716519.0,253152414999.0,392201733326.0
33,Tiển trả các khoản đi vay,-36400214323.0,-59966107803.0,-10944434108.0,-44404148150.0,-42780691503.0,-66039857785.0,-72521594554.0,-218012537371.0,-218037290284.0,-302712613549.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,-2008977600.0,0.0,0.0,0.0,-1262908000.0,-5456040.0
37,Lưu chuyển tiền thuần trong kỳ,166861767.0,-29429997.0,1027880678.0,-953318048.0,859164600.0,-1295654808.0,14065157415.0,-13268491721.0,3598512244.0,-2049620070.0
38,Tiền và tương đương tiền đầu kỳ,587636075.0,754497842.0,725067845.0,1752948523.0,799630475.0,1658795075.0,363140267.0,14428297682.0,1159805961.0,4758318205.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,754497842.0,725067845.0,1752948523.0,799630475.0,1658795075.0,363140267.0,14428297682.0,1159805961.0,4758318205.0,2708698135.0
