,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,7690979067.0,7366531122.0,7783000706.0,19611927229.0,24949835693.0,47528508507.0,-621780697.0,46817427978.0,28523051597.0,15025214717.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,4303360338.0,4775044389.0,11363362192.0,28558817698.0,44595770253.0,36670011466.0,48282233410.0,50354932599.0,47640032996.0,8145917656.0
2,Lãi trước thuế,-16744872658.0,-17657857395.0,-10436195121.0,-13038950843.0,19925906623.0,21815440237.0,25848357924.0,21451298880.0,15737174598.0,-4806491629.0
3,Khấu hao TSCĐ,14161098449.0,14161098449.0,14161098449.0,28320938585.0,14155618000.0,13870893961.0,14152491546.0,14152461546.0,14123532584.0,13772936671.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-1341638127.0,0.0,0.0,-2258927673.0,3323909598.0,-6394217710.0,1849451703.0,8734201489.0,12110167541.0,-5563343757.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-117277414.0,39810310.0,-295295875.0,-298467037.0,-672256588.0,-238463222.0,-410410249.0,-585120337.0,-615227827.0,-912741009.0
9,Chi phí lãi vay,8346050088.0,8231993025.0,7933754739.0,15834224665.0,7862592620.0,7616358200.0,6842342486.0,6602091021.0,6284386100.0,5655557380.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,5732438735.0,-4309150145.0,6163213716.0,734015895.0,-17731956644.0,-4868194263.0,-8993223510.0,-16437585228.0,-5685726616.0,-584246184.0
13,(Tăng)/giảm hàng tồn kho,-1836319485.0,3454325974.0,-3516735202.0,-2481641700.0,-1064651520.0,-4330813844.0,-6021869095.0,9143391226.0,3923421030.0,-3323213843.0
14,Tăng/(giảm) các khoản phải trả,2997041651.0,189223533.0,-8165015620.0,-4940000953.0,-8144040501.0,15015097303.0,-11744750663.0,-2288580737.0,-5067380478.0,7002609465.0
15,( Tăng)/giảm chi phí trả trước,-4470310264.0,4338439307.0,3393517700.0,884236577.0,4417450453.0,4144359837.0,-8977857114.0,-6744426310.0,-12181297335.0,3920145623.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-35266000.0,-35267000.0,-34883000.0,-71151000.0,-44967000.0,-49065000.0,-45328000.0,-45499000.0,-45998000.0,-45998000.0
18,Thuế thu nhập doanh nghiệp đã trả,-21000000.0,-139050844.0,-70118636.0,-100118636.0,-50000000.0,-162737089.0,-245790297.0,-40000000.0,-60000000.0,-90000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,907034092.0,-907034092.0,0.0,0.0,0.0,1109850097.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,114000000.0,0.0,-1350340444.0,-2972230652.0,2972230652.0,0.0,-12875195428.0,12875195428.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,886959232.0,-39810310.0,295295875.0,298467037.0,829529315.0,238463222.0,410410249.0,-21849269644.0,1025090840.0,912741009.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,598527878.0,0.0,0.0,0.0,157272727.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,171153940.0,0.0,0.0,0.0,0.0,0.0,0.0,-42195680908.0,-20000000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20171153940.0,20000000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,117277414.0,-39810310.0,295295875.0,298467037.0,672256588.0,238463222.0,410410249.0,175257324.0,1025090840.0,912741009.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-6508700000.0,-8130120000.0,-3557200000.0,-11194400000.0,-7611600000.0,-32301400000.0,-25542400000.0,-22643000000.0,-32424500000.0,-26416954917.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,-8333542142.0,0.0,200000000.0,400000000.0,-50000000.0,450000000.0,300000000.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,2104842142.0,-8130120000.0,-3757200000.0,-11314400000.0,-7561600000.0,-32751400000.0,-25842400000.0,-22643000000.0,-32424500000.0,-26416954917.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-280000000.0,0.0,0.0,-280000000.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,2069238299.0,-803399188.0,4521096581.0,8715994266.0,18167765008.0,15465571729.0,-25753770448.0,2325158334.0,-2876357563.0,-10478999191.0
38,Tiền và tương đương tiền đầu kỳ,5437847693.0,7732755398.0,7129578359.0,7129578359.0,18104500297.0,32948355707.0,49382727760.0,21779505609.0,30276211164.0,27340568581.0
39,Ảnh hưởng của chênh lệch tỷ giá,225669406.0,200222149.0,0.0,2258927673.0,-3323909598.0,6394217710.0,-1849451703.0,6171547221.0,-59285020.0,406508828.0
40,Tiền và tương đương tiền cuối kỳ,7732755398.0,7129578359.0,11650674940.0,18104500298.0,32948355707.0,54808145146.0,21779505609.0,30276211164.0,27340568581.0,17268078218.0
