,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,279467185644.0,392123958399.0,294110335734.0,245245860502.0,246141214199.0,222537614547.0,206058031039.0,204323343957.0,327997598363.0,384664645718.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,279467185644.0,392123958399.0,294110335734.0,245245860502.0,246141214199.0,222537614547.0,206058031039.0,204323343957.0,327997598363.0,384664645718.0
3,Giá vốn hàng bán,-331606519231.0,-404967514799.0,-312772024867.0,-291323480264.0,-271364715539.0,-221001836728.0,-193275443926.0,-228128148077.0,-255000427759.0,-272427892674.0
4,Lãi gộp,-52139333587.0,-12843556400.0,-18661689133.0,-46077619762.0,-25223501340.0,1535777819.0,12782587113.0,-23804804120.0,72997170604.0,112236753044.0
5,Thu nhập tài chính,3815511173.0,4322375542.0,130816443.0,5351953520.0,1525107945.0,2993109670.0,3372736234.0,1932705802.0,6348865643.0,2265791790.0
6,Chi phí tài chính,-111051275622.0,-87872102851.0,-93531827238.0,-62559964673.0,-41745933473.0,-49406729601.0,-37274101487.0,-33992589706.0,-31313175485.0,-42212973070.0
7,Trong đó: Chi phí lãi vay,-71214563364.0,-54682052246.0,-42839746585.0,-40299661344.0,-41356088635.0,-35320129800.0,-34764330991.0,-33328785332.0,-31313175485.0,-25384980241.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-19953097763.0,-22330820587.0,-22404920609.0,-19668111114.0,-19186913215.0,-19206155234.0,-19824376006.0,-18141596618.0,-21034840495.0,-23119310776.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-179328195799.0,-118724104296.0,-134467620537.0,-122953742029.0,-84631240083.0,-64083997346.0,-40943154146.0,-74006284642.0,26998020267.0,49170260988.0
12,Thu nhập khác,3759116834.0,2286834643.0,5858909068.0,6355646738.0,31182944312.0,881167920.0,344062393.0,2395928758.0,2591269320.0,9391441972.0
13,Chi phí khác,-910792005.0,-1639452791.0,-9820338564.0,-488442412.0,-34754236137.0,-99404726.0,-390570710.0,-602064418.0,-886893570.0,-331363187.0
14,"Thu nhập khác, ròng",2848324829.0,647381852.0,-3961429496.0,5867204326.0,-3571291825.0,781763194.0,-46508317.0,1793864340.0,1704375750.0,9060078785.0
16,Lãi/(lỗ) ròng trước thuế,-176479870970.0,-118076722444.0,-138429050033.0,-117086537703.0,-88202531908.0,-63302234152.0,-40989662463.0,-72212420302.0,28702396017.0,58230339773.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,-56768111.0,-278839499.0,-309389724.0,-330169480.0,-375790297.0,-356062554.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,-56768111.0,-278839499.0,-309389724.0,-330169480.0,-375790297.0,-356062554.0
20,Lãi/(lỗ) thuần sau thuế,-176479870970.0,-118076722444.0,-138429050033.0,-117086537703.0,-88259300019.0,-63581073651.0,-41299052187.0,-72542589782.0,28326605720.0,57874277219.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,36140285.0,260597411.0,298331404.0,318411553.0,372120576.0,323750060.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-176479870970.0,-118076722444.0,-138429050033.0,-117086537703.0,-88295440304.0,-63841671062.0,-41597383591.0,-72861001335.0,27954485144.0,57550527159.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,-9562.38,-7211.03,-5213.91,-3397.23,-5951.0,2283.0,4700.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
