,CHỈ TIÊU,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019
0,TỔNG TÀI SẢN,196554608507.0,204888744342.0,194015416711.0,194388982519.0,193396490110.0,199496086691.0,212102247063.0,199234324701.0,194571651199.0,154069733464.0
1,TÀI SẢN NGẮN HẠN,24332685317.0,34904382840.0,26013972857.0,28801945610.0,30252051229.0,38833684431.0,55839821956.0,45255455841.0,42855240050.0,4886580900.0
2,Tiền và tương đương tiền,2336908613.0,2945172700.0,1645877875.0,1553795003.0,1200511502.0,1555214352.0,2098544087.0,2047468575.0,324706780.0,1159396177.0
3,Tiền,2336908613.0,2945172700.0,1645877875.0,1553795003.0,1200511502.0,1555214352.0,2098544087.0,2047468575.0,324706780.0,1159396177.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0
9,Các khoản phải thu,19466009205.0,29094081080.0,22072731292.0,25459427272.0,27000045242.0,35609741282.0,52034768428.0,41675039843.0,41218698699.0,2588188065.0
10,Phải thu khách hàng,3033983439.0,2518358422.0,2262555129.0,2411959086.0,2235753698.0,2934736830.0,4219422356.0,4275646911.0,4116207752.0,2193352815.0
11,Trả trước người bán,344157830.0,223358561.0,743539009.0,2010798091.0,177964846.0,443494385.0,102740393.0,298208892.0,81298046.0,62907822.0
12,Phải thu nội bộ,15066667791.0,25761724706.0,18187999342.0,20421847977.0,24003178436.0,31788851707.0,47241885729.0,36562070090.0,36457792950.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1036280145.0,605719391.0,893717812.0,629902118.0,598228262.0,457738360.0,485799950.0,554193950.0,578479951.0,347007428.0
16,Dự phòng nợ khó đòi,-15080000.0,-15080000.0,-15080000.0,-15080000.0,-15080000.0,-15080000.0,-15080000.0,-15080000.0,-15080000.0,-15080000.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",2223328226.0,2558571083.0,1995363690.0,1474943074.0,1736904224.0,1353217656.0,1389596421.0,1169192023.0,982044425.0,838996658.0
19,Hàng tồn kho,2223328226.0,2558571083.0,1995363690.0,1474943074.0,1736904224.0,1353217656.0,1389596421.0,1169192023.0,982044425.0,838996658.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
