,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q4 2022.1
0,Doanh số,128061513167.0,71964821963.0,73371605988.0,177679840253.0,226779261144.0,145082037153.0,48405351632.0,57506101509.0,70790539475.0,70790539475.0
1,Các khoản giảm trừ,-166736059.0,-1254646132.0,-399805967.0,-419471304.0,-966343484.0,-432394294.0,-2451255187.0,-128547910.0,-373095237.0,-373095237.0
2,Doanh số thuần,127894777108.0,70710175831.0,72971800021.0,177260368949.0,225812917660.0,144649642859.0,45954096445.0,57377553599.0,70417444238.0,70417444238.0
3,Giá vốn hàng bán,-115167631232.0,-52429411664.0,-60890194686.0,-147791660428.0,-178244412977.0,-110249688975.0,-76125355349.0,-64138529276.0,-59854827602.0,-59854827602.0
4,Lãi gộp,12727145876.0,18280764167.0,12081605335.0,29468708521.0,47568504683.0,34399953884.0,-30171258904.0,-6760975677.0,10562616636.0,10562616636.0
5,Thu nhập tài chính,380977739.0,412311057.0,78106729.0,443169004.0,427188570.0,68167776.0,155218493.0,930426302.0,569248714.0,569248714.0
6,Chi phí tài chính,-7178292872.0,-4869103283.0,-3766387350.0,-4688807008.0,-10435506572.0,-4087488773.0,-6221961026.0,-3874068047.0,-3445103999.0,-3445103999.0
7,Trong đó: Chi phí lãi vay,-7718292872.0,-4581126854.0,-3961169685.0,-4687688502.0,-10290901796.0,-4015257731.0,-5782624182.0,-3550690090.0,-3445103999.0,-3445103999.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,3353357778.0,-3916667928.0,-8095873863.0,-10588044672.0,-10261869923.0,-3485510492.0,-2624197075.0,-1590052705.0,-1739499303.0,-1739499303.0
10,Chi phí quản lý doanh  nghiệp,-9642035367.0,-4153998256.0,-860115474.0,-4374413190.0,-6408726002.0,-7830224894.0,-8207673020.0,-6519009637.0,-5965904737.0,-5965904737.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-358846846.0,5753305757.0,-562664623.0,10260612655.0,20889590756.0,19064897501.0,-47069871532.0,-17813679764.0,-18642689.0,-18642689.0
12,Thu nhập khác,49750383.0,3880000.0,174339264.0,79924479.0,593950.0,116827437.0,2537647417.0,162540934.0,7619048.0,7619048.0
13,Chi phí khác,-1176776.0,0.0,-57326493.0,-177296602.0,-244449446.0,-115275647.0,-109558443.0,-42439.0,-595262204.0,-595262204.0
14,"Thu nhập khác, ròng",48573607.0,3880000.0,117012771.0,-97372123.0,-243855496.0,1551790.0,2428088974.0,162498495.0,-587643156.0,-587643156.0
16,Lãi/(lỗ) ròng trước thuế,-310273239.0,5757185757.0,-445651852.0,10163240532.0,20645735260.0,19066449291.0,-44641782558.0,-17651181269.0,-606285845.0,-606285845.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-1151437151.0,12372505.0,-2032648106.0,-4129147052.0,-3813289858.0,3813289858.0,0.0,-133116081.0,-133116081.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-1151437151.0,12372505.0,-2032648106.0,-4129147052.0,-3813289858.0,3813289858.0,0.0,-133116081.0,-133116081.0
20,Lãi/(lỗ) thuần sau thuế,-310273239.0,4605748606.0,-433279347.0,8130592426.0,16516588208.0,15253159433.0,-40828492700.0,-17651181269.0,-739401926.0,-739401926.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-310273239.0,4605748606.0,-433279347.0,8130592426.0,16516588208.0,15253159433.0,-40828492700.0,-17651181269.0,-739401926.0,-739401926.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.0,-141.0
