,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,129071031693.0,116235195757.0,108365979791.0,129840562818.0,119775034415.0,109932839571.0,105869813544.0,133284219059.0,154908409036.0,140331662275.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,129071031693.0,116235195757.0,108365979791.0,129840562818.0,119775034415.0,109932839572.0,105869813544.0,133284219059.0,154908409036.0,140331662275.0
3,Giá vốn hàng bán,-63866813272.0,-66468886389.0,-66106334469.0,-68484290431.0,-66026363298.0,-66706134570.0,-63366803749.0,-71017843818.0,-73741255874.0,-71433026607.0
4,Lãi gộp,65204218421.0,49766309368.0,42259645322.0,61356272387.0,53748671117.0,43226705002.0,42503009795.0,62266375241.0,81167153162.0,68898635668.0
5,Thu nhập tài chính,6993927526.0,5734984590.0,4574784447.0,5202807818.0,5226042514.0,6020796709.0,5980190648.0,5855840530.0,5982063650.0,6053027771.0
6,Chi phí tài chính,-2503752233.0,-2517898855.0,-2348615967.0,-2530172121.0,-2769045963.0,-8040407219.0,-4025284298.0,-4772787767.0,-4038634876.0,-4452973048.0
7,Trong đó: Chi phí lãi vay,-1517558513.0,-1529001810.0,-1361854764.0,-1543100802.0,-1779591715.0,-6980177697.0,-2962374126.0,-3643614543.0,-2062441155.0,-3462768411.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-9670629263.0,-9990243476.0,-9706656354.0,-10322938148.0,-8760267743.0,-8696414468.0,-8475170128.0,-10200567067.0,-8866339765.0,-8867096500.0
10,Chi phí quản lý doanh  nghiệp,-9190899949.0,-14317767434.0,-10496358277.0,-11830978288.0,-8715011568.0,-11310132134.0,-8118783265.0,-11396601289.0,-9902478823.0,-17821453613.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,50832864502.0,28675384193.0,24282799171.0,41874991648.0,38730388357.0,21200547890.0,27863962752.0,41752259648.0,64341763348.0,43810140278.0
12,Thu nhập khác,304550720.0,5782970502.0,103555561.0,1492557947.0,9201902841.0,767907427.0,13445315.0,1177980306.0,76804038.0,1286257025.0
13,Chi phí khác,0.0,-18773961.0,0.0,-225337762.0,-562395872.0,-104876451.0,-2104.0,-179722818.0,-143349852.0,-287808865.0
14,"Thu nhập khác, ròng",304550720.0,5764196541.0,103555561.0,1267220185.0,8639506969.0,663030976.0,13443211.0,998257488.0,-66545814.0,998448160.0
16,Lãi/(lỗ) ròng trước thuế,51137415222.0,34439580734.0,24386354732.0,43142211833.0,47369895326.0,21863578866.0,27877405963.0,42750517136.0,64275217534.0,44808588438.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-11014823521.0,-7192335638.0,-5075451776.0,-8511376931.0,-9588703740.0,-4406387749.0,-2959139482.0,-4483287145.0,-6612097145.0,-4944000912.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-72529098.0,231754001.0,-80926931.0,89103984.0,-71432267.0,73525630.0,-73579731.0,-32469276.0,-68706986.0,178215623.0
19,Chi phí thuế thu nhập doanh nghiệp,-11087352619.0,-6960581637.0,-5156378707.0,-8422272947.0,-9660136007.0,-4332862119.0,-3032719213.0,-4515756421.0,-6680804131.0,-4765785289.0
20,Lãi/(lỗ) thuần sau thuế,40050062603.0,27478999097.0,19229976025.0,34719938886.0,37709759319.0,17530716747.0,24844686750.0,38234760715.0,57594413403.0,40042803149.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,40050062603.0,27478999097.0,19229976025.0,34719938886.0,37709759319.0,17530716747.0,24844686750.0,38234760715.0,57594413403.0,40042803149.0
23,Lãi cơ bản trên cổ phiếu,691.0,474.0,332.0,599.0,651.0,302.0,429.0,659.0,994.0,691.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,931.0,0.0,0.0,0.0,659.0,0.0,0.0
