,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,256384027779.0,296350373852.0,196009051996.0,172186896435.0,122160259965.0,258962913793.0,210602705664.0,239214769072.0,266300878903.0,285026404831.0
1,Các khoản giảm trừ,-2021603160.0,-1703100607.0,-6120231108.0,-4744506291.0,-1618921016.0,-2999598629.0,-2315326120.0,-3434383992.0,-2022728040.0,-3795664579.0
2,Doanh số thuần,254362424619.0,294647273245.0,189888820888.0,167442390144.0,120541338949.0,255963315164.0,208287379544.0,235780385080.0,264278150863.0,281230740252.0
3,Giá vốn hàng bán,-194987629863.0,-223027065416.0,-134751345527.0,-109944626047.0,-81363846272.0,-185266345979.0,-138760959713.0,-154653687746.0,-183185186016.0,-191836663928.0
4,Lãi gộp,59374794756.0,71620207829.0,55137475361.0,57497764097.0,39177492677.0,70696969185.0,69526419831.0,81126697334.0,81092964847.0,89394076324.0
5,Thu nhập tài chính,-1793949735.0,6659382207.0,6084968329.0,3809208017.0,1812179390.0,2694399159.0,3099260786.0,1459572106.0,1734350079.0,2455886911.0
6,Chi phí tài chính,-980210709.0,9619740480.0,-1834715739.0,1234942517.0,-1903934923.0,1421874863.0,-2574779753.0,-1997592767.0,-1277793332.0,-10268753394.0
7,Trong đó: Chi phí lãi vay,-961230370.0,597974194.0,-1793856682.0,-2121720666.0,-1871076277.0,1699825546.0,-2505254532.0,-1962547123.0,-1210852773.0,-4060267846.0
8,Lãi/(lỗ) từ công ty liên doanh,1725372223.0,3629617223.0,857437928.0,1908668718.0,280141189.0,13629916758.0,1354061147.0,-6658663294.0,-2507690729.0,1164290134.0
9,Chi phí bán hàng,-34817578823.0,-55148388910.0,-31137290225.0,-40830029464.0,-21908315655.0,-50883670776.0,-39904816301.0,-51782430379.0,-49441807206.0,-57148625472.0
10,Chi phí quản lý doanh  nghiệp,-20150647406.0,-28704469470.0,-22011447523.0,-20424312498.0,-17113593598.0,-21605631251.0,-22215296929.0,-22573425761.0,-24392778204.0,-25763888162.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3357780306.0,7676089359.0,7096428131.0,3196241387.0,343969080.0,15953857938.0,9284848781.0,-425842761.0,5207245455.0,-167013659.0
12,Thu nhập khác,14401706.0,4284162484.0,1788170603.0,6696652.0,1447561.0,-1588131942.0,14948704.0,837293999.0,257673321.0,2095410544.0
13,Chi phí khác,-44964412.0,-30343938.0,-40365637.0,-9450947.0,-267000.0,-6896434.0,-116.0,-5011615.0,-3672654.0,-1362203297.0
14,"Thu nhập khác, ròng",-30562706.0,4253818546.0,1747804966.0,-2754295.0,1180561.0,-1595028376.0,14948588.0,832282384.0,254000667.0,733207247.0
16,Lãi/(lỗ) ròng trước thuế,3327217600.0,11929907905.0,8844233097.0,3193487092.0,345149641.0,14358829562.0,9299797369.0,406439623.0,5461246122.0,566193588.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2025072881.0,-939416210.0,-1134281504.0,-469009306.0,-102360851.0,-333263528.0,-360420469.0,-42593642.0,-619266436.0,129751841.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,-25776007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-2025072881.0,-965192217.0,-1134281504.0,-469009306.0,-102360851.0,-333263528.0,-360420469.0,-42593642.0,-619266436.0,129751841.0
20,Lãi/(lỗ) thuần sau thuế,1302144719.0,10964715688.0,7709951593.0,2724477786.0,242788790.0,14025566034.0,8939376900.0,363845981.0,4841979686.0,695945429.0
21,Lợi ích của cổ đông thiểu số,108583064.0,1858053736.0,142342371.0,83434638.0,129809672.0,719333313.0,78596953.0,146835672.0,308322379.0,549202615.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1193561655.0,9106661952.0,7567609222.0,2641043148.0,112979118.0,13306232721.0,8860779947.0,217010309.0,4533657307.0,146742814.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
