,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,15958971574.0,1331279408.0,11923272591.0,-48726748212.0,23837949273.0,250496091080.0,269065542171.0,-125484472801.0,-2595378215.0,-560209269673.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,12140756504.0,15333045025.0,12115206011.0,3343067594.0,63169220969.0,82559603322.0,95633847760.0,58734646897.0,6748301136.0,68588673041.0
2,Lãi trước thuế,2203575955.0,11837651512.0,20404325420.0,81085966094.0,78345739613.0,70092520550.0,64774558548.0,46057181104.0,19423376472.0,12200611408.0
3,Khấu hao TSCĐ,363478462.0,334958841.0,331429343.0,363575028.0,639484454.0,750706089.0,736966086.0,703574173.0,2621278731.0,2423350398.0
5,Chi phí dự phòng,89596670.0,-2380803589.0,4166059248.0,-15596481164.0,174842640.0,-9817546189.0,1881495083.0,237116257.0,1315452434.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,-78201904.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-58631105.0,-3224763515.0,-19939901219.0,-79719309388.0,-29783988842.0,-2871345942.0,0.0,-8649237355.0,-66262241255.0,-20799285967.0
9,Chi phí lãi vay,9542736522.0,8766001776.0,7153293219.0,17209317024.0,13793143104.0,24405268814.0,28319029947.0,20386012718.0,49650434754.0,74763997202.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1344237985.0,4337730595.0,-18934497404.0,25407108306.0,21939133956.0,-328823809963.0,-141654534436.0,-84038582808.0,46338605164.0,-516849063558.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,-59329430702.0,-54312240685.0,-16649572023.0,-24738537633.0,-58460469042.0,-151432584007.0
14,Tăng/(giảm) các khoản phải trả,15553078146.0,-9033654789.0,30116431200.0,-43895841750.0,35786026974.0,650540962502.0,364479187954.0,-67698427846.0,185462695036.0,71244829745.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,-737029612.0,-3817226324.0,-14978783849.0,-59199601535.0,2696173200.0,7201948588.0,-118535313720.0,1455072197.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,-6909344324.0,6272168391.0,-588539000.0,1528618186.0,0.0,29688672.0,447720575.0
17,Chi phí lãi vay đã trả,-9630664285.0,-8861408720.0,-7292260330.0,-17248008052.0,-11938053617.0,-24586192723.0,-26767553031.0,-8943399414.0,-62745918679.0,-31175093151.0
18,Thuế thu nhập doanh nghiệp đã trả,-700000000.0,-149000000.0,-3344577274.0,-3937449783.0,-13815279599.0,-8586811135.0,-6696363330.0,-3003466053.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,185000000.0,3000000.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-244960806.0,-298432703.0,0.0,-1669553879.0,-3267053250.0,-6507279703.0,-3504262109.0,-2998654532.0,-1432966782.0,-2488824515.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-11461323595.0,-583372556.0,11957813782.0,-412614149027.0,29815041964.0,-559431109970.0,-172358096.0,-95384771561.0,-32868108553.0,-340509807467.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-10944954700.0,-1313608303.0,-12454808000.0,-2922319354.0,-799707640.0,-1022684590.0,-250560000.0,-2559140603.0,-115500000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,704545455.0,22500000000.0,24120970172.0,45016122280.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220420500000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120250580415.0
26,Đầu tư vào các doanh nghiệp khác,-13600000000.0,0.0,0.0,-495993940428.0,-290853471329.0,-596843351322.0,0.0,-272930000000.0,-107393000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,13025000000.0,0.0,1900000000.0,49833900112.0,263873181888.0,27848840000.0,0.0,171455131687.0,63118958313.0,0.0
