,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,12624178317.0,12723157454.0,1981837658.0,13880879185.0,3062541429.0,19590570601.0,238946882.0,7610556004.0,3857282896.0,38132498422.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,12624178317.0,12723157454.0,1981837658.0,13880879185.0,3062541429.0,19590570601.0,238946882.0,7610556004.0,3857282896.0,38132498422.0
3,Giá vốn hàng bán,-12095919612.0,-10872677596.0,-1776640170.0,-13081191870.0,-2880733541.0,-19380366331.0,-214473896.0,-7011050687.0,-3353409620.0,-35960378833.0
4,Lãi gộp,528258705.0,1850479858.0,205197488.0,799687315.0,181807888.0,210204270.0,24472986.0,599505317.0,503873276.0,2172119589.0
5,Thu nhập tài chính,470101323.0,1693083400.0,2994156325.0,2348627925.0,1924693715.0,50790641408.0,40749700241.0,1322904375.0,14911647044.0,487547797.0
6,Chi phí tài chính,-292508236.0,3230387.0,78639159.0,-689144326.0,-871163823.0,-18278957149.0,-26445447430.0,14181725263.0,-2639533480.0,2352220932.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,78639159.0,-316376708.0,0.0,0.0,0.0,-14786301.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-90790188.0,-159990851.0,-216294813.0,-60221954.0,-123883550.0,-41727330.0,-28762260.0,-81160220.0,-35042295.0,-98641500.0
10,Chi phí quản lý doanh  nghiệp,-602296625.0,-1128573086.0,-40945374.0,-1240798119.0,-573427400.0,-911542350.0,-309736422.0,-936121934.0,-1089786703.0,292390598.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,12764979.0,2258229708.0,3020752785.0,1158150841.0,538026830.0,31768618849.0,13990227115.0,15086852801.0,11651157842.0,5205637416.0
12,Thu nhập khác,0.0,10000999.0,-340305877.0,380305877.0,0.0,27272727.0,0.0,4.0,0.0,1403738827.0
13,Chi phí khác,-3116664.0,-7823003.0,-337259099.0,132153050.0,-224270.0,91070081.0,-11500000.0,-105217398.0,-1.0,-1872435092.0
14,"Thu nhập khác, ròng",-3116664.0,2177996.0,-677564976.0,512458927.0,-224270.0,118342808.0,-11500000.0,-105217394.0,-1.0,-468696265.0
16,Lãi/(lỗ) ròng trước thuế,9648315.0,2260407704.0,2343187809.0,1670609768.0,537802560.0,31886961657.0,13978727115.0,14981635407.0,11651157841.0,4736941151.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,-6144280074.0,-2798064191.0,-1195832713.0,-9279816103.0,959631108.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1836074128.0,5168822194.0,25494198.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,-6144280074.0,-2798064191.0,-3031906841.0,-4110993909.0,985125306.0
20,Lãi/(lỗ) thuần sau thuế,9648315.0,2260407704.0,2343187809.0,1670609768.0,537802560.0,25742681583.0,11180662924.0,11949728566.0,7540163932.0,5722066457.0
21,Lợi ích của cổ đông thiểu số,-300066.0,-187989.0,15764317.0,-15728041.0,-652281.0,-58454.0,-93781.0,-87162.0,-87162.0,1437603.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,9948381.0,2260595693.0,2327423492.0,1686337809.0,538454841.0,25742740037.0,11180756705.0,11949815728.0,7540251094.0,5720628854.0
23,Lãi cơ bản trên cổ phiếu,0.0,70.0,26.0,99.0,17.0,799.0,347.0,371.0,234.0,178.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
