,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,32250550193.0,21998860227.0,18653385412.0,16049562374.0,14064673777.0,17205662063.0,16445450635.0,18321725770.0,13892821666.0,16310765369.0
1,Các khoản giảm trừ,-2728416971.0,-1786686368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,29522133222.0,20212173859.0,18653385412.0,16049562374.0,14064673777.0,17205662063.0,16445450635.0,18321725770.0,13892821666.0,16310765369.0
3,Giá vốn hàng bán,-20773431392.0,-17428952792.0,-16117183493.0,-12851294765.0,-13044643579.0,-14108312870.0,-14161497702.0,-13155610668.0,-12101092827.0,-14124462511.0
4,Lãi gộp,8748701830.0,2783221067.0,2536201919.0,3198267609.0,1020030198.0,3097349193.0,2283952933.0,5166115102.0,1791728839.0,2186302858.0
5,Thu nhập tài chính,1104936991.0,1285532151.0,1014394080.0,930701230.0,554283678.0,750688260.0,1935113610.0,1519106910.0,1668491769.0,1713740962.0
6,Chi phí tài chính,-2692799436.0,-2585000.0,0.0,0.0,0.0,-5300000.0,-5300000.0,-2650000.0,-2000000.0,0.0
7,Trong đó: Chi phí lãi vay,-2581559393.0,-2585000.0,0.0,-284504002.0,0.0,0.0,-5300000.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-3626200343.0,-1441309906.0,-1044812270.0,-2293586704.0,-825470756.0,-1211716432.0,-1191363026.0,-1870503225.0,-1551036744.0,-874162090.0
10,Chi phí quản lý doanh  nghiệp,-4189819385.0,-3435324290.0,-4409291039.0,-3875366798.0,-2719928213.0,-2487153641.0,-2347787190.0,-2789148276.0,-1853349629.0,-2302486985.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-655180343.0,-810465978.0,-1903507310.0,-2039984663.0,-1971085093.0,143867380.0,674616327.0,2022920511.0,53834235.0,723394745.0
12,Thu nhập khác,80944327412.0,220338369.0,4303379849.0,793733391.0,1740571485.0,236924802.0,1235006010.0,39267745.0,35000001.0,8217314.0
13,Chi phí khác,-64033250750.0,-505872.0,-180611099.0,-126454982.0,-901921526.0,-88379634.0,-1427067364.0,-414073.0,-102705904.0,-62920278.0
14,"Thu nhập khác, ròng",16911076662.0,219832497.0,4122768750.0,667278409.0,838649959.0,148545168.0,-192061354.0,38853672.0,-67705903.0,-54702964.0
16,Lãi/(lỗ) ròng trước thuế,16255896319.0,-590633481.0,2219261440.0,-1372706254.0,-1132435134.0,292412548.0,482554973.0,2061774183.0,-13871668.0,668691781.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2468994030.0,0.0,-266584463.0,0.0,0.0,0.0,0.0,-112802176.0,-27878569.0,-159322412.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-2468994030.0,0.0,-266584463.0,0.0,0.0,0.0,0.0,-112802176.0,-27878569.0,-159322412.0
20,Lãi/(lỗ) thuần sau thuế,13786902289.0,-590633481.0,1952676977.0,-1372706254.0,-1132435134.0,292412548.0,482554973.0,1948972007.0,-41750237.0,509369369.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,13786902289.0,-590633481.0,1952676977.0,-1372706254.0,-1132435134.0,292412548.0,482554973.0,1948972007.0,-41750237.0,509369369.0
23,Lãi cơ bản trên cổ phiếu,4661.0,-199.68,660.16,-464.0,-383.0,95.0,122.0,492.0,-10.0,129.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
