,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,35889948627.0,4945853999.0,21759828450.0,53478968994.0,29165700123.0,4993620018.0,8932740196.0,57129187611.0,29245355917.0,4251631552.0
1,Các khoản giảm trừ,-133192650.0,-24596000.0,0.0,-26125680.0,-135982710.0,-46751530.0,0.0,-57657000.0,-222646700.0,-88757950.0
2,Doanh số thuần,35756755977.0,4921257999.0,21759828450.0,53452843314.0,29029717413.0,4946868488.0,8932740196.0,57071530611.0,29022709217.0,4162873602.0
3,Giá vốn hàng bán,-31548932580.0,-1066012462.0,-20049280632.0,-41295554278.0,-21786542274.0,-1790788695.0,-5624101296.0,-42090642334.0,-20093304958.0,830279076.0
4,Lãi gộp,4207823397.0,3855245537.0,1710547818.0,12157289036.0,7243175139.0,3156079793.0,3308638900.0,14980888277.0,8929404259.0,4993152678.0
5,Thu nhập tài chính,2624783642.0,5054175866.0,2106543433.0,465098919.0,3253682860.0,7729493666.0,2343959411.0,1111914270.0,1068795448.0,7485915147.0
6,Chi phí tài chính,-34068263.0,318090174.0,-1175635267.0,1157493602.0,-1502672723.0,-1019122911.0,-1681143433.0,855430011.0,-911446301.0,-2396439975.0
7,Trong đó: Chi phí lãi vay,-6883062.0,-28156419.0,-1175434147.0,1021671350.0,-1496003177.0,-1427121850.0,-1355313899.0,657258972.0,-358703922.0,-1701386256.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,-107157884.0,0.0,0.0,0.0,254181644.0,0.0,0.0
9,Chi phí bán hàng,-3143879873.0,-4904728484.0,-1489000940.0,-5644585723.0,-3922236605.0,-2630315229.0,-1361002329.0,-6090933439.0,-4617480701.0,-3142961310.0
10,Chi phí quản lý doanh  nghiệp,-1408910977.0,-684518207.0,-1037598601.0,-2614668101.0,-2116555837.0,-3136977744.0,-613600914.0,-2849179915.0,-1975264701.0,-1068350576.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2245747926.0,3638264886.0,114856443.0,5413469849.0,2955392834.0,4099157575.0,1996851635.0,8262300848.0,2494008004.0,5871315964.0
12,Thu nhập khác,0.0,507805216.0,0.0,20000000.0,18614545.0,9115531.0,220085455.0,-107227273.0,0.0,99541380.0
13,Chi phí khác,-17800988.0,-554801233.0,-16000.0,-300.0,0.0,-47140517.0,-178962489.0,134888896.0,-42.0,-9120853.0
14,"Thu nhập khác, ròng",-17800988.0,-46996017.0,-16000.0,19999700.0,18614545.0,-38024986.0,41122966.0,27661623.0,-42.0,90420527.0
16,Lãi/(lỗ) ròng trước thuế,2227946938.0,3591268869.0,114840443.0,5433469549.0,2974007379.0,4061132589.0,2037974601.0,8289962471.0,2494007962.0,5961736491.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-249173751.0,-511040710.0,-37707613.0,-1066525818.0,-705342498.0,564016691.0,-181206431.0,-1000816308.0,-482677284.0,-482193520.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,-61366282.0,0.0,0.0,0.0,-2467283.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-249173751.0,-511040710.0,-37707613.0,-1127892100.0,-705342498.0,564016691.0,-181206431.0,-1003283591.0,-482677284.0,-482193520.0
20,Lãi/(lỗ) thuần sau thuế,1978773187.0,3080228159.0,77132830.0,4305577449.0,2268664881.0,4625149280.0,1856768170.0,7286678880.0,2011330678.0,5479542971.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,-186713663.0,0.0,0.0,0.0,2347552094.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1978773187.0,3080228159.0,77132830.0,4492291112.0,2268664881.0,4625149280.0,1856768170.0,4939126786.0,2011330678.0,5479542971.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,459.0,0.0,0.0,0.0,682.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,459.0,0.0,0.0,0.0,682.0,0.0,0.0
