,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,151273539000000.0,160435177000000.0,160953350000000.0,165560358000000.0,162526238000000.0,165831996000000.0,172343012000000.0,174582486000000.0,183674150000000.0,185045048000000.0
1,"Tiền mặt, vàng bạc, đá quý",2101048000000.0,2073126000000.0,1983030000000.0,2084977000000.0,2047391000000.0,1936330000000.0,2373420000000.0,2071318000000.0,2247179000000.0,2125863000000.0
2,Tiền gửi tại Ngân hàng nhà nước Việt Nam,3333806000000.0,3910391000000.0,12531387000000.0,9613429000000.0,6288179000000.0,3392981000000.0,4668080000000.0,3815521000000.0,5445181000000.0,5584541000000.0
3,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,21644340000000.0,32378350000000.0,23705421000000.0,24316627000000.0,26804590000000.0,25206015000000.0,24170480000000.0,27225004000000.0,32484084000000.0,26046802000000.0
4,Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,    Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Các công cụ tài chính phái sinh và các tài sản tài chính khác,36200000000.0,49073000000.0,11625000000.0,104039000000.0,363059000000.0,4262000000.0,66001000000.0,0.0,0.0,120182000000.0
8,Cho vay khách hàng,100063896000000.0,99487571000000.0,103752304000000.0,105279057000000.0,104262225000000.0,113308080000000.0,121026873000000.0,122871751000000.0,126082214000000.0,129196168000000.0
9,  Cho vay khách hàng,101301963000000.0,100767406000000.0,105032139000000.0,106352800000000.0,105246674000000.0,114674630000000.0,122553271000000.0,124528116000000.0,127446734000000.0,130505614000000.0
10,Dự phòng rủi ro cho vay khách hàng,-1238067000000.0,-1279835000000.0,-1279835000000.0,-1073743000000.0,-984449000000.0,-1366550000000.0,-1526398000000.0,-1656365000000.0,-1364520000000.0,-1309446000000.0
11,Chứng khoán đầu tư,17758275000000.0,15967304000000.0,12826480000000.0,18302059000000.0,16990567000000.0,15880578000000.0,14113943000000.0,12795285000000.0,11594767000000.0,16074579000000.0
12,Chứng khoán đầu tư sẵn sàng để bán,7953410000000.0,7875277000000.0,5965204000000.0,9753561000000.0,8460540000000.0,7354411000000.0,6346828000000.0,5784152000000.0,4603965000000.0,2112868000000.0
13,Chứng khoán đầu tư giữ đến ngày đáo hạn,10888797000000.0,9073142000000.0,7018593000000.0,8697390000000.0,8674803000000.0,8652217000000.0,7899630000000.0,7138665000000.0,7122261000000.0,14105857000000.0
14,Dự phòng giảm giá chứng khoán đầu tư,-1083932000000.0,-981115000000.0,-157317000000.0,-148892000000.0,-144776000000.0,-126050000000.0,-132515000000.0,-127532000000.0,-131459000000.0,-144146000000.0
15,"Góp vốn, đầu tư dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Đầu tư vào công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tài sản cố định,3369022000000.0,3348385000000.0,3344008000000.0,3362810000000.0,3364014000000.0,3357843000000.0,3362642000000.0,3375244000000.0,3355490000000.0,3271085000000.0
21,Tài sản cố định hữu hình,749179000000.0,751818000000.0,754003000000.0,774392000000.0,783323000000.0,778868000000.0,793121000000.0,788565000000.0,778768000000.0,703560000000.0
22,Tài sản cố định thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tài sản cố định vô hình,2619843000000.0,2596567000000.0,2590005000000.0,2588418000000.0,2580691000000.0,2578975000000.0,2569521000000.0,2586679000000.0,2576722000000.0,2567525000000.0
24,Investment properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Other assets,2966952000000.0,3220977000000.0,2799095000000.0,2497360000000.0,2406213000000.0,2745907000000.0,2561573000000.0,2428363000000.0,2465235000000.0,2625828000000.0
26,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,151273539000000.0,160435177000000.0,160953350000000.0,165560358000000.0,162526238000000.0,165831996000000.0,172343012000000.0,174582486000000.0,183674150000000.0,185045048000000.0
27,Tổng nợ phải trả,134676428000000.0,143615687000000.0,143960713000000.0,148273805000000.0,144881402000000.0,148047088000000.0,153893967000000.0,155509896000000.0,163551388000000.0,164565148000000.0
28,Các khoản nợ chính phủ và NHNN Việt Nam,36001000000.0,33805000000.0,32965000000.0,31179000000.0,30330000000.0,29184000000.0,27331000000.0,26513000000.0,25065000000.0,24261000000.0
29,Tiền gửi và vay các Tổ chức tín dụng khác,3237783000000.0,6320362000000.0,4750718000000.0,5184928000000.0,1933498000000.0,7615859000000.0,12053841000000.0,10727628000000.0,14885431000000.0,11893026000000.0
30,Tiền gửi của khách hàng,127843977000000.0,133917740000000.0,136146181000000.0,139833952000000.0,139778855000000.0,137373791000000.0,139085743000000.0,141494760000000.0,145260765000000.0,148614571000000.0
31,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24113000000.0,114464000000.0,0.0
32,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phát hành giấy tờ có giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Các khoản nợ khác,3558667000000.0,3343780000000.0,3030849000000.0,3223746000000.0,3138719000000.0,3028254000000.0,2727052000000.0,3236882000000.0,3265663000000.0,4033290000000.0
35,Vốn chủ sở hữu,16597111000000.0,16819490000000.0,16992637000000.0,17286553000000.0,17644836000000.0,17784908000000.0,18449045000000.0,19072590000000.0,20122762000000.0,20479900000000.0
36,Vốn của tổ chức tín dụng,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0,12448674000000.0
37,Vốn điều lệ,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0,12355229000000.0
38,Vốn đầu tư XDCB,15396000000.0,15396000000.0,15396000000.0,15396000000.0,15396000000.0,15396000000.0,15396000000.0,15396000000.0,15396000000.0,15396000000.0
39,Thặng dư vốn cổ phần,156322000000.0,156322000000.0,156322000000.0,156322000000.0,156322000000.0,156322000000.0,156322000000.0,156322000000.0,156322000000.0,156322000000.0
40,Cổ phiếu Quỹ,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0,-78273000000.0
