,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,92601000587.0,361927820720.0,183876258769.0,112328745663.0,210445908706.0,152609635944.0,205524453686.0,170144954526.0,249894550012.0,237767743814.0
1,Các khoản giảm trừ,-263636.0,0.0,-97246303.0,-13290000.0,0.0,-17846967.0,-6818182.0,-8886261.0,-29137326.0,-3422669.0
2,Doanh số thuần,92600736951.0,361927820720.0,183779012466.0,112315455663.0,210445908706.0,152591788977.0,205517635504.0,170136068265.0,249865412686.0,237764321145.0
3,Giá vốn hàng bán,-66047770828.0,-321489878804.0,-147436680543.0,-84108350787.0,-191259419715.0,-107161026242.0,-181927011127.0,-130050631259.0,-202464192910.0,-208042765504.0
4,Lãi gộp,26552966123.0,40437941916.0,36342331923.0,28207104876.0,19186488991.0,45430762735.0,23590624377.0,40085437006.0,47401219776.0,29721555641.0
5,Thu nhập tài chính,1139637753.0,4521167710.0,904644013.0,1731628552.0,5755107067.0,2733118479.0,7260855047.0,33539844551.0,559213272.0,6659923665.0
6,Chi phí tài chính,-400932452.0,-2138681761.0,-508716925.0,-1824690382.0,-2253115583.0,-614409130.0,-108379233.0,-39510757009.0,-77928550.0,1209128469.0
7,Trong đó: Chi phí lãi vay,-397618551.0,-406145292.0,-498539545.0,-1799951199.0,-919444994.0,-652851053.0,-105988301.0,-37830847188.0,-33922039.0,-337012491.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,-17659045.0,0.0,-1611148.0,-24710164.0,20381840677.0,-11373611.0,-1236608649.0,682469433.0,-110783935.0
9,Chi phí bán hàng,-7220939907.0,-9832248092.0,-9940652375.0,-7087359373.0,-5952741188.0,-16970701314.0,-8514718328.0,-9233375025.0,-14562397342.0,-12970809693.0
10,Chi phí quản lý doanh  nghiệp,-14032602258.0,-17283156572.0,-13465584830.0,-9909104841.0,-2871404767.0,-28403537782.0,-7085387087.0,-10274729396.0,-18723096726.0,-21548458206.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6038129259.0,15687364156.0,13332021806.0,11115967684.0,13839624356.0,22557073665.0,15131621165.0,13369811478.0,15279479863.0,2960555941.0
12,Thu nhập khác,429699948.0,89439187.0,147924465.0,250134488.0,1104605887.0,10523254.0,18019.0,26844824.0,258543289.0,658093076.0
13,Chi phí khác,-65085348.0,-182918144.0,-1070000.0,-482316178.0,-13998.0,-2995334375.0,-285309836.0,-12120322.0,-202959193.0,-855981796.0
14,"Thu nhập khác, ròng",364614600.0,-93478957.0,146854465.0,-232181690.0,1104591889.0,-2984811121.0,-285291817.0,14724502.0,55584096.0,-197888720.0
16,Lãi/(lỗ) ròng trước thuế,6402743859.0,15593885199.0,13478876271.0,10883785994.0,14944216245.0,19572262544.0,14846329348.0,13384535980.0,15335063959.0,2762667221.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1939055558.0,-2954375257.0,-3263650070.0,-2366351252.0,-1633175089.0,-1178755002.0,-1577401180.0,-2657819203.0,-3020785951.0,-1852319209.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-19297726.0,-19297724.0,-13829318.0,-13829318.0,-13829319.0,-13829318.0,-13829318.0,-13829318.0,-13829319.0,-13829318.0
19,Chi phí thuế thu nhập doanh nghiệp,-1958353284.0,-2973672981.0,-3277479388.0,-2380180570.0,-1647004408.0,-1192584320.0,-1591230498.0,-2671648521.0,-3034615270.0,-1866148527.0
20,Lãi/(lỗ) thuần sau thuế,4444390575.0,12620212218.0,10201396883.0,8503605424.0,13297211837.0,18379678224.0,13255098850.0,10712887459.0,12300448689.0,896518694.0
21,Lợi ích của cổ đông thiểu số,-266536235.0,-254547169.0,10370623331.0,-10515353778.0,2347849432.0,11982024.0,2281353649.0,2882345152.0,1182841708.0,-529985219.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,4710926810.0,12874759387.0,-169226448.0,19018959202.0,10949362405.0,18367696200.0,10973745201.0,7830542307.0,11117606981.0,1426503913.0
23,Lãi cơ bản trên cổ phiếu,93.0,254.0,205.0,167.0,215.0,361.0,215.0,155.0,218.0,26.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
