,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,43202968384.0,53592540792.0,47989778785.0,58635068605.0,29404297513.0,50080685747.0,3896662889.0,4097898804.0,4415151446.0,4533001699.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-72729600.0,-42210800.0,-68352000.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,43202968384.0,53592540792.0,47989778785.0,58562339005.0,29362086713.0,50012333747.0,3896662889.0,4097898804.0,4415151446.0,4533001699.0
3,Giá vốn hàng bán,-37720885621.0,-43769131340.0,-39538431237.0,-54612851290.0,-27372294073.0,-48234922707.0,-969273675.0,-1380351787.0,-1196144267.0,-902559991.0
4,Lãi gộp,5482082763.0,9823409452.0,8451347548.0,3949487715.0,1989792640.0,1777411040.0,2927389214.0,2717547017.0,3219007179.0,3630441708.0
5,Thu nhập tài chính,92717010.0,1524474780.0,1383878274.0,32212335348.0,2572028464.0,31645007363.0,3945272293.0,6518801.0,4162003.0,11107415.0
6,Chi phí tài chính,-2593428371.0,-3923835531.0,-1591339151.0,-2749707547.0,-431050496.0,-126557998.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,-2298667539.0,-2099775919.0,-1428948079.0,-2521391749.0,-303078221.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1796752913.0,-1673839550.0,-2573941582.0,-1587906407.0,-833190109.0,-1108063200.0,0.0,-50495350.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-5046854027.0,-5838058052.0,-4983679958.0,-11145841701.0,-2837880580.0,-5783658889.0,-2230032203.0,-4408152793.0,-3873535210.0,-203523891275.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-3862235538.0,-87848901.0,686265131.0,20678367408.0,459699919.0,26404138316.0,4642629304.0,-1734582325.0,-650366028.0,-199882342152.0
12,Thu nhập khác,185704539.0,287609093.0,23753748.0,15370477.0,0.0,68348295436.0,1435592.0,19999897.0,930.0,3594256.0
13,Chi phí khác,-31488.0,550098.0,-5486565.0,-4935332.0,-7598.0,-97869899469.0,0.0,0.0,-126427.0,0.0
14,"Thu nhập khác, ròng",185673051.0,288159191.0,18267183.0,10435145.0,-7598.0,-29521604033.0,1435592.0,19999897.0,-125497.0,3594256.0
16,Lãi/(lỗ) ròng trước thuế,-3676562487.0,200310290.0,704532314.0,20688802553.0,459692321.0,-3117465717.0,4644064896.0,-1714582428.0,-650491525.0,-199878747896.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-28132036.0,-183467154.0,-362227703.0,-5260663440.0,-771872623.0,1319263765.0,-943144670.0,243861327.0,80316314.0,618967029.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,1040750.0,0.0,0.0,0.0,0.0,0.0,4508550.0,0.0,-650000.0
19,Chi phí thuế thu nhập doanh nghiệp,-28132036.0,-182426404.0,-362227703.0,-5260663440.0,-771872623.0,1319263765.0,-943144670.0,248369877.0,80316314.0,618317029.0
20,Lãi/(lỗ) thuần sau thuế,-3704694523.0,17883886.0,342304611.0,15428139113.0,-312180302.0,-1798201952.0,3700920226.0,-1466212551.0,-570175211.0,-199260430867.0
21,Lợi ích của cổ đông thiểu số,-16807156.0,3158887.0,3466849.0,-54075441.0,-30122912.0,-322075521.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-3687887367.0,14724999.0,338837762.0,15482214554.0,-282057390.0,-1476126431.0,3700920226.0,-1466212551.0,-570175211.0,-199260430867.0
23,Lãi cơ bản trên cổ phiếu,-95.0,0.38,8.77,401.0,-7.0,-38.0,0.0,58.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
