,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,0.0,23677207817.0,38532201365.0,51171316275.0,50138252727.0,520000000.0,795000000.0,21836760000.0,2301043100.0,13403276273.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,23677207817.0,38532201365.0,51171316275.0,50138252727.0,520000000.0,795000000.0,21836760000.0,2301043100.0,13403276273.0
3,Giá vốn hàng bán,0.0,-23445514260.0,-37449839900.0,-50073789180.0,-49119226790.0,0.0,-762121212.0,-21282657312.0,-2248729712.0,-13057156007.0
4,Lãi gộp,0.0,231693557.0,1082361465.0,1097527095.0,1019025937.0,520000000.0,32878788.0,554102688.0,52313388.0,346120266.0
5,Thu nhập tài chính,32573.0,1346.0,30231.0,94686.0,103974.0,1181633.0,996878.0,72178.0,12185.0,25492.0
6,Chi phí tài chính,-2049048906.0,0.0,0.0,1053484459.0,1053484459.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-151780566.0,-127805661.0,-923721314.0,-974999809.0,-922428409.0,-922464412.0,-134893956.0,-377333161.0,-101934274.0,-229548031.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-2200796899.0,103889242.0,158670382.0,1176106431.0,1150185961.0,-401282779.0,-101018290.0,176841705.0,-49608701.0,116597727.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200609836.0
13,Chi phí khác,0.0,0.0,0.0,-5358870.0,-67149.0,0.0,0.0,-133650.0,0.0,-247560603.0
14,"Thu nhập khác, ròng",0.0,0.0,0.0,-5358870.0,-67149.0,0.0,0.0,-133650.0,0.0,-46950767.0
16,Lãi/(lỗ) ròng trước thuế,-2200796899.0,103889242.0,158670382.0,1170747561.0,1150118812.0,-401282779.0,-101018290.0,176708055.0,-49608701.0,69646960.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,9571749.0,-31734076.0,-24524395.0,-19340300.0,29448475.0,0.0,-15164683.0,0.0,-16956605.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,9571749.0,-31734076.0,-24524395.0,-19340300.0,29448475.0,0.0,-15164683.0,0.0,-16956605.0
20,Lãi/(lỗ) thuần sau thuế,-2200796899.0,113460991.0,126936306.0,1146223166.0,1130778512.0,-371834304.0,-101018290.0,161543372.0,-49608701.0,52690355.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-2200796899.0,113460991.0,126936306.0,1146223166.0,1130778512.0,-371834304.0,-101018290.0,161543372.0,-49608701.0,52690355.0
23,Lãi cơ bản trên cổ phiếu,-93.5,4.8,5.4,49.0,48.0,-15.0,-4.0,0.0,-2.0,2.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
