,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-38629114422.0,-210752492531.0,179563840206.0,22523184456.0,-279974048082.0,364372103274.0,556700941589.0,42008151805.0,178371780817.0,435208900791.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,70656025305.0,127982200014.0,139739471717.0,171096605641.0,186304967643.0,290258489256.0,316023309281.0,319404058325.0,372456291212.0,421373389337.0
2,Lãi trước thuế,35585353920.0,78551595443.0,104653654384.0,108521525166.0,114592571430.0,194026719048.0,235987995415.0,236526865272.0,288962223367.0,328414078154.0
3,Khấu hao TSCĐ,20882918925.0,22994563469.0,33443115189.0,45491381006.0,51870739721.0,61517945912.0,67260091400.0,76882111328.0,83200760835.0,89429948309.0
5,Chi phí dự phòng,8014116803.0,18273223425.0,-8067515260.0,594465939.0,1135424904.0,18087172017.0,1995366346.0,134505000.0,-533566000.0,158652250.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-266319017.0,2654933570.0,5623397943.0,5593322484.0,-3502762786.0,-804221527.0,37445715.0,1011781332.0,1730034620.0,4160227009.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-4331026026.0,-7470201850.0,-11761298396.0,-10383996808.0,-9801983552.0,-5738087423.0,-5973428076.0,-9079989269.0,-15361544457.0,-18044068785.0
9,Chi phí lãi vay,10770980700.0,12978085957.0,15848117857.0,21279907854.0,32010977926.0,23168961229.0,16715838481.0,13928784662.0,14458382847.0,17254552400.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-23466929495.0,-82227743078.0,-15425725806.0,-20737633234.0,-177512744799.0,106106009021.0,51774683105.0,-76269916221.0,-16237852849.0,37010102618.0
13,(Tăng)/giảm hàng tồn kho,-118854195124.0,-231508778105.0,90217171305.0,-35456405283.0,-259470655245.0,-93165864987.0,259588760931.0,-30586405468.0,-332475384958.0,12108293524.0
14,Tăng/(giảm) các khoản phải trả,49925365832.0,10349703169.0,20836607159.0,-54605463526.0,17461455689.0,93855132864.0,15622484214.0,-48758083596.0,145274119782.0,-3041060849.0
15,( Tăng)/giảm chi phí trả trước,-6061663954.0,-2631015623.0,-18598252406.0,2944361823.0,4837040376.0,9916177232.0,-29072333548.0,-68674228421.0,77610274345.0,1758345615.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-10785995183.0,-13272373092.0,-15834989857.0,-20902442475.0,-32157079688.0,-23340191386.0,-16924002503.0,-13919778490.0,-14416542787.0,-17102915090.0
18,Thuế thu nhập doanh nghiệp đã trả,-936473900.0,-14242478171.0,-10788372451.0,-5079631490.0,-2680986500.0,-1248515252.0,-15516090979.0,-6703636324.0,-14031733928.0,-4812840000.0
19,Tiền thu khác từ các hoạt động kinh doanh,5491547747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-4596795650.0,-5202007645.0,-10582069455.0,-14736207000.0,-16756045558.0,-18009133474.0,-24795868912.0,-32483858000.0,-39807390000.0,-12084414364.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-16571510507.0,-73431597403.0,-144550781022.0,-6387311166.0,-47463429509.0,-76077462499.0,-151183940401.0,-60847273806.0,-232520619191.0,-515260812713.0
