,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q1 2012
0,Doanh số,53612210667.0,22058391395.0,34743649986.0,23061328053.0
1,Các khoản giảm trừ,-458907846.0,-522750935.0,-506073517.0,-674047205.0
2,Doanh số thuần,53153302821.0,21535640460.0,34237576469.0,22387280848.0
3,Giá vốn hàng bán,-49647797700.0,-19688286384.0,-30970672306.0,-20118203685.0
4,Lãi gộp,3505505121.0,1847354076.0,3266904163.0,2269077163.0
5,Thu nhập tài chính,297946829.0,38110303.0,75750732.0,31286363.0
6,Chi phí tài chính,-70566215.0,-153575893.0,-166856559.0,-266334141.0
7,Trong đó: Chi phí lãi vay,-70268817.0,-103506712.0,-164842368.0,-266334141.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1298858281.0,-810371592.0,-1295284268.0,-1028136672.0
10,Chi phí quản lý doanh  nghiệp,-1728190299.0,-1598233059.0,-1594845776.0,-1867048418.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,705837155.0,-676716165.0,285668292.0,-861155705.0
12,Thu nhập khác,0.0,0.0,0.0,0.0
13,Chi phí khác,-3314524.0,-6195476.0,0.0,-56715209.0
14,"Thu nhập khác, ròng",-3314524.0,-6195476.0,0.0,-56715209.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,702522631.0,-682911641.0,285668292.0,-917870914.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,702522631.0,-682911641.0,285668292.0,-917870914.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,702522631.0,-682911641.0,285668292.0,-917870914.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
