,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-52021460312.0,114611278100.0,54297613926.0,62416874350.0,9790606843.0,-56027342293.0,310999012103.0,250853953466.0,114474540725.0,-92899023365.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,143342654386.0,124283775226.0,116429275357.0,129581181007.0,210132936778.0,238242411573.0,244925620779.0,435215138378.0,493693073626.0,315278862915.0
2,Lãi trước thuế,90782993530.0,66227429735.0,87029825318.0,126125411396.0,184696634991.0,206915103450.0,210904313212.0,395216343249.0,433336511395.0,458900805937.0
3,Khấu hao TSCĐ,23339031165.0,17208564767.0,14976047359.0,15824757587.0,15503535334.0,15714879206.0,16268766988.0,20580853849.0,24739058440.0,27139353547.0
5,Chi phí dự phòng,-6704239867.0,-18703130908.0,964157283.0,897495404.0,4339042543.0,60579551.0,-4393236995.0,-7722000.0,-40164888.0,-57101286095.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,1227687190.0,87635317.0,-391352152.0,7096963445.0,457823349.0,-1385660943.0,-52391430.0,-896568.0,11245231748.0,-1733394510.0
8,Lãi/(lỗ) từ hoạt động đầu tư,9967654509.0,38706248244.0,1575979697.0,-31927994417.0,-8728407982.0,-1995172963.0,2285278938.0,4670778699.0,8182050935.0,-132880664969.0
9,Chi phí lãi vay,24729527859.0,20757028071.0,12274617852.0,11564547592.0,13864308543.0,18932683272.0,19912890066.0,14755781149.0,16230385996.0,20954049005.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-187403465845.0,165772508553.0,80097861038.0,77553463640.0,-320164067614.0,218376203742.0,-59374036223.0,-396712297359.0,-473285531273.0,740375634864.0
13,(Tăng)/giảm hàng tồn kho,110830975583.0,-77258559592.0,-29827231887.0,-147727681015.0,25140437246.0,-446231344828.0,206503848933.0,130433493377.0,-236145450852.0,-521678220861.0
14,Tăng/(giảm) các khoản phải trả,-69119355869.0,-47714689970.0,-83405160889.0,43082645909.0,128406972939.0,-2770049579.0,-2328413060.0,183796036619.0,515601357226.0,-461629587880.0
15,( Tăng)/giảm chi phí trả trước,-2592153602.0,10148417639.0,3541901373.0,140604216.0,2652972802.0,3285420496.0,-3066045296.0,-1927041625.0,-6078077145.0,2201373710.0
