,Unnamed: 0,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,73377263493.0,7038836443.0,3518292824.0,-4726855972.0,-2925724940.0,-3021337348.0,4137586245.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,29023838759.0,22028207781.0,33704850947.0,-1399160015.0,-3058288259.0,-3424930787.0,3696483099.0
2,Lãi trước thuế,8807149688.0,5252459308.0,17021863089.0,-15615290184.0,-15450704153.0,-16130296409.0,-9037768883.0
3,Khấu hao TSCĐ,16533433059.0,16489543517.0,16243904352.0,14218804548.0,10801209709.0,10686236038.0,10360014479.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,-256319877.0,0.0,52716291.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-11113432.0,-7960563.0,385837782.0,-2674379.0,-110491.0,-44616.0,-87383.0
9,Chi phí lãi vay,3950689321.0,294165519.0,529433.0,0.0,1591316676.0,2019174200.0,2374324886.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,682600218.0,755180092.0,-13889976711.0,12556723862.0,-264412812.0,399198358.0,5104226564.0
13,(Tăng)/giảm hàng tồn kho,-12076590804.0,-1028336364.0,12407544145.0,2544155600.0,21180000.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,47155193246.0,-21900542547.0,-31700748124.0,-19427625419.0,389535968.0,420857553.0,-4692803164.0
15,( Tăng)/giảm chi phí trả trước,12972605000.0,7478493000.0,2997152000.0,999050000.0,-13739837.0,-416462472.0,29679746.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-4380382926.0,-294165519.0,-529433.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,11113432.0,7960563.0,10848469.0,2674379.0,110491.0,44616.0,87383.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,-1300000.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,11113432.0,7960563.0,12148469.0,2674379.0,110491.0,44616.0,87383.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-72397875660.0,-6822780875.0,-53474090.0,0.0,3000000000.0,3000000000.0,1850000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,186269701.0,0.0,0.0,0.0,3000000000.0,3000000000.0,1850000000.0
33,Tiển trả các khoản đi vay,-74119871660.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-8464273701.0,-6822780875.0,-53474090.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,990501265.0,224016131.0,3475667203.0,-4724181593.0,74385551.0,-21292732.0,5987673628.0
38,Tiền và tương đương tiền đầu kỳ,59225358.0,1049726623.0,1273742754.0,4749409957.0,25228364.0,99613915.0,78321183.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,1049726623.0,1273742754.0,4749409957.0,25228364.0,99613915.0,78321183.0,6065994811.0
