,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,4333676729.0,62946120221.0,-88525588772.0,102818272479.0,40197549070.0,98141642138.0,203744114168.0,127828518044.0,147237956788.0,47175332801.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,84385711690.0,95403029388.0,106999658013.0,110760064462.0,100360419638.0,193180124125.0,171271919258.0,100199060783.0,84248147318.0,1029116596.0
2,Lãi trước thuế,65071061119.0,74326239486.0,82158350451.0,75695735429.0,74810952472.0,141461855614.0,134865495349.0,64907726494.0,55155145656.0,-70929242328.0
3,Khấu hao TSCĐ,14972144612.0,16646754935.0,19671339221.0,22531725950.0,27975307113.0,28434461223.0,27211767831.0,26094383040.0,27275655344.0,23983328133.0
5,Chi phí dự phòng,0.0,-129950400.0,-540892400.0,266255800.0,-398053000.0,19114470316.0,78377475.0,-2357330016.0,-3739543567.0,37133993275.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,144727594.0,123356599.0,649441651.0,3457767548.0,886690857.0,-185976476.0,1245439615.0,2736477534.0,2785659779.0,10815607694.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2453435654.0,-840636823.0,-1262749588.0,-462110378.0,-12015339982.0,-8161412603.0,-64598727.0,696991998.0,-627673113.0,25429822.0
9,Chi phí lãi vay,6651214019.0,5277265591.0,6324168678.0,9270690113.0,9100862178.0,12516726051.0,7935437715.0,8120811733.0,3398903219.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-50119833614.0,-27960794361.0,-123250223522.0,4752936095.0,-16834977879.0,-61056897789.0,102131574466.0,71170043117.0,-32678759146.0,187363534541.0
13,(Tăng)/giảm hàng tồn kho,-68561770714.0,53378543069.0,-46456024533.0,6395434203.0,-39120203864.0,-35756680434.0,-35791789454.0,92697083610.0,179192193676.0,-59530031970.0
14,Tăng/(giảm) các khoản phải trả,79923857925.0,-15796868047.0,24936601026.0,31714316845.0,17831002022.0,48871172854.0,22654276476.0,-102576101093.0,-72287678214.0,-74360807068.0
15,( Tăng)/giảm chi phí trả trước,-13542650490.0,-1575503661.0,597998410.0,-1982384383.0,7150787310.0,2110886754.0,4477126329.0,-2462534512.0,-465018784.0,4758646757.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-6651214019.0,-5277265591.0,-6324168678.0,-8826950016.0,-8866258073.0,-12646514459.0,-8310690808.0,-8216832166.0,-3476185487.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-8597094704.0,-24399332960.0,-17132333901.0,-14389106205.0,-10686806200.0,-13260108430.0,-49515219324.0,-15418948481.0,-6688179524.0,-8731900624.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,833247500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-12503329345.0,-11658935116.0,-27897095587.0,-25606038522.0,-9636413884.0,-23300340483.0,-3173082775.0,-7563253214.0,-606563051.0,-3353225431.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-54820089121.0,-31250785613.0,-38644663618.0,-50065645569.0,-8654086578.0,-7642394562.0,-8914658133.0,-23865946930.0,-30424371597.0,-27131323129.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-57288941439.0,-32067012436.0,-39907413206.0,-51372220465.0,-22903447169.0,-17851253401.0,-8979256860.0,-25830759576.0,-31052044710.0,-27279265330.0
23,Tiền thu được từ thanh lý tài sản cố định,1834981818.0,178727273.0,531452273.0,1047259013.0,14040000000.0,1204346539.0,0.0,1643885950.0,499356214.0,76739802.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,6870850000.0,0.0,0.0,0.0,-293220849.0
28,Cổ tức và tiền lãi nhận được,633870500.0,637499550.0,731297315.0,259315883.0,209360591.0,2133662300.0,64598727.0,320926696.0,128316899.0,364423248.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,72171546418.0,-44082469803.0,139016785823.0,-289136103.0,-38951176585.0,-59432215475.0,-90481732426.0,247923828738.0,-364417918906.0,-135847812849.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,21061270000.0,0.0,11174040000.0,57829520000.0,0.0,0.0,0.0,133527255000.0,0.0,0.0
