,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,61992427920.0,18831925922.0,6948865819.0,47692777158.0,51871144545.0,21122426881.0,11522946316.0,58985841499.0,59254884722.0,23604577450.0
1,Các khoản giảm trừ,-271498000.0,-1072426782.0,-26405454.0,-73656000.0,-661915036.0,-307889864.0,-9800000.0,-124565000.0,-1077272366.0,-567805369.0
2,Doanh số thuần,61720929920.0,17759499140.0,6922460365.0,47619121158.0,51209229509.0,20814537017.0,11513146316.0,58861276499.0,58177612356.0,23036772081.0
3,Giá vốn hàng bán,-43411835958.0,-16725601045.0,-7219731612.0,-34306006582.0,-39497510746.0,-16585462676.0,-9485255928.0,-38895938914.0,-41516969637.0,-19388706350.0
4,Lãi gộp,18309093962.0,1033898095.0,-297271247.0,13313114576.0,11711718763.0,4229074341.0,2027890388.0,19965337585.0,16660642719.0,3648065731.0
5,Thu nhập tài chính,407260617.0,911129176.0,278689.0,229333460.0,326186212.0,1528569759.0,1194322.0,72024568.0,495321869.0,2307362400.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-6202369856.0,-2188637787.0,-1163348569.0,-6404630965.0,-5615296192.0,-3163606226.0,-1184183994.0,-8418141847.0,-6981397150.0,-3274128143.0
10,Chi phí quản lý doanh  nghiệp,-3704832119.0,-3567188978.0,-1507887579.0,-3799215044.0,-2885445633.0,-2637083562.0,-1712926564.0,-4667096760.0,-3279015523.0,-2601954287.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,8809152604.0,-3810799494.0,-2968228706.0,3338602027.0,3537163150.0,-43045688.0,-868025848.0,6952123546.0,6895551915.0,79345701.0
12,Thu nhập khác,0.0,3410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164900000.0
13,Chi phí khác,0.0,-30000000.0,0.0,0.0,0.0,-170261248.0,0.0,0.0,0.0,0.0
14,"Thu nhập khác, ròng",0.0,-26590000.0,0.0,0.0,0.0,-170261248.0,0.0,0.0,0.0,164900000.0
16,Lãi/(lỗ) ròng trước thuế,8809152604.0,-3837389494.0,-2968228706.0,3338602027.0,3537163150.0,-213306936.0,-868025848.0,6952123546.0,6895551915.0,244245701.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1212972000.0,659816962.0,0.0,-74074664.0,-707432000.0,238081512.0,0.0,-1216819541.0,-1379110383.0,-96849139.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1212972000.0,659816962.0,0.0,-74074664.0,-707432000.0,238081512.0,0.0,-1216819541.0,-1379110383.0,-96849139.0
20,Lãi/(lỗ) thuần sau thuế,7596180604.0,-3177572532.0,-2968228706.0,3264527363.0,2829731150.0,24774576.0,-868025848.0,5735304005.0,5516441532.0,147396562.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,7596180604.0,-3177572532.0,-2968228706.0,3264527363.0,2829731150.0,24774576.0,-868025848.0,5735304005.0,5516441532.0,147396562.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
