,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,160223485007.0,200211510303.0,91974142779.0,115087316226.0,139787579461.0,282008126710.0,91938725631.0,43484396697.0,50488007980.0,37785532663.0
1,Các khoản giảm trừ,-2044229124.0,-1013543526.0,-1687451757.0,-6079660808.0,-2850345393.0,-8952702115.0,-5694364149.0,-3032923114.0,-3781447653.0,-376506945.0
2,Doanh số thuần,158179255883.0,199197966777.0,90286691022.0,109007655418.0,136937234068.0,273055424595.0,86244361482.0,40451473583.0,46706560327.0,37409025718.0
3,Giá vốn hàng bán,-157016029443.0,-196544714435.0,-84593761607.0,-98343288282.0,-127761371401.0,-274196068281.0,-71546416337.0,-26119129835.0,-35627244661.0,-27888747611.0
4,Lãi gộp,1163226440.0,2653252342.0,5692929415.0,10664367136.0,9175862667.0,-1140643686.0,14697945145.0,14332343748.0,11079315666.0,9520278107.0
5,Thu nhập tài chính,20437710479.0,26346256413.0,15421895939.0,13955463303.0,9360647081.0,26130694786.0,25815664177.0,25646293713.0,1969095.0,324009522.0
6,Chi phí tài chính,-7814366603.0,-7550142082.0,-5333924958.0,-6416303369.0,-7480634615.0,-5764935526.0,-4859486740.0,-8563808338.0,-4891777725.0,-17623546946.0
7,Trong đó: Chi phí lãi vay,-7708831282.0,-7523790752.0,-4954282768.0,-4012397978.0,-7214339617.0,-4453516107.0,-3635639349.0,-7097944775.0,-3250612192.0,-16958404712.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-9762748238.0,-10102856367.0,-8433923319.0,-8018946474.0,-4575270244.0,-6838852040.0,-8004300994.0,-6032349997.0,-5336121751.0,-5542816397.0
10,Chi phí quản lý doanh  nghiệp,-5328462071.0,-4968597165.0,-4776804818.0,-4968380437.0,-3686909018.0,-685888520679.0,-5606692190.0,-5914418547.0,-5959991184.0,-5175017713.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1304639993.0,6377913141.0,2570172259.0,5216200159.0,2793695871.0,-673502257145.0,22043129398.0,19468060579.0,-5106605899.0,-18497093427.0
12,Thu nhập khác,10000085.0,6112789675.0,108181824.0,328318530.0,420458588.0,93600818.0,10755679110.0,-1604215773.0,23433864.0,0.0
13,Chi phí khác,-144677385.0,-3997221975.0,-529847200.0,-351035077.0,-6500000.0,-1116820695.0,-1614295435.0,-124125771.0,-488125415.0,-326201403.0
14,"Thu nhập khác, ròng",-134677300.0,2115567700.0,-421665376.0,-22716547.0,413958588.0,-1023219877.0,9141383675.0,-1728341544.0,-464691551.0,-326201403.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-1439317293.0,8493480841.0,2148506883.0,5193483612.0,3207654459.0,-674525477022.0,31184513073.0,17739719035.0,-5571297450.0,-18823294830.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-120013126.0,-893072222.0,-493447550.0,-1091438456.0,-625617434.0,2008583544.0,-78148128.0,-81640671.0,-17458124.0,25005690.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,384003743.0,-43516862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,263990617.0,-936589084.0,-493447550.0,-1091438456.0,-625617434.0,2008583544.0,-78148128.0,-81640671.0,-17458124.0,25005690.0
20,Lãi/(lỗ) thuần sau thuế,-1175326676.0,7556891757.0,1655059333.0,4102045156.0,2582037025.0,-672516893478.0,31106364945.0,17658078364.0,-5588755574.0,-18798289140.0
21,Lợi ích của cổ đông thiểu số,5093581.0,16617032.0,6333546.0,4003396.0,21316576.0,-58205395731.0,15572090.0,509266733.0,0.0,-504166727.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-1180420257.0,7540274725.0,1648725787.0,4098041760.0,2560720449.0,-614311497747.0,31090792855.0,17148811631.0,-5588755574.0,-18294122413.0
23,Lãi cơ bản trên cổ phiếu,-6.0,41.0,9.0,22.0,14.0,-3681.0,170.0,94.0,-31.0,-100.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
