,CHỈ TIÊU,Q2 2012,Q2 2013,Q3 2013
0,TỔNG TÀI SẢN,344732883716.0,431274076198.0,467247933638.0
1,TÀI SẢN NGẮN HẠN,217451430191.0,280241284321.0,290597633886.0
2,Tiền và tương đương tiền,8697806140.0,8666819709.0,20891661405.0
3,Tiền,8697806140.0,8666819709.0,20891661405.0
4,Các khoản tương đương tiền,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0
9,Các khoản phải thu,97303264084.0,145968825870.0,135057672069.0
10,Phải thu khách hàng,78227826716.0,124027434510.0,103494854713.0
11,Trả trước người bán,20025383535.0,22322647420.0,32088134015.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,2763430798.0,3662114064.0,3518053465.0
16,Dự phòng nợ khó đòi,-3713376965.0,-4043370124.0,-4043370124.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",102996578827.0,102761353678.0,120178063710.0
19,Hàng tồn kho,102996578827.0,103484513783.0,120901223815.0
20,Dự phòng giảm giá HTK,0.0,-723160105.0,-723160105.0
21,Tài sản lưu động khác,8453781140.0,22844285064.0,14470236702.0
22,Trả trước ngắn hạn,561049640.0,0.0,0.0
23,Thuế VAT phải thu,6702519702.0,5427975391.0,8893368260.0
24,Phải thu thuế khác,2082783.0,595318.0,4255145.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,1188129015.0,17415714355.0,5572613297.0
27,TÀI SẢN DÀI HẠN,127281453525.0,151032791877.0,176650299752.0
28,Phải thu dài hạn,135282800.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,135282800.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,114496122045.0,135677815916.0,159459508159.0
37,GTCL TSCĐ hữu hình,99049096990.0,131646278759.0,134102125026.0
38,Nguyên giá TSCĐ hữu hình,407294940274.0,477094840618.0,485961437200.0
39,Khấu hao lũy kế TSCĐ hữu hình,-308245843284.0,-345448561859.0,-351859312174.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,187552683.0,95873141.0,68673654.0
44,Nguyên giá TSCĐ vô hình,690635818.0,861753810.0,861753810.0
45,Khấu hao lũy kế TSCĐ vô hình,-503083135.0,-765880669.0,-793080156.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,15259472372.0,3935664016.0,25288709479.0
52,Đầu tư dài hạn,10653000000.0,10653000000.0,12653000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0
55,Đầu tư dài hạn khác,10653000000.0,10653000000.0,12653000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,1997048680.0,4701975961.0,4537791593.0
59,Trả trước dài hạn,1997048680.0,4701975961.0,4537791593.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0
