,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,4814663714.0,-144648466435.0,-74848682461.0,478080271.0,20888456720.0,57988481626.0,-52100563547.0,113060771073.0,44888319564.0,62324934364.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,16297221656.0,64203415516.0,-5632705968.0,11750304266.0,11651545468.0,65404587052.0,21472509538.0,-1496110864.0,23724048196.0,25861825266.0
2,Lãi trước thuế,8137032448.0,48851750729.0,-9464414604.0,9714681777.0,2384317815.0,63310772410.0,19417870431.0,959071182.0,13969205874.0,35463827838.0
3,Khấu hao TSCĐ,5659671557.0,22159377343.0,4496072301.0,1505811719.0,7431731952.0,4443153558.0,4327826834.0,4320022098.0,4342631107.0,4282747076.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-147561203.0,-17331694.0,-31860144.0,11928294.0,73752060.0,-111871852.0,-40353697.0,-230552130.0,-117257074.0,512239420.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-4599783276.0,-33567658158.0,-5900129791.0,-6219058082.0,-6148928983.0,-8281750551.0,-7544810318.0,-12765391599.0,-3477100.0,-51900232874.0
9,Chi phí lãi vay,7247862130.0,26777277296.0,5267626270.0,6736940558.0,7910672624.0,6044283487.0,5311976288.0,6220739585.0,5532945389.0,37503243806.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-412666606346.0,-121440673335.0,43414128275.0,42489160627.0,45817613938.0,-208034305493.0,-179463168144.0,186819136292.0,78218436588.0,-141620236300.0
13,(Tăng)/giảm hàng tồn kho,2687819954.0,-10069902198.0,-20146197244.0,2923917956.0,-5515907127.0,-16163843538.0,575748662.0,-4600948831.0,20148295745.0,-6957873111.0
14,Tăng/(giảm) các khoản phải trả,405536204467.0,-39848724553.0,-79627545775.0,-50736823823.0,-25033218367.0,225710643950.0,124867942778.0,-57346879491.0,-73126574179.0,221275681569.0
15,( Tăng)/giảm chi phí trả trước,568605082.0,355147239.0,1370028571.0,790161797.0,1150510750.0,-1266924847.0,-1319837254.0,1421302718.0,1562305121.0,677020869.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,-6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-6900781099.0,-25980809916.0,-6044095143.0,-6736940558.0,-7141442942.0,-6758058623.0,-5234065479.0,-7291175707.0,-5532945389.0,-36911483929.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-10324528926.0,-8110195171.0,0.0,0.0,-528121875.0,-13134493648.0,-4200963171.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,156400000.0,-156400000.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-707800000.0,-1542390262.0,-72100000.0,-1700000.0,-40645000.0,-375495000.0,-21600000.0,-87189873.0,-105246518.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,8749972248.0,28649658985.0,14079010783.0,15321713406.0,18936752744.0,6579565475.0,13174659698.0,7790682302.0,3477100.0,58133002660.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-853009091.0,-13677149594.0,-146090909.0,-5158328877.0,-111800000.0,-1862696972.0,0.0,-1213345125.0,0.0,1213345125.0
23,Tiền thu được từ thanh lý tài sản cố định,6600000000.0,8862254545.0,0.0,4090909.0,45454545.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,-5000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,3000000000.0,23000000000.0,0.0,0.0,17000000000.0,0.0,0.0,9000000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,2981339.0,10464554034.0,14225101692.0,25475951374.0,2003098199.0,8442262447.0,13174659698.0,4027427.0,3477100.0,56919657535.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-13508740875.0,32744954648.0,57976406709.0,-14787518644.0,-21970907406.0,-73316337567.0,32578874638.0,-112418891274.0,-41133394466.0,-127002944738.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,134092758155.0,602079987126.0,181892098736.0,121990730589.0,159139294294.0,198586297147.0,178147164482.0,99556451061.0,157063413416.0,73076704351.0
33,Tiển trả các khoản đi vay,-147601499030.0,-569335032478.0,-123915692027.0,-136778249233.0,-181110201700.0,-271902634714.0,-145568289844.0,-211975342335.0,-198196807882.0,-200079649089.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,55895087.0,-83253852802.0,-2793264969.0,1012275033.0,17854302058.0,-8748290466.0,-6347029211.0,8432562101.0,3758402198.0,-6545007714.0
38,Tiền và tương đương tiền đầu kỳ,14845301453.0,94752485861.0,11576655686.0,8808074640.0,9825496849.0,27652292561.0,19008149094.0,12696521197.0,21190055760.0,25060904292.0
39,Ảnh hưởng của chênh lệch tỷ giá,58253659.0,78022627.0,24683923.0,5147176.0,-27506346.0,104146999.0,35401314.0,60972462.0,112446334.0,-124100349.0
40,Tiền và tương đương tiền cuối kỳ,14959450199.0,11576655686.0,8808074640.0,9825496849.0,27652292561.0,19008149094.0,12696521197.0,21190055760.0,25060904292.0,18391796229.0
