,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,649545341154.0,584348977148.0,603010698851.0,529328356819.0,858300077405.0,586243314601.0,541071402899.0,717222077165.0,602892424699.0,723794339601.0
1,TÀI SẢN NGẮN HẠN,515989023025.0,512876089842.0,538532639208.0,492565901841.0,586822987966.0,536358777227.0,489936891427.0,679045926920.0,521961346132.0,610293255066.0
2,Tiền và tương đương tiền,48020519522.0,117643381917.0,130655775546.0,128229446949.0,115385536635.0,99367830421.0,130961103103.0,141361798153.0,34185599033.0,44886343342.0
3,Tiền,46518875228.0,11483381917.0,9925775546.0,28229446949.0,50485536635.0,34829170421.0,101061103103.0,64154290878.0,34185599033.0,44886343342.0
4,Các khoản tương đương tiền,1501644294.0,106160000000.0,120730000000.0,100000000000.0,64900000000.0,64538660000.0,29900000000.0,77207507275.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,72150000000.0,72000000000.0,15050000000.0,212100000.0,616269872.0,107035157.0,193660000.0,96035000000.0,72525413700.0,123859866304.0
6,Đầu tư ngắn hạn,72150000000.0,72000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,23936547700.0,137782382026.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1499794000.0,-28030463542.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,15050000000.0,212100000.0,616269872.0,107035157.0,193660000.0,96035000000.0,50088660000.0,14107947820.0
9,Các khoản phải thu,270961836034.0,231835567050.0,267017457968.0,238876022441.0,336484102325.0,306965050490.0,218462593472.0,288062760936.0,274667701293.0,225338306719.0
10,Phải thu khách hàng,121314492881.0,119737587668.0,183301017814.0,94889023106.0,163659811690.0,202026480885.0,146729133070.0,219155583408.0,154561081291.0,179622304155.0
11,Trả trước người bán,18761875757.0,15148628814.0,8396953735.0,10256549416.0,18802087994.0,12749585107.0,15011880758.0,40193133741.0,28441778172.0,15037044365.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230000000.0,0.0,0.0
13,Phải thu về XDCB,139135555457.0,109921029029.0,75219108693.0,98128194087.0,121704251435.0,42402839818.0,39797637305.0,0.0,34079244428.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,1500000000.0,2000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,5482788692.0,4141718223.0,21635018636.0,35312868034.0,33489250224.0,54536306746.0,28550594739.0,33299802853.0,62298098222.0,51567621439.0
