,Unnamed: 0,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,562135920.0,33013414708.0,-7013250702.0,-14047964731.0,3964125261.0,-36093936561.0,18234450275.0,-61321741874.0,-14127879043.0,30691798280.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,-5966781184.0,-2156037316.0,-8472496348.0,-3207826644.0,-7036054214.0,21264694685.0,-8652047197.0,1987444186.0,22327592644.0,1674186630.0
2,Lãi trước thuế,-3410009531.0,48546935766.0,45323879378.0,-33171509692.0,-5863455629.0,22904016257.0,-13973918025.0,-11429214040.0,20869314805.0,5978644858.0
3,Khấu hao TSCĐ,509347649.0,215301852.0,762411439.0,26702218.0,29404521.0,9394116.0,10023579.0,10023594.0,41839091.0,42780000.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,628021839.0,664047840.0,32689469723.0,0.0,-127065906.0,5741520566.0,18781044547.0,3201239002.0,-7005532391.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,118905641.0,0.0,-235317098.0,0.0,0.0,-22814973.0,0.0,89276881.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-1707875416.0,-53023446300.0,-55169926678.0,-2730784935.0,-1202044532.0,-1360797941.0,-406858344.0,-5394815394.0,-2297649382.0,1832484294.0
9,Chi phí lãi vay,-1358243885.0,1358243885.0,-52908327.0,213613140.0,0.0,0.0,0.0,20405479.0,423572246.0,825809869.0
11,Các khoản điều chỉnh khác,-1.0,1.0,0.0,0.0,41426.0,-160851841.0,0.0,0.0,1.0,0.0
12,(Tăng)/giảm các khoản phải thu,18229640803.0,18409697963.0,-107397521017.0,90869841737.0,47795933173.0,-144579376755.0,168754531055.0,-8490029600.0,8267531333.0,-106556692093.0
13,(Tăng)/giảm hàng tồn kho,-2201358102.0,-27870481081.0,-12766527990.0,23789838537.0,-20211453606.0,11530550283.0,-15730321160.0,-6651465985.0,-39836056348.0,16570789768.0
14,Tăng/(giảm) các khoản phải trả,-9519268817.0,57368361406.0,142568406795.0,-133463899781.0,-16610764643.0,74775158295.0,-53601101948.0,16599576842.0,10668029979.0,112235741219.0
15,( Tăng)/giảm chi phí trả trước,56042050.0,221902869.0,-8001852506.0,8177694560.0,36590200.0,-53814910.0,-1107939611.0,880424785.0,-460842642.0,-3233360928.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,-69311477193.0,-65627286623.0,-13670561763.0,10826943553.0
17,Chi phí lãi vay đã trả,0.0,0.0,52908327.0,-213613140.0,0.0,0.0,0.0,-20405479.0,-423572246.0,-825809869.0
18,Thuế thu nhập doanh nghiệp đã trả,-36138830.0,-12960029133.0,-12996167963.0,0.0,-10125649.0,808000000.0,-1636251298.0,0.0,-1000000000.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,160851841.0,-480942373.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,1707875416.0,-47522226856.0,-25284894637.0,90401178336.0,1202044532.0,-5638400889.0,5320189644.0,4970048573.0,-6655765354.0,-565528184.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-33981500.0,-33981500.0,0.0,0.0,-16076344880.0,52905026880.0,0.0,-991750454.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,67560000000.0,67560000000.0,-316235094.0,0.0,0.0,-25000000.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-116000000000.0,-116000000000.0,105998250000.0,0.0,9040396050.0,18687053770.0,0.0,0.0,-17019287820.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,70000000.0,20000000000.0,-19930000000.0,0.0,36750000.0,-36750000.0,0.0,0.0,18286243930.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,-68805026880.0,-920000000.0,-12085460000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495233179.0,4116000000.0,0.0
28,Cổ tức và tiền lãi nhận được,1707875416.0,881754644.0,3189086863.0,4649163430.0,1202044532.0,1360797941.0,2594885874.0,5394815394.0,2305445100.0,-1832484294.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,0.0,29568974253.0,-54311998652.0,0.0,3232000000.0,15976728000.0,10234946633.0,7661956110.0,339930114.0
