,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,109657931479.0,266177564817.0,397170970715.0,832546932132.0,739023615439.0,565799394583.0,517610081994.0,468181066467.0,419910477398.0,369680510604.0
1,TÀI SẢN NGẮN HẠN,88726820362.0,177095539380.0,245251695239.0,253323996057.0,182826517391.0,57643511979.0,57313643837.0,58742790136.0,58189904898.0,56850404449.0
2,Tiền và tương đương tiền,4466844894.0,3400882955.0,76046592894.0,19480259862.0,259434264.0,72057741.0,252651493.0,891916243.0,615143455.0,292837085.0
3,Tiền,4466844894.0,3400882955.0,76046592894.0,19480259862.0,259434264.0,72057741.0,252651493.0,891916243.0,615143455.0,292837085.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,15866856990.0,0.0,9800000000.0,0.0,0.0,0.0,18458300.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,15866856990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,9800000000.0,0.0,0.0,0.0,18458300.0,0.0,0.0,0.0
9,Các khoản phải thu,4513517643.0,108862511581.0,89981579556.0,181639878024.0,178148043872.0,54610399114.0,54223394155.0,55237944016.0,54836403030.0,53870643685.0
10,Phải thu khách hàng,4218128121.0,94837665875.0,83914225639.0,130075379946.0,127111668888.0,78963379292.0,78636880679.0,78634561492.0,78634561492.0,78634561492.0
11,Trả trước người bán,295389522.0,15570091906.0,2863570028.0,1850871930.0,2809461696.0,2246224449.0,2256224449.0,2468521309.0,2138224449.0,2176224449.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,-18458300.0,0.0,0.0,0.0
15,Phải thu khác,0.0,0.0,6294276289.0,52944676371.0,51967585736.0,52751753761.0,52692307915.0,52795779803.0,52724535677.0,52743706767.0
16,Dự phòng nợ khó đòi,0.0,-1545246200.0,-3090492400.0,-3231050223.0,-3740672448.0,-79350958388.0,-79343560588.0,-79343560588.0,-79343560588.0,-80366491023.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682642000.0,682642000.0,682642000.0
18,"Hàng tồn kho, ròng",45743834728.0,46000625164.0,57494290960.0,36142219015.0,1006456503.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0
19,Hàng tồn kho,45743834728.0,46000625164.0,57494290960.0,36142219015.0,1799806381.0,1799806381.0,1799806381.0,1799806381.0,1799806381.0,1799806381.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,-793349878.0,-1776806381.0,-1776806381.0,-1776806381.0,-1776806381.0,-1776806381.0
21,Tài sản lưu động khác,18135766107.0,18831519680.0,11929231829.0,16061639156.0,3412582752.0,2938055124.0,2796139889.0,2589929877.0,2715358413.0,2663923679.0
22,Trả trước ngắn hạn,75322093.0,74730751.0,153468358.0,197737634.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,1825106464.0,5202515150.0,11775763471.0,15861751927.0,3412582752.0,2936185607.0,2794270372.0,2588060360.0,2713488896.0,2662054162.0
24,Phải thu thuế khác,0.0,0.0,0.0,2149595.0,0.0,1869517.0,1869517.0,1869517.0,1869517.0,1869517.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,16235337550.0,13554273779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,20931111117.0,89082025437.0,151919275476.0,579222936075.0,556197098048.0,508155882604.0,460296438157.0,409438276331.0,361720572500.0,312830106155.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,19243705447.0,61243744434.0,90725152315.0,83052310926.0,74880291072.0,71041193361.0,67212528632.0,63402161371.0,59655492988.0,55857084304.0
37,GTCL TSCĐ hữu hình,18728858720.0,36713831061.0,83577152315.0,75904310926.0,67039427437.0,63200329726.0,59371664997.0,55561297736.0,51814629353.0,48016220669.0
38,Nguyên giá TSCĐ hữu hình,19462812031.0,39700352031.0,88706196990.0,81833328685.0,76425940404.0,76425940404.0,76425940404.0,76425940404.0,76491476768.0,76491476768.0
39,Khấu hao lũy kế TSCĐ hữu hình,-733953311.0,-2986520970.0,-5129044675.0,-5929017759.0,-9386512967.0,-13225610678.0,-17054275407.0,-20864642668.0,-24676847415.0,-28475256099.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,7148000000.0,7148000000.0,7148000000.0,7840863635.0,7840863635.0,7840863635.0,7840863635.0,7840863635.0,7840863635.0
44,Nguyên giá TSCĐ vô hình,0.0,7148000000.0,7148000000.0,7148000000.0,7840863635.0,7840863635.0,7840863635.0,7840863635.0,7840863635.0,7840863635.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,29123318329.0,38314947181.0,40359582739.0,40517477163.0,40517477163.0,40040019835.0,40933579708.0,41346170708.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412591000.0
52,Đầu tư dài hạn,0.0,24000000000.0,24000000000.0,0.0,28000000000.0,28000000000.0,28000000000.0,28000000000.0,28000000000.0,28000000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,28000000000.0,28000000000.0,28000000000.0,28000000000.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,24000000000.0,24000000000.0,0.0,0.0,0.0,0.0,0.0,28000000000.0,28000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1687405670.0,3838281003.0,8070804832.0,457855677968.0,412957224237.0,368597212080.0,324566432362.0,277996095125.0,233131499804.0,187626851143.0
59,Trả trước dài hạn,1687405670.0,3838281003.0,8070804832.0,10009296656.0,10271822553.0,11072790024.0,12202989934.0,10793632325.0,11090016632.0,10746347599.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,62119821064.0,91878648020.0,175803337929.0,237832474576.0,211652744066.0,181104341200.0,131027279835.0,146172652983.0,156326080117.0,164881740901.0
65,Nợ ngắn hạn,57729082319.0,82110636103.0,118247508929.0,185914125276.0,162516705316.0,180865571200.0,129836171535.0,142320122983.0,155316080117.0,163871740901.0
66,Phải trả người bán,389463380.0,12413650421.0,4537732864.0,13068109921.0,13577186905.0,15173552344.0,17778439441.0,18055127703.0,18040119851.0,17434856442.0
67,Người mua trả tiền trước,7661926520.0,4821013.0,149508239.0,2765570980.0,4334711314.0,3461170295.0,3641185854.0,4322159044.0,6047988744.0,5900077299.0
68,Thuế và các khoản phải trả Nhà nước,1004087794.0,6545376329.0,8234870902.0,7891969493.0,126156274.0,50855000.0,50855000.0,93498774.0,50855000.0,98217657.0
69,Phải trả người lao động,0.0,0.0,0.0,637132508.0,2261394227.0,3144660084.0,3888316772.0,4066950882.0,4280861576.0,4622237486.0
70,Chi phí phải trả,0.0,0.0,8334000.0,8334000.0,0.0,11678349563.0,0.0,12640933746.0,24449718188.0,34887268784.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,10013475.0,7588400.0,8877924.0,286231619.0,27251906559.0,27344075924.0,706718050.0,497773116.0,15413057040.0,14953123563.0
75,Vay ngắn hạn,48663591150.0,63139199940.0,105120980000.0,161079571755.0,114788145037.0,119835702990.0,103593451418.0,102466474718.0,86856274718.0,85798754670.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,187205000.0,177205000.0,177205000.0,177205000.0,177205000.0,177205000.0,177205000.0,177205000.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,4390738745.0,9768011917.0,57555829000.0,51918349300.0,49136038750.0,238770000.0,1191108300.0,3852530000.0,1010000000.0,1010000000.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,4390738745.0,9768011917.0,57555829000.0,51918349300.0,49136038750.0,238770000.0,1191108300.0,3852530000.0,1010000000.0,1010000000.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,47538110415.0,174298916797.0,221367632786.0,594714457556.0,527370871373.0,384695053383.0,386582802159.0,322008413484.0,263584397281.0,204798769703.0
96,Vốn và các quỹ,47538110415.0,174298916797.0,221367632786.0,594714457556.0,527370871373.0,384695053383.0,386582802159.0,322008413484.0,263584397281.0,204798769703.0
97,Vốn góp,45000000000.0,157215000000.0,200000000000.0,515999990000.0,515999990000.0,515999990000.0,515999990000.0,515999990000.0,515999990000.0,515999990000.0
