,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,2050059322097.0,2096823768885.0,1900020926152.0,1963607763433.0,1888528838463.0,1953990955645.0,2180434899632.0,2102685266938.0,2118491033061.0,2305918556087.0
1,TÀI SẢN NGẮN HẠN,1409587549269.0,1433592475639.0,1363463970165.0,1431363165155.0,1363693997135.0,1433881099166.0,1667065742470.0,1512236955311.0,1513559294211.0,1678527763138.0
2,Tiền và tương đương tiền,11506669166.0,38635342710.0,2629002928.0,7888554185.0,8907793352.0,9336358416.0,13043752052.0,19900260469.0,3423983203.0,4823284758.0
3,Tiền,11506669166.0,38635342710.0,2629002928.0,7888554185.0,8907793352.0,9336358416.0,13043752052.0,19900260469.0,3423983203.0,4823284758.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,535000000.0,535000000.0,572450000.0,572450000.0,572450000.0,572450000.0,606224550.0,606224550.0,606224550.0,606224550.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,535000000.0,535000000.0,572450000.0,572450000.0,572450000.0,572450000.0,606224550.0,606224550.0,606224550.0,606224550.0
9,Các khoản phải thu,1324213297315.0,1320766987789.0,1283833633058.0,1342115398353.0,1267808593605.0,1344682674848.0,1572154133127.0,1393279860419.0,1405546245325.0,1570806479100.0
10,Phải thu khách hàng,692139167159.0,803332791981.0,719070798600.0,722566695410.0,559888406291.0,682007997540.0,911157246002.0,772066036600.0,832676026401.0,824465821225.0
11,Trả trước người bán,14468796188.0,1815600625.0,6754636598.0,66688366390.0,149154549804.0,75963413333.0,9385922475.0,64512801104.0,31895023176.0,129294860118.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,608503522272.0,536864099588.0,577173639717.0,570954710872.0,575644562488.0,609806141011.0,673866859099.0,571671387366.0,569059287396.0,658182222627.0
15,Phải thu khác,30808213212.0,10145567020.0,11814009235.0,11453740200.0,12669189541.0,12386019875.0,13185002462.0,19966945100.0,6853218103.0,4391772663.0
16,Dự phòng nợ khó đòi,-21706401516.0,-31391071425.0,-30979451092.0,-29548114519.0,-29548114519.0,-35480896911.0,-35440896911.0,-34937309751.0,-34937309751.0,-45528197533.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",72300808451.0,72326969163.0,75279332891.0,79618224168.0,85609420475.0,77974456556.0,79693872179.0,96580110041.0,102256291809.0,100652648042.0
19,Hàng tồn kho,72300808451.0,72326969163.0,75279332891.0,79618224168.0,85609420475.0,77974456556.0,79693872179.0,96580110041.0,102256291809.0,101016102883.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-363454841.0
21,Tài sản lưu động khác,1031774337.0,1328175977.0,1149551288.0,1168538449.0,795739703.0,1315159346.0,1567760562.0,1870499832.0,1726549324.0,1639126688.0
22,Trả trước ngắn hạn,638763654.0,637224715.0,590928662.0,831280641.0,733252750.0,980892815.0,1353042039.0,1768466650.0,1662162185.0,1598244822.0
23,Thuế VAT phải thu,232784204.0,176726115.0,148822475.0,105245970.0,23156245.0,194348293.0,114130992.0,1551158.0,55533067.0,1551158.0
24,Phải thu thuế khác,160226479.0,514225147.0,409800151.0,232011838.0,39330708.0,139918238.0,100587531.0,100482024.0,8854072.0,39330708.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,640471772828.0,663231293246.0,536556955987.0,532244598278.0,524834841328.0,520109856479.0,513369157162.0,590448311627.0,604931738850.0,627390792949.0
28,Phải thu dài hạn,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,81304060000.0,81304060000.0,81304060000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0,80000000000.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
