,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,48083746819.0,47760298970.0,38392423853.0,48252679171.0,60398169868.0,52813359789.0,47895591958.0,48274555456.0,45699810012.0,42087909886.0
1,TÀI SẢN NGẮN HẠN,18665172705.0,22366891167.0,13929344031.0,16239056481.0,21580135693.0,12947819886.0,12095085712.0,9895685099.0,9135287306.0,8232904073.0
2,Tiền và tương đương tiền,1103024190.0,1231335034.0,2271406887.0,818553459.0,3008403427.0,1147787542.0,39717616.0,246756352.0,148851119.0,270973.0
3,Tiền,1103024190.0,1231335034.0,2271406887.0,818553459.0,3008403427.0,1147787542.0,39717616.0,246756352.0,148851119.0,270973.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,2865392827.0,3374301577.0,3031546025.0,2941099522.0,4147244572.0,2407829306.0,2187576348.0,4026450657.0,3307903689.0,4241349829.0
10,Phải thu khách hàng,2240928182.0,2434059933.0,2175158829.0,1710366045.0,1334662179.0,711021356.0,457308855.0,690658410.0,257899680.0,174642786.0
11,Trả trước người bán,575000000.0,670000000.0,670000000.0,359427038.0,1037436700.0,0.0,91500000.0,216350000.0,85190000.0,2316149860.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,49464645.0,270241644.0,186387196.0,871306439.0,1775145693.0,1696807950.0,1638767493.0,3119442247.0,2964814009.0,2265055466.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-514498283.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",14369858311.0,17761254556.0,8626391119.0,12154498156.0,14410567748.0,9381476333.0,9867791748.0,5622478090.0,5678532498.0,3943178501.0
19,Hàng tồn kho,14369858311.0,17761254556.0,8626391119.0,12154498156.0,14410567748.0,9434185660.0,10114127587.0,7220966963.0,7830086259.0,7449188246.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,-52709327.0,-246335839.0,-1598488873.0,-2151553761.0,-3506009745.0
21,Tài sản lưu động khác,326897377.0,0.0,0.0,324905344.0,13919946.0,10726705.0,0.0,0.0,0.0,48104770.0
22,Trả trước ngắn hạn,123621000.0,0.0,0.0,12266152.0,13919946.0,10726705.0,0.0,0.0,0.0,48104770.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,312639192.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,203276377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,29418574114.0,25393407803.0,24463079822.0,32013622690.0,38818034175.0,39865539903.0,35800506246.0,38378870357.0,36564522706.0,33855005813.0
28,Phải thu dài hạn,41489824.0,533497456.0,597481771.0,685943403.0,768326827.0,316069630.0,300478082.0,343215219.0,387469524.0,432546959.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
