,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-1532854129.0,-19950827470.0,-58389834644.0,-35740984414.0,-46158566238.0,-13737444728.0,3090564030.0,8089743510.0,4248989865.0,11587311678.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,20162713485.0,27713253657.0,22796872987.0,25949826765.0,9783026443.0,25952174895.0,16952953429.0,21514916184.0,41441414025.0,52371039551.0
2,Lãi trước thuế,3034310954.0,3845379857.0,2480052749.0,2222858662.0,-18648706343.0,1172900217.0,1438464756.0,2256283920.0,16945335284.0,37470355305.0
3,Khấu hao TSCĐ,9589870599.0,13381865527.0,11718605625.0,13094608832.0,15440927231.0,15040224874.0,8459991924.0,10858916562.0,10025770286.0,9030128803.0
5,Chi phí dự phòng,1691338216.0,2511539391.0,3891943066.0,1582551195.0,3910897170.0,226855647.0,735583926.0,1929662338.0,4004608105.0,-7019970466.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,-207503829.0,0.0,0.0,0.0,270890857.0,124045330.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,2899097118.0,-410507041.0,0.0,-6260855.0,-3038869.0,-141323758.0,-3982809.0,-35748687.0,-6182973.0
9,Chi phí lãi vay,5847193716.0,5075371764.0,5116778588.0,9049808076.0,9293673069.0,9515233026.0,6460236581.0,6474036173.0,10230558180.0,12772663552.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-17619526693.0,-24414593444.0,-69770137954.0,-27775997635.0,-10379543519.0,-10942927247.0,7078287127.0,-19723851462.0,-25079630026.0,3734971035.0
13,(Tăng)/giảm hàng tồn kho,31059791405.0,-30045905636.0,-9636113410.0,-56361301271.0,-30861335625.0,-58317061229.0,2656911643.0,-693312843.0,-18736543760.0,-71137885222.0
14,Tăng/(giảm) các khoản phải trả,-16535597832.0,10343655651.0,-8076147358.0,34998616337.0,-11412553075.0,37154420816.0,-17724830629.0,13897590567.0,9894063942.0,28478960555.0
15,( Tăng)/giảm chi phí trả trước,-8500079386.0,5209898745.0,3251111427.0,-1033681440.0,7606096466.0,2612019525.0,587479041.0,-431562763.0,-830478005.0,528272750.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-5847193716.0,-5111176119.0,5116778588.0,-9049808076.0,-9293673069.0,-9515233026.0,-6460236581.0,-6474036173.0,-2439836311.0,-2147609140.0
18,Thuế thu nhập doanh nghiệp đã trả,-407691016.0,-2161552400.0,-500000000.0,-354681869.0,-1600583859.0,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,-21748741.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-3845270376.0,-1484407924.0,-1572198924.0,-2092208484.0,0.0,-680838462.0,0.0,0.0,0.0,-240437851.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,564979619.0,6520571667.0,-14324209039.0,-44097256467.0,-2992709801.0,-203791040.0,-204045403.0,-442062889.0,-2437092313.0,-3471318415.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-12670130537.0,-14734716080.0,-44119005208.0,-2998970656.0,-206829909.0,-345369161.0,-446045698.0,-2472841000.0,-3477501388.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,19170807710.0,0.0,0.0,0.0,0.0,0.0,0.0,31818182.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,564979619.0,19894494.0,410507041.0,21748741.0,6260855.0,3038869.0,141323758.0,3982809.0,3930505.0,6182973.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1838009766.0,98547479793.0,-1535723926.0,68557965147.0,52194776874.0,10628426290.0,-1549233390.0,-7534221669.0,-2308890292.0,-6468069221.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,79597500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,158989602889.0,195756782217.0,199792561363.0,260866852945.0,250117493755.0,238612532888.0,106651061240.0,1068000000.0,10080318281.0,6623118309.0
33,Tiển trả các khoản đi vay,-160827612655.0,-176806802424.0,-198966634929.0,-192301667798.0,-197922716881.0,-227984106598.0,-106385235260.0,-6783354709.0,-10180572628.0,-10169941920.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,-1815059370.0,-1818866960.0,-2208635945.0,-2921245610.0
35,Cổ tức đã trả,0.0,0.0,-2361650360.0,-7220000.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-2805884276.0,85117223990.0,-74249767609.0,-11280275734.0,3043500835.0,-3312809478.0,1337285237.0,113458952.0,-496992740.0,1647924042.0
38,Tiền và tương đương tiền đầu kỳ,5044444366.0,2238560090.0,87355784080.0,13106016471.0,1825264444.0,4868765279.0,1555955801.0,2893241038.0,2023615566.0,1526532370.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90456.0,2823532.0
40,Tiền và tương đương tiền cuối kỳ,2238560090.0,87355784080.0,13106016471.0,1825740737.0,4868765279.0,1555955801.0,2893241038.0,3006699990.0,1526532370.0,3177279944.0
